gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

126,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,1
127,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,4
128,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,19
129,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,18
130,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,14
131,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,4
132,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,2
133,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,15
134,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,5
135,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,6
136,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,10
137,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,13
138,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,12
139,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,17
140,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,9
141,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,11
142,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,16
143,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,8
