gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

11,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,True,12
12,1,2,0.6,4.0,1.4,0.6,12,58,0,0,0,0,0,0,False,13
13,1,7,15.0,4.0,8.0,2.7,45,58,0,0,0,0,0,0,True,20
14,5,24,3.4,30.0,18.2,5.2,90,58,0,1,0,0,3,0,False,17
15,3,8,5.6,6.0,0.8,1.2,63,58,0,0,0,0,0,0,False,7
16,2,6,1.2,22.0,2.2,2.5,90,58,0,0,0,0,3,0,True,10
17,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,False,6
18,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,True,5
