gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

11,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,5
12,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,17
13,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,12
14,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,20
15,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,13
16,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,14
17,1,3,0.0,0.0,0.0,0.0,1,47,0,0,0,0,0,0,True,2
18,1,7,11.9,2.0,4.4,1.8,37,47,0,0,0,0,0,0,False,4
