gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

78,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,5
79,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,13
80,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,11
81,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,4
82,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,19
83,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,13
84,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,18
85,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,7
