gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

125,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,True,12
126,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,False,13
127,1,3,0.0,0.0,2.4,0.2,14,49,0,0,0,0,0,0,True,20
128,1,0,10.3,22.0,0.0,3.1,16,49,0,0,0,0,0,0,False,17
129,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,False,7
130,1,3,0.0,0.0,1.6,0.2,26,49,0,0,0,0,0,0,True,10
131,7,24,24.5,57.0,58.4,14.0,90,49,1,0,1,0,0,0,False,6
132,2,7,1.4,4.0,8.8,1.4,90,49,0,0,0,0,1,0,True,5
