gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

11,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,1
12,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,2
13,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,3
14,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,15
15,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,19
16,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,4
17,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,17
18,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,14
