gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

87,2,4,1.2,35.0,0.0,3.5,64,124,0,0,0,0,1,0,False,2
88,8,25,3.3,48.0,45.2,9.7,86,123,1,0,0,0,1,0,True,11
89,0,0,0.0,0.0,0.0,0.0,0,123,0,0,0,0,0,0,False,7
90,3,6,12.7,30.0,0.4,4.3,68,122,0,0,0,0,0,0,True,4
91,0,0,0.0,0.0,0.0,0.0,0,122,0,0,0,0,0,0,True,8
92,13,34,51.5,91.0,63.2,20.6,90,122,1,1,0,0,0,0,False,3
93,16,38,3.9,125.0,69.8,19.9,90,122,2,0,0,0,0,0,True,18
94,3,5,15.9,25.0,0.0,4.0,69,122,0,0,0,0,0,0,False,9
