gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

125,0,0,0.0,0.0,0.0,0.0,0,69,0,0,0,0,0,0,False,18
126,0,0,0.0,0.0,0.0,0.0,0,69,0,0,0,0,0,0,True,7
127,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0,False,11
128,2,10,16.0,39.0,11.6,6.7,62,68,0,0,0,0,1,0,True,19
129,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0,True,2
130,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0,False,8
131,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0,True,3
132,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0,False,17
