kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2016-08-13T11:30:00Z,5,10,12.2,30.0,14.4,5.7,90,60,0,1,0,0,1,0
2016-08-20T14:00:00Z,6,21,3.4,52.0,33.2,8.9,90,60,1,0,0,0,0,0
2016-08-27T16:30:00Z,2,1,5.1,34.0,3.4,4.3,82,60,0,0,0,0,0,0
2016-09-10T14:00:00Z,2,5,13.6,13.0,4.2,3.1,90,60,0,0,0,0,1,0
2016-09-17T14:00:00Z,2,-2,11.4,8.0,0.0,1.9,76,60,0,0,0,0,2,0
2016-09-24T14:00:00Z,2,1,1.3,0.0,0.0,0.0,90,60,0,0,0,0,5,0
2016-10-01T14:00:00Z,1,4,11.5,0.0,2.2,1.4,19,60,0,0,0,0,0,0
2016-10-15T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,60,0,0,0,0,0,0
2016-10-22T14:00:00Z,1,1,18.5,41.0,3.8,6.3,36,60,0,0,0,0,0,0
2016-10-29T14:00:00Z,2,3,15.8,39.0,0.4,5.5,90,60,0,0,0,0,1,0
2016-11-06T14:15:00Z,1,3,0.0,4.0,0.0,0.3,8,60,0,0,0,0,1,0
2016-11-19T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,60,0,0,0,0,0,0
2016-11-26T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,60,0,0,0,0,0,0
2016-12-05T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0
2016-12-10T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0
2016-12-14T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0
2016-12-17T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0
2016-12-26T17:15:00Z,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0
2016-12-30T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0
2017-01-02T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0
2017-01-14T15:00:00Z,13,56,3.0,81.0,68.4,15.2,82,59,2,0,0,0,1,0
2017-01-22T16:30:00Z,2,3,24.3,8.0,1.2,3.4,74,59,0,0,0,0,1,0
2017-02-01T20:00:00Z,1,3,0.0,7.0,3.0,1.0,22,59,0,0,0,0,0,0
2017-02-04T15:00:00Z,2,1,0.5,32.0,0.0,3.1,64,59,0,0,0,0,0,0
2017-02-11T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0
2017-02-25T15:00:00Z,1,1,0.0,6.0,0.0,0.2,9,59,0,0,0,0,0,0
2017-03-04T15:00:00Z,1,3,11.7,0.0,1.2,1.3,23,59,0,0,0,0,1,0
2017-03-11T15:00:00Z,5,18,15.2,24.0,18.4,5.8,81,59,0,1,0,0,0,0
2017-03-18T15:00:00Z,2,5,2.8,28.0,0.0,3.1,81,59,0,0,0,0,2,0
2017-04-01T14:00:00Z,2,5,3.2,2.0,0.8,0.6,79,59,0,0,0,0,1,0
2017-04-05T18:45:00Z,14,46,10.5,56.0,44.2,11.1,50,59,1,2,0,0,2,0
2017-04-08T14:00:00Z,1,4,0.5,6.0,0.4,0.7,33,59,0,0,0,0,1,0
2017-04-15T14:00:00Z,1,3,0.3,0.0,0.0,0.0,21,59,0,0,0,0,1,0
2017-04-22T14:00:00Z,1,1,1.8,7.0,3.4,1.2,45,59,0,0,0,0,0,0
2017-04-29T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0
2017-05-06T14:00:00Z,2,12,23.8,54.0,16.8,9.5,90,59,0,0,0,0,2,0
2017-05-14T11:00:00Z,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0
2017-05-21T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0
