kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2016-08-14T15:00:00Z,11,33,33.7,57.0,51.2,14.2,75,70,1,1,1,0,3,0
2016-08-20T14:00:00Z,2,16,29.9,109.0,17.2,15.6,77,70,0,0,0,0,2,0
2016-08-27T11:30:00Z,2,11,26.8,20.0,9.6,5.6,90,71,0,0,0,0,1,0
2016-09-10T16:30:00Z,8,29,13.5,29.0,43.8,8.6,90,71,1,0,0,0,1,0
2016-09-16T19:00:00Z,2,14,8.1,10.0,12.0,3.0,90,71,0,0,0,0,1,0
2016-09-24T14:00:00Z,15,55,31.3,41.0,75.4,14.8,68,71,1,2,0,0,1,0
2016-10-01T11:30:00Z,1,2,1.1,3.0,0.0,0.2,22,72,0,0,0,0,1,0
2016-10-17T19:00:00Z,1,0,3.4,3.0,1.6,0.8,31,71,0,0,0,0,0,0
2016-10-22T16:30:00Z,3,8,9.5,10.0,6.4,2.6,78,71,0,0,0,0,0,0
2016-10-29T16:30:00Z,2,11,3.9,13.0,9.2,2.6,75,71,0,0,0,0,2,0
2016-11-06T14:15:00Z,12,50,61.6,8.0,52.6,12.2,70,71,0,2,0,0,0,0
2016-11-19T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,72,0,0,0,0,0,0
2016-11-26T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,71,0,0,0,0,0,0
2016-12-04T13:30:00Z,1,2,6.8,1.0,0.0,0.7,22,70,0,0,0,0,3,0
2016-12-11T16:30:00Z,7,25,39.5,35.0,43.2,11.8,90,70,1,0,0,0,2,0
2016-12-14T19:45:00Z,19,66,18.6,64.0,95.0,17.8,81,71,2,1,0,0,0,0
2016-12-19T20:00:00Z,3,11,8.6,4.0,8.4,2.1,81,73,0,0,0,0,0,0
2016-12-27T17:15:00Z,9,31,15.8,73.0,40.8,13.0,68,74,1,0,0,0,1,0
2016-12-31T17:30:00Z,6,15,40.3,0.0,25.8,6.6,90,75,0,1,0,0,0,0
2017-01-02T15:00:00Z,1,12,39.3,35.0,15.0,8.9,90,76,0,0,1,0,2,0
2017-01-15T16:00:00Z,2,14,4.6,39.0,16.6,6.0,90,77,0,0,0,0,1,0
2017-01-21T12:30:00Z,2,10,17.3,22.0,4.6,4.4,90,77,0,0,0,0,3,0
2017-01-31T20:00:00Z,2,3,5.8,10.0,2.6,1.8,89,75,0,0,0,0,1,0
2017-02-04T15:00:00Z,2,17,31.1,26.0,10.4,6.8,82,74,0,0,0,0,1,0
2017-02-11T17:30:00Z,3,5,23.8,22.0,10.0,5.6,90,71,0,0,0,0,0,0
2017-02-27T20:00:00Z,2,17,22.8,41.0,19.6,8.3,65,71,0,0,0,0,3,0
2017-03-04T17:30:00Z,2,17,19.7,10.0,8.8,3.9,90,71,0,0,0,0,1,0
2017-03-12T16:00:00Z,1,7,10.4,8.0,2.4,2.1,90,70,0,0,1,0,1,0
2017-03-19T16:30:00Z,2,7,25.3,27.0,14.0,6.6,90,70,0,0,0,0,1,0
2017-04-01T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,69,0,0,0,0,0,0
2017-04-05T19:00:00Z,0,0,0.0,0.0,0.0,0.0,0,69,0,0,0,0,0,0
2017-04-08T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0
2017-04-16T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0
2017-04-23T15:30:00Z,0,0,0.0,0.0,0.0,0.0,0,68,0,0,0,0,0,0
2017-05-01T19:00:00Z,3,9,18.5,7.0,3.6,2.9,74,67,0,0,0,0,0,0
2017-05-07T12:30:00Z,1,4,15.2,9.0,10.0,3.4,22,67,0,0,0,0,0,0
2017-05-14T13:15:00Z,3,12,45.7,44.0,18.0,10.8,88,67,0,0,0,0,0,0
2017-05-21T14:00:00Z,9,30,61.1,45.0,51.6,15.8,90,67,1,0,0,0,0,0
2017-08-12T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,75,0,0,0,0,0,0
2017-08-19T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,75,0,0,0,0,0,0
2017-08-27T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,74,0,0,0,0,0,0
2017-09-09T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,74,0,0,0,0,0,0
2017-09-16T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,74,0,0,0,0,0,0
2017-09-23T16:30:00Z,0,0,0.0,0.0,0.0,0.0,0,74,0,0,0,0,0,0
2017-10-01T15:30:00Z,0,0,0.0,0.0,0.0,0.0,0,74,0,0,0,0,0,0
2017-10-14T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2017-10-22T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2017-10-28T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2017-11-04T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2017-11-18T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2017-11-25T17:30:00Z,1,2,1.3,0.0,0.2,0.2,1,73,0,0,0,0,0,0
2017-11-29T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2017-12-02T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2017-12-10T14:15:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2017-12-13T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2017-12-17T16:30:00Z,0,1,25.3,6.0,2.0,3.3,19,73,0,0,1,0,0,0
2017-12-22T19:45:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2017-12-26T17:30:00Z,1,3,3.6,23.0,1.2,2.8,21,73,0,0,0,0,0,0
2017-12-30T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2018-01-01T15:00:00Z,3,14,48.9,41.0,14.4,10.4,85,73,0,0,0,0,0,0
2018-01-14T16:00:00Z,1,1,0.0,0.0,0.2,0.0,2,73,0,0,0,0,1,0
2018-01-22T20:00:00Z,1,4,15.4,38.0,5.0,5.8,22,73,0,0,0,0,0,0
2018-01-30T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2018-02-04T16:30:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2018-02-11T16:30:00Z,1,-1,1.7,4.0,0.0,0.5,11,73,0,0,0,0,0,0
2018-02-24T15:00:00Z,1,2,2.8,4.0,0.0,0.6,8,73,0,0,0,0,0,0
2018-03-03T17:30:00Z,1,1,4.5,0.0,3.0,0.8,16,73,0,0,0,0,0,0
2018-03-10T12:30:00Z,1,3,3.0,6.0,2.0,1.1,28,73,0,0,0,0,0,0
2018-03-17T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2018-03-31T11:30:00Z,1,3,0.0,0.0,0.0,0.0,5,73,0,0,0,0,0,0
2018-04-07T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2018-04-14T16:30:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2018-04-21T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2018-04-28T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2018-05-06T15:30:00Z,0,0,0.0,0.0,0.0,0.0,0,73,0,0,0,0,0,0
2018-05-13T14:00:00Z,1,4,6.9,6.0,4.6,1.8,16,73,0,0,0,0,0,0
2018-08-12T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,70,0,0,0,0,0,0
2018-08-20T19:00:00Z,1,2,0.4,0.0,0.0,0.0,3,70,0,0,0,0,0,0
