kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2016-08-13T11:30:00Z,2,14,11.4,4.0,9.2,2.5,90,50,0,0,0,0,1,0
2016-08-20T14:00:00Z,3,25,1.8,0.0,15.0,1.7,90,50,0,0,0,0,0,0
2016-08-27T16:30:00Z,2,22,0.3,0.0,20.8,2.1,90,50,0,0,0,0,1,0
2016-09-10T14:00:00Z,2,16,12.4,1.0,16.4,3.0,90,50,0,0,0,0,1,0
2016-09-17T14:00:00Z,2,12,6.5,4.0,21.8,3.2,90,50,0,0,0,0,4,0
2016-09-24T14:00:00Z,-2,-8,0.1,0.0,0.0,0.0,28,49,0,0,0,1,5,0
2016-10-01T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0
2016-10-15T14:00:00Z,2,12,16.3,2.0,17.0,3.5,90,49,0,0,0,0,6,0
2016-10-22T14:00:00Z,2,17,8.2,0.0,17.0,2.5,90,49,0,0,0,0,2,0
2016-10-29T14:00:00Z,2,13,14.6,20.0,13.4,4.8,90,48,0,0,0,0,1,0
2016-11-06T14:15:00Z,2,15,0.9,0.0,14.2,1.5,90,48,0,0,0,0,1,0
2016-11-19T15:00:00Z,2,17,5.0,2.0,12.6,2.0,90,48,0,0,0,0,3,0
2016-11-26T15:00:00Z,2,14,18.1,0.0,15.0,3.3,90,48,0,0,0,0,1,0
2016-12-05T20:00:00Z,2,15,1.5,2.0,18.2,2.2,90,48,0,0,0,0,1,0
2016-12-10T15:00:00Z,1,12,35.8,4.0,10.6,5.0,90,47,0,0,1,0,3,0
2016-12-14T20:00:00Z,2,11,2.7,9.0,12.0,2.4,90,47,0,0,0,0,3,0
2016-12-17T15:00:00Z,2,10,0.8,19.0,18.2,3.8,90,47,0,0,0,0,1,0
2016-12-26T17:15:00Z,2,18,17.2,1.0,15.0,3.3,90,47,0,0,0,0,3,0
2016-12-30T20:00:00Z,1,11,33.4,2.0,16.2,5.2,90,47,0,0,1,0,2,0
2017-01-02T15:00:00Z,6,33,62.8,2.0,44.2,10.9,90,47,0,1,0,0,3,0
2017-01-14T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2017-01-22T16:30:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2017-02-01T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2017-02-04T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2017-02-11T12:30:00Z,1,-1,0.7,1.0,0.0,0.0,25,46,0,0,0,0,1,0
2017-02-25T15:00:00Z,2,11,28.7,7.0,10.2,4.6,90,46,0,0,0,0,1,0
2017-03-04T15:00:00Z,2,18,13.8,2.0,25.8,4.2,90,46,0,0,0,0,3,0
2017-03-11T15:00:00Z,4,17,24.6,0.0,23.6,4.8,16,46,0,1,0,0,1,0
2017-03-18T15:00:00Z,1,3,0.1,0.0,0.0,0.0,5,46,0,0,0,0,2,0
2017-04-01T14:00:00Z,2,7,1.5,18.0,4.8,2.4,90,46,0,0,0,0,1,0
2017-04-05T18:45:00Z,2,18,20.7,0.0,15.4,3.6,90,46,0,0,0,0,2,0
2017-04-08T14:00:00Z,0,15,2.3,0.0,22.6,2.5,90,46,0,0,0,0,3,0
2017-04-15T14:00:00Z,1,3,0.2,0.0,0.2,0.0,5,46,0,0,0,0,0,0
2017-04-22T14:00:00Z,3,15,1.3,0.0,7.0,0.8,90,46,0,0,0,0,0,0
2017-04-29T14:00:00Z,3,18,27.2,2.0,17.6,4.7,90,46,0,0,0,0,0,0
2017-05-06T14:00:00Z,1,4,16.4,0.0,9.2,2.6,85,46,0,0,1,0,1,0
2017-05-14T11:00:00Z,2,17,41.3,6.0,19.0,6.6,90,46,0,0,0,0,4,0
2017-05-21T14:00:00Z,1,4,0.0,0.0,2.2,0.2,19,46,0,0,0,0,2,0
