assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,541,34,0,0,0.0,0.0,2017-09-09T14:00:00Z,0,5,0,0,0,0,4,0,437,2,1,0.0,0,224,290,66,50,True,0
0,0,0,0,0.0,541,43,0,0,0.0,0.0,2017-09-16T14:00:00Z,0,8,0,0,0,0,5,0,658,1,1,0.0,0,27,89,62,50,False,0
0,0,0,0,0.0,541,53,0,0,0.0,0.0,2017-09-23T16:30:00Z,0,10,0,0,0,0,6,0,792,3,2,0.0,0,-18,126,144,50,True,0
0,0,0,0,0.0,541,61,0,0,0.0,0.0,2017-09-30T14:00:00Z,0,2,0,0,0,0,7,0,948,0,0,0.0,0,10,134,124,50,False,0
0,0,0,0,0.0,541,74,0,0,0.0,0.0,2017-10-16T19:00:00Z,0,19,0,0,0,0,8,0,1031,1,1,0.0,0,-34,86,120,50,True,0
0,0,0,0,0.0,541,88,0,0,0.0,0.0,2017-10-21T14:00:00Z,0,16,0,0,0,0,9,0,1062,2,1,0.0,0,-28,45,73,50,False,0
0,0,0,0,0.0,541,96,0,0,0.0,0.0,2017-10-29T16:00:00Z,0,7,0,0,0,0,10,0,1096,0,2,0.0,0,-39,50,89,50,True,0
0,0,0,0,0.0,541,106,0,0,0.0,0.0,2017-11-04T12:30:00Z,0,15,0,0,0,0,11,0,1149,2,2,0.0,0,-17,55,72,50,False,0
0,0,0,0,0.0,541,116,0,0,0.0,0.0,2017-11-18T15:00:00Z,0,11,0,0,0,0,12,0,1195,2,0,0.0,0,-38,38,76,49,True,0
0,0,0,0,0.0,541,129,0,0,0.0,0.0,2017-11-24T20:00:00Z,0,20,0,0,0,0,13,0,1214,1,1,0.0,0,-22,28,50,49,False,0
0,0,0,0,0.0,541,132,0,0,0.0,0.0,2017-11-28T19:45:00Z,0,17,0,0,0,0,14,0,1229,1,2,0.0,0,-18,28,46,49,True,0
0,0,0,0,0.0,541,146,0,0,0.0,0.0,2017-12-02T15:00:00Z,0,4,0,0,0,0,15,0,1254,0,1,0.0,0,-5,33,38,49,True,0
0,0,0,0,0.0,541,156,0,0,0.0,0.0,2017-12-09T17:30:00Z,0,13,0,0,0,0,16,0,1297,3,2,0.0,0,-3,52,55,49,False,0
0,0,0,0,0.0,541,168,0,0,0.0,0.0,2017-12-13T19:45:00Z,0,14,0,0,0,0,17,0,1318,4,1,0.0,0,-15,26,41,49,False,0
0,0,0,0,0.0,541,176,0,0,0.0,0.0,2017-12-16T12:30:00Z,0,6,0,0,0,0,18,0,1331,3,0,0.0,0,-9,37,46,49,True,0
0,0,0,0,0.0,541,185,0,0,0.0,0.0,2017-12-23T19:45:00Z,0,12,0,0,0,0,19,0,1375,2,2,0.0,0,-15,48,63,49,True,0
0,0,10,0,0.3,541,199,2,0,1.2,11.4,2017-12-26T15:00:00Z,72,18,0,0,0,0,20,0,1413,1,2,0.0,0,7,45,38,49,False,1
0,0,0,0,0.0,541,205,0,0,0.0,0.0,2017-12-30T15:00:00Z,0,10,0,0,0,0,21,0,1421,1,2,0.0,0,-26,51,77,49,False,0
0,0,20,1,0.3,541,215,0,0,1.6,16.0,2018-01-01T15:00:00Z,62,8,0,0,0,0,22,0,1469,0,3,0.0,6,20,78,58,49,True,0
0,0,22,1,0.4,541,222,0,0,5.0,16.2,2018-01-13T15:00:00Z,90,5,0,0,0,0,23,0,1730,0,0,33.0,6,162,281,119,49,False,0
0,0,24,1,0.1,541,235,0,0,2.8,27.4,2018-01-20T15:00:00Z,90,18,0,0,0,0,24,0,4093,0,2,0.0,6,2236,2668,432,49,True,0
0,0,18,0,0.3,541,245,2,0,2.4,23.8,2018-01-31T19:45:00Z,90,7,0,0,0,0,25,0,13815,1,2,0.0,1,9176,10770,1594,49,False,0
0,0,19,0,0.6,541,256,1,0,1.7,16.2,2018-02-03T15:00:00Z,90,16,0,0,0,0,26,0,15898,1,1,0.0,2,1896,3215,1319,49,True,0
0,0,19,0,0.0,541,264,5,0,3.0,29.8,2018-02-10T17:30:00Z,90,11,0,0,0,0,27,0,15031,1,5,0.0,0,-1031,1029,2060,49,False,0
0,0,0,0,0.0,541,276,0,0,0.0,0.0,2018-02-24T12:30:00Z,0,15,0,0,0,0,28,0,15785,1,1,0.0,0,581,2162,1581,49,True,0
0,0,0,0,0.0,541,284,0,0,0.0,0.0,2018-03-03T15:00:00Z,0,2,0,0,0,0,29,0,13121,1,1,0.0,0,-2671,120,2791,49,True,0
0,0,0,0,0.0,541,299,0,0,0.0,0.0,2018-03-10T15:00:00Z,0,19,0,0,0,0,30,0,9952,4,1,0.0,0,-2743,69,2812,49,False,0
0,0,0,0,0.0,541,312,0,0,0.0,0.0,2018-03-31T14:00:00Z,0,3,0,0,0,0,32,0,8165,2,0,0.0,0,-799,46,845,49,False,0
0,0,0,0,0.0,541,326,0,0,0.0,0.0,2018-04-07T14:00:00Z,0,13,0,0,0,0,33,0,7322,2,1,0.0,0,-865,34,899,49,True,0
0,0,0,0,0.0,541,331,0,0,0.0,0.0,2018-04-14T14:00:00Z,0,4,0,0,0,0,34,0,6656,1,2,0.0,0,-606,64,670,49,False,0
0,0,26,1,0.5,541,346,0,0,1.9,16.0,2018-04-19T18:45:00Z,90,14,0,0,0,0,34,0,6656,0,0,2.0,6,-606,64,670,49,True,0
0,0,4,0,0.4,541,352,3,0,0.8,7.2,2018-04-28T14:00:00Z,39,6,0,0,0,0,36,0,6350,0,5,0.0,0,-157,59,216,49,False,0
0,0,1,0,0.7,541,366,1,0,1.3,12.6,2018-05-05T14:00:00Z,45,20,0,0,0,0,37,0,6204,2,0,0.0,0,-144,99,243,49,True,1
