kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2016-09-11T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2016-09-18T13:15:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2016-09-24T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2016-10-01T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2016-10-15T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2016-10-22T14:00:00Z,7,30,0.5,0.0,18.8,1.9,90,45,0,0,0,0,0,0
2016-10-31T20:00:00Z,-1,19,0.3,0.0,31.2,3.2,90,45,0,0,0,0,3,0
2016-11-06T15:00:00Z,1,18,0.7,4.0,18.6,2.3,90,45,0,0,0,0,3,0
2016-11-19T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2016-11-26T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2016-12-03T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2016-12-10T15:00:00Z,6,27,0.3,4.0,24.6,2.9,90,45,0,0,0,0,0,0
2016-12-14T20:00:00Z,1,12,0.5,37.0,24.2,6.2,90,45,0,0,0,0,3,0
2016-12-17T15:00:00Z,1,16,1.1,10.0,17.2,2.8,90,45,0,0,0,0,3,0
2016-12-26T15:00:00Z,0,14,10.6,10.0,14.2,3.5,90,45,0,0,0,0,4,0
2016-12-31T15:00:00Z,1,12,0.3,0.0,8.0,0.8,90,45,0,0,0,0,3,0
2017-01-03T20:00:00Z,11,31,13.2,17.0,60.6,9.1,90,45,1,0,0,0,1,0
2017-01-14T15:00:00Z,0,22,0.3,2.0,33.4,3.6,90,45,0,0,0,0,4,0
2017-01-21T12:30:00Z,1,15,0.3,10.0,26.6,3.7,90,45,0,0,0,0,2,0
2017-01-31T19:45:00Z,8,30,0.3,35.0,60.4,9.6,90,45,1,0,0,0,1,0
2017-02-05T13:30:00Z,1,18,0.3,9.0,15.8,2.5,90,45,0,0,0,0,2,0
2017-02-12T16:00:00Z,15,47,0.0,19.0,67.8,8.7,90,45,1,0,0,0,0,0
2017-02-25T15:00:00Z,1,14,0.1,0.0,15.8,1.6,90,45,0,0,0,0,3,0
2017-03-04T15:00:00Z,1,12,0.2,16.0,8.8,2.5,90,46,0,0,0,0,2,0
2017-03-11T15:00:00Z,8,25,0.2,29.0,44.6,7.4,90,46,1,0,0,0,2,0
2017-03-18T17:30:00Z,-1,10,0.4,6.0,10.8,1.7,90,46,0,0,0,0,2,0
2017-04-02T12:30:00Z,5,20,0.6,28.0,10.4,3.9,90,46,0,0,1,0,0,0
2017-04-05T18:45:00Z,1,11,20.1,4.0,20.8,4.5,90,46,0,0,0,0,3,0
2017-04-08T14:00:00Z,2,11,0.8,0.0,16.4,1.7,90,46,0,0,0,0,1,0
2017-04-15T14:00:00Z,2,18,0.3,0.0,19.8,2.0,90,46,0,0,0,0,1,0
2017-04-22T14:00:00Z,6,27,0.1,0.0,18.8,1.9,90,46,0,0,0,0,0,0
2017-04-30T11:00:00Z,2,13,0.2,18.0,11.0,2.9,90,46,0,0,0,0,1,0
2017-05-06T16:30:00Z,7,26,0.0,38.0,34.2,7.2,90,46,0,0,0,0,0,0
2017-05-13T14:00:00Z,6,26,0.0,2.0,19.2,2.1,90,46,0,0,0,0,0,0
2017-05-21T14:00:00Z,2,17,10.3,4.0,26.0,4.0,90,46,0,0,0,0,1,0
