kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2016-08-13T16:30:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2016-08-21T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2016-08-27T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2016-09-12T19:00:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2016-09-18T15:30:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2016-09-24T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2016-10-01T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2016-10-15T14:00:00Z,0,2,11.3,2.0,8.8,2.2,51,44,0,0,1,0,1,0
2016-10-22T14:00:00Z,0,0,0.1,0.0,0.0,0.0,5,44,0,0,1,0,1,0
2016-10-29T11:30:00Z,0,15,1.8,12.0,12.4,2.6,90,44,0,0,0,0,4,0
2016-11-05T15:00:00Z,2,17,11.8,8.0,21.6,4.1,90,44,0,0,0,0,1,0
2016-11-19T15:00:00Z,5,25,25.2,22.0,25.6,7.3,90,44,0,0,1,0,0,0
2016-11-26T15:00:00Z,1,10,10.9,0.0,21.8,3.3,90,44,0,0,0,0,2,0
2016-12-03T15:00:00Z,2,22,23.7,2.0,24.0,5.0,90,44,0,0,0,0,1,0
2016-12-10T15:00:00Z,1,13,6.2,8.0,18.2,3.2,90,44,0,0,0,0,3,0
2016-12-14T19:45:00Z,1,4,11.0,4.0,7.6,2.3,58,44,0,0,0,0,1,0
2016-12-17T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2016-12-26T15:00:00Z,1,11,25.5,0.0,25.2,5.1,90,44,0,0,0,0,3,0
2016-12-31T15:00:00Z,-1,11,10.9,4.0,19.8,3.5,90,44,0,0,1,0,4,0
2017-01-02T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2017-01-14T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2017-01-21T15:00:00Z,1,18,23.2,23.0,25.6,7.2,90,44,0,0,0,0,2,0
2017-01-31T19:45:00Z,9,29,11.9,0.0,28.4,4.0,90,44,0,0,0,0,0,0
2017-02-04T15:00:00Z,6,24,11.1,0.0,18.2,2.9,90,44,0,0,0,0,0,0
2017-02-11T15:00:00Z,0,12,2.2,6.0,7.2,1.5,90,44,0,0,0,0,4,0
2017-02-25T15:00:00Z,1,11,12.1,50.0,17.2,7.9,89,44,0,0,0,0,2,0
2017-03-05T16:00:00Z,1,10,11.7,33.0,13.8,5.9,90,44,0,0,0,0,2,0
2017-03-18T15:00:00Z,5,13,25.9,9.0,8.4,4.3,90,44,0,0,1,0,0,0
2017-04-01T14:00:00Z,1,5,22.2,4.0,21.8,4.8,90,44,0,0,1,0,1,0
2017-04-04T18:45:00Z,1,11,25.8,0.0,19.2,4.5,90,44,0,0,0,0,2,0
2017-04-09T12:30:00Z,1,12,14.8,8.0,10.0,3.3,90,44,0,0,0,0,3,0
2017-04-15T14:00:00Z,1,11,11.6,9.0,16.0,3.7,87,44,0,0,0,0,2,0
2017-04-26T18:45:00Z,1,4,12.8,12.0,2.8,2.8,90,44,0,0,1,0,1,0
2017-04-29T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2017-05-06T14:00:00Z,15,45,26.1,33.0,50.6,11.0,90,44,1,0,0,0,0,0
2017-05-13T14:00:00Z,1,10,26.4,19.0,14.4,6.0,90,44,0,0,0,0,2,0
2017-05-16T18:45:00Z,1,17,11.1,2.0,25.2,3.8,90,44,0,0,0,0,2,0
2017-05-21T14:00:00Z,-1,6,0.2,0.0,13.0,1.3,90,44,0,0,1,0,5,0
