gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,17
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,19
3,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,14
4,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,15
5,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,12
6,1,8,3.3,0.0,9.4,1.3,90,44,0,0,1,0,1,0,False,2
7,1,11,2.0,0.0,14.6,1.7,80,44,0,0,1,0,1,0,True,5
8,2,17,0.5,0.0,21.2,2.2,90,44,0,0,0,0,1,0,False,10
9,2,15,24.6,0.0,11.8,3.6,90,44,0,0,0,0,2,0,False,3
10,2,11,12.0,0.0,17.0,2.9,90,43,0,0,1,0,0,0,True,20
11,1,3,0.4,0.0,3.0,0.3,35,43,0,0,0,0,2,0,False,4
12,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,16
13,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,13
14,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,11
15,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,18
16,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,1
17,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,9
18,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,8
19,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,7
20,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,13
21,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,10
22,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,5
23,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,17
24,3,27,12.8,2.0,27.4,4.2,90,43,0,0,0,0,0,0,False,5
25,2,14,17.8,0.0,19.2,3.7,90,43,0,0,0,0,4,0,True,13
26,1,14,1.3,19.0,15.6,3.6,90,43,0,0,1,0,2,0,False,6
27,2,16,15.1,0.0,14.6,3.0,90,43,0,0,0,0,2,0,True,10
28,3,19,29.1,1.0,12.4,4.3,90,43,0,0,0,0,0,0,True,3
29,2,17,3.9,0.0,15.4,1.9,90,43,0,0,0,0,1,0,False,18
30,2,21,22.3,0.0,24.2,4.7,90,43,0,0,0,0,2,0,False,8
31,1,9,4.2,7.0,15.0,2.6,38,43,0,0,0,0,1,0,True,11
32,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,20
33,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,12
34,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,2
35,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,False,7
36,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,True,16
37,2,12,5.3,0.0,18.4,2.4,90,42,0,0,0,0,2,0,False,1
38,2,9,0.8,8.0,11.4,2.0,90,42,0,0,0,0,5,0,False,4
