assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,563,171,0,0,0.0,0.0,2018-12-22T12:30:00Z,0,4,0,0,0,0,18,0,0,1,3,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,563,181,0,0,0.0,0.0,2018-12-26T17:15:00Z,0,3,0,0,0,0,19,0,96,1,1,0.0,0,52,73,21,45,False,0
0,0,0,0,0.0,563,196,0,0,0.0,0.0,2018-12-29T17:30:00Z,0,12,0,0,0,0,20,0,167,1,5,0.0,0,29,65,36,45,False,0
0,0,3,0,0.0,563,201,0,0,0.0,0.0,2019-01-01T15:00:00Z,7,9,0,0,0,0,21,0,234,1,4,0.0,1,25,74,49,45,True,0
0,0,0,0,0.0,563,220,0,0,0.0,0.0,2019-01-12T12:30:00Z,0,19,0,0,0,0,22,0,426,0,1,0.0,0,71,167,96,45,False,0
0,0,0,0,0.0,563,221,0,0,0.0,0.0,2019-01-19T17:30:00Z,0,6,0,0,0,0,23,0,451,0,2,0.0,0,-11,82,93,45,True,0
0,0,0,0,0.0,563,231,0,0,0.0,0.0,2019-01-29T19:45:00Z,0,5,0,0,0,0,24,0,525,1,2,0.0,0,18,95,77,45,True,0
0,0,0,0,0.0,563,248,0,0,0.0,0.0,2019-02-03T16:30:00Z,0,13,0,0,0,0,25,0,562,1,3,0.0,0,15,46,31,45,False,0
0,0,0,0,0.0,563,254,0,0,0.0,0.0,2019-02-09T15:00:00Z,0,10,0,0,0,0,26,0,612,2,1,0.0,0,11,98,87,45,False,0
0,0,0,0,0.0,563,261,0,0,0.0,0.0,2019-02-24T14:05:00Z,0,16,0,0,0,0,27,0,714,0,2,0.0,0,32,92,60,45,True,0
0,0,0,0,0.0,563,271,0,0,0.0,0.0,2019-02-27T19:45:00Z,0,2,0,0,0,0,28,0,725,1,5,0.0,0,3,36,33,45,True,0
