kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2019-01-30T19:45:00Z,1,3,0.0,0.0,0.0,0.0,1,45,0,0,0,0,0,0
2019-02-02T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2019-02-09T15:00:00Z,1,3,0.1,0.0,3.0,0.3,10,45,0,0,0,0,0,0
2019-02-23T15:00:00Z,2,14,0.2,4.0,11.4,1.6,90,45,0,0,0,0,1,0
2019-02-27T19:45:00Z,0,14,0.7,0.0,12.2,1.3,90,45,0,0,0,0,5,0
2019-03-02T15:00:00Z,2,7,0.2,4.0,22.6,2.7,90,45,0,0,0,0,1,0
2019-03-09T15:00:00Z,6,23,0.1,0.0,25.4,2.6,90,45,0,0,0,0,0,0
2019-03-16T15:00:00Z,1,13,0.3,6.0,20.4,2.7,90,45,0,0,0,0,2,0
2019-03-30T15:00:00Z,1,13,0.4,2.0,13.6,1.6,90,45,0,0,0,0,2,0
2019-04-06T14:00:00Z,1,13,0.7,0.0,18.4,1.9,90,45,0,0,0,0,3,0
2019-04-13T14:00:00Z,5,22,0.3,0.0,16.8,1.7,90,45,0,0,1,0,0,0
2019-04-20T14:00:00Z,2,12,0.8,2.0,7.2,1.0,75,45,0,0,0,0,1,0
2019-04-27T14:00:00Z,1,3,0.0,0.0,2.8,0.3,22,45,0,0,0,0,1,0
2019-05-04T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2019-05-12T14:00:00Z,4,18,20.3,4.0,23.4,4.8,20,45,0,1,0,0,1,0
2019-08-10T14:00:00Z,10,24,1.2,68.0,47.4,11.7,90,45,1,0,0,0,1,0
2019-08-17T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2019-08-25T13:00:00Z,1,13,0.9,2.0,19.2,2.2,90,45,0,0,0,0,3,0
2019-08-31T14:00:00Z,1,13,0.4,2.0,25.0,2.7,90,45,0,0,0,0,3,0
2019-09-15T13:00:00Z,1,3,0.0,0.0,0.0,0.0,1,45,0,0,0,0,0,0
2019-09-20T19:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2019-09-28T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2019-10-06T13:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2019-10-19T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2019-10-26T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2019-11-02T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2019-11-09T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2019-11-23T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0
2019-11-30T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0
2019-12-03T19:30:00Z,2,12,1.4,21.0,25.6,4.8,90,43,0,0,0,0,1,0
2019-12-07T15:00:00Z,1,13,0.0,0.0,16.6,1.7,90,43,0,0,0,0,3,0
2019-12-14T15:00:00Z,6,24,0.3,27.0,28.6,5.6,90,43,0,0,0,0,0,0
2019-12-21T15:00:00Z,2,16,0.1,8.0,15.4,2.4,90,43,0,0,0,0,1,0
2019-12-26T15:00:00Z,1,10,0.7,4.0,29.2,3.4,90,43,0,0,1,0,1,0
2019-12-28T12:30:00Z,1,19,10.7,4.0,29.0,4.4,90,43,0,0,0,0,2,0
2020-01-01T17:30:00Z,0,14,0.8,0.0,32.6,3.3,90,43,0,0,0,0,4,0
2020-01-12T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0
2020-01-18T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0
2020-01-21T19:30:00Z,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0
2020-02-01T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0
2020-02-09T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0
2020-02-22T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0
2020-02-29T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0
2020-03-07T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0
