assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,293,6,0,0,0.0,0.0,2016-08-13T14:00:00Z,0,14,0,0,0,0,1,0,7955,1,1,0.0,0,0,0,0,50,True,0
0,3,63,0,4.6,293,19,1,2,10.3,74.4,2016-08-21T12:30:00Z,90,15,0,0,0,0,2,0,6829,2,1,24.0,13,-1670,178,1848,49,False,0
0,0,10,1,19.9,293,30,0,0,6.1,19.8,2016-08-28T12:30:00Z,90,19,0,0,0,0,3,0,135807,0,0,21.0,2,107758,116052,8294,50,False,0
0,0,9,0,6.6,293,36,2,0,1.0,1.8,2016-09-10T14:00:00Z,80,5,0,0,0,0,4,0,206064,2,1,2.0,2,56294,87442,31148,50,True,0
0,0,0,0,0.0,293,42,0,0,0.0,0.0,2016-09-17T16:30:00Z,0,6,0,0,0,0,5,0,202490,1,3,0.0,0,-9643,31120,40763,51,False,0
0,0,3,0,2.1,293,55,2,0,0.5,0.6,2016-09-24T14:00:00Z,90,17,0,0,0,0,6,0,179150,2,1,2.0,2,-24989,18938,43927,51,True,0
0,1,29,0,23.6,293,70,1,1,10.8,41.0,2016-10-01T14:00:00Z,90,20,0,0,0,0,7,0,185070,1,1,43.0,6,4029,25318,21289,51,False,1
0,0,0,0,15.0,293,77,1,0,1.5,0.0,2016-10-16T12:30:00Z,68,18,0,0,0,0,8,0,225683,1,0,3.0,1,36038,48486,12448,51,True,1
0,0,3,0,0.0,293,81,0,0,0.0,0.0,2016-10-22T14:00:00Z,1,1,0,0,0,0,9,0,228076,0,0,0.0,1,695,20515,19820,51,False,0
0,0,0,0,0.0,293,94,0,0,0.0,0.0,2016-10-29T14:00:00Z,0,2,0,0,0,0,10,0,229462,0,2,0.0,0,-24,17445,17469,51,True,0
0,0,1,0,0.0,293,108,0,0,0.0,0.0,2016-11-05T15:00:00Z,1,10,0,0,0,0,11,0,208030,1,1,0.0,1,-22301,13415,35716,51,False,0
0,0,0,0,0.0,293,114,0,0,0.0,0.0,2016-11-20T16:00:00Z,0,4,0,0,0,0,12,0,207059,1,0,0.0,0,-2773,18423,21196,51,True,0
0,0,-2,0,0.3,293,125,1,0,0.1,0.0,2016-11-26T15:00:00Z,12,8,0,0,0,0,13,0,191846,2,2,2.0,0,-15762,5918,21680,50,False,1
0,0,4,0,0.1,293,135,0,0,0.1,0.4,2016-12-05T20:00:00Z,10,7,0,0,0,0,14,0,174860,0,1,0.0,1,-17503,5527,23030,49,True,0
0,0,12,0,0.9,293,150,1,0,5.2,1.4,2016-12-11T14:15:00Z,80,13,0,0,0,0,15,0,165010,0,1,50.0,2,-10410,6166,16576,49,False,0
0,0,0,0,0.0,293,158,0,0,0.0,0.0,2016-12-14T19:45:00Z,0,9,0,0,0,0,16,0,162180,3,0,0.0,0,-3177,5232,8409,48,True,0
0,0,0,0,0.0,293,165,0,0,0.0,0.0,2016-12-17T15:00:00Z,0,16,0,0,0,0,17,0,148984,0,3,0.0,0,-13396,2864,16260,48,True,0
0,0,3,0,1.3,293,172,1,0,3.2,0.0,2016-12-26T15:00:00Z,85,3,0,0,0,0,18,0,131196,0,1,31.0,2,-17919,997,18916,47,False,0
0,0,0,0,0.0,293,187,0,0,0.0,0.0,2016-12-31T15:00:00Z,0,11,0,0,0,0,19,0,131448,1,2,0.0,0,-95,4360,4455,47,False,0
0,0,0,0,0.0,293,195,0,0,0.0,0.0,2017-01-02T12:30:00Z,0,8,0,0,0,0,20,0,129018,0,0,0.0,0,-2626,3917,6543,47,True,0
0,0,14,1,20.1,293,209,0,0,3.8,8.0,2017-01-14T15:00:00Z,64,18,0,0,0,0,21,0,122345,0,0,10.0,2,-7183,5332,12515,47,False,0
0,0,28,0,18.7,293,217,2,1,9.8,38.0,2017-01-21T15:00:00Z,79,20,0,0,0,0,22,0,120946,3,1,41.0,6,-1692,4339,6031,47,True,0
0,0,4,0,3.3,293,224,1,0,8.7,11.2,2017-01-31T19:45:00Z,68,19,0,0,0,0,23,0,129406,1,1,72.0,2,7728,12182,4454,47,True,0
0,0,2,0,1.1,293,238,0,0,0.5,1.8,2017-02-04T17:30:00Z,29,17,0,0,0,0,24,0,130356,0,1,2.0,1,705,5349,4644,47,False,0
0,0,1,1,0.8,293,246,0,0,6.3,3.2,2017-02-11T15:00:00Z,66,6,0,0,0,0,25,0,124863,0,0,59.0,2,-5706,2629,8335,47,True,0
0,0,3,0,3.8,293,252,1,0,5.8,7.4,2017-02-25T15:00:00Z,78,5,0,0,0,0,26,0,125238,0,1,47.0,2,-19,4673,4692,47,False,0
0,0,5,0,1.7,293,264,0,0,1.2,3.4,2017-03-04T15:00:00Z,45,14,0,0,0,0,27,0,128877,0,2,7.0,1,3377,8545,5168,47,False,0
0,0,0,0,0.0,293,285,0,0,0.0,0.0,2017-03-19T12:00:00Z,0,11,0,0,0,0,29,0,121457,3,1,0.0,0,-2642,1273,3915,47,True,0
0,0,0,0,0.0,293,299,0,0,0.0,0.0,2017-04-02T12:30:00Z,0,16,0,0,0,0,30,0,118612,0,0,0.0,0,-2997,1235,4232,47,False,0
0,0,3,0,0.5,293,303,0,0,0.3,0.2,2017-04-05T18:45:00Z,10,7,0,0,0,0,31,0,117483,2,4,2.0,1,-1166,994,2160,47,False,0
0,0,-1,0,1.4,293,315,0,0,0.1,0.0,2017-04-08T14:00:00Z,57,3,0,0,0,0,32,0,116218,0,0,0.0,1,-1317,1179,2496,47,True,0
0,0,0,0,0.0,293,324,0,0,0.0,0.0,2017-04-17T19:00:00Z,0,1,0,0,0,0,33,0,114767,2,1,0.0,0,-1523,1225,2748,46,True,0
0,0,0,0,0.0,293,332,0,0,0.0,0.0,2017-04-22T14:00:00Z,0,2,0,0,0,0,34,0,112843,0,4,0.0,0,-1990,1767,3757,46,False,0
0,0,2,1,4.2,293,278,0,0,2.1,6.6,2017-04-26T18:45:00Z,90,15,0,0,0,0,34,0,112843,0,1,10.0,2,-1990,1767,3757,46,True,0
0,0,7,0,2.4,293,344,1,0,0.9,4.8,2017-04-30T13:05:00Z,72,10,0,0,0,0,35,0,110880,2,2,2.0,1,-2011,551,2562,46,True,1
0,0,0,0,0.0,293,354,0,0,0.0,0.0,2017-05-08T19:00:00Z,0,4,0,0,0,0,36,0,109741,0,3,0.0,0,-1185,711,1896,46,False,0
0,0,0,0,0.0,293,365,0,0,0.0,0.0,2017-05-13T14:00:00Z,0,13,0,0,0,0,37,0,108676,2,1,0.0,0,-1111,856,1967,46,True,0
0,0,0,0,0.0,293,376,0,0,0.0,0.0,2017-05-21T14:00:00Z,0,9,0,0,0,0,38,0,107545,0,3,0.0,0,-1198,1092,2290,46,False,0
