gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,7
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,2
3,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,19
4,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,15
5,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,5
6,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,3
6,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,19
7,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,2
8,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,14
9,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,18
10,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,8
11,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,4
12,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,9
13,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,17
14,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,16
15,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,6
16,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,5
17,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,10
18,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,15
19,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,20
19,1,1,2.8,4.0,0.0,0.5,14,45,0,0,0,0,0,0,False,3
20,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,18
21,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,9
22,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,20
23,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,15
24,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,17
25,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,12
26,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,20
27,1,7,0.7,0.0,5.2,0.6,5,45,0,0,0,0,0,0,False,19
28,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,16
29,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,14
30,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,19
31,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,18
32,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,3
