assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,22,1,6.3,483,2,0,0,1.3,1.8,2017-08-12T16:30:00Z,67,3,0,0,0,0,1,0,168249,2,0,5.0,6,0,0,0,55,False,0
0,0,4,0,2.1,483,20,0,0,2.9,5.4,2017-08-21T19:00:00Z,25,7,0,0,0,0,2,0,215626,1,1,21.0,1,9680,23285,13605,55,True,0
1,0,23,0,20.8,483,21,1,0,9.9,35.0,2017-08-26T11:30:00Z,90,2,0,0,0,0,3,0,219201,2,1,43.0,5,-6796,24532,31328,55,False,0
0,0,28,1,7.4,483,35,0,0,2.5,17.4,2017-09-09T11:30:00Z,90,10,0,0,0,0,4,0,222946,0,5,0.0,6,-11701,22221,33922,55,True,0
0,0,0,0,0.0,483,47,0,0,0.0,0.0,2017-09-16T14:00:00Z,0,18,0,0,0,0,5,0,261367,6,0,0.0,0,28685,48799,20114,55,False,0
0,0,22,1,9.4,483,54,0,0,1.9,5.6,2017-09-23T14:00:00Z,61,6,0,0,0,0,6,0,208278,0,5,4.0,5,-55522,5592,61114,55,True,1
0,0,3,0,0.0,483,62,0,0,0.0,0.0,2017-09-30T16:30:00Z,1,5,0,0,0,0,7,0,200962,1,0,0.0,1,-9931,13053,22984,54,False,0
0,0,0,0,0.0,483,76,0,0,0.0,0.0,2017-10-14T14:00:00Z,0,15,0,0,0,0,8,0,178183,2,7,0.0,0,-24477,5500,29977,54,True,0
0,0,0,0,0.0,483,84,0,0,0.0,0.0,2017-10-21T14:00:00Z,0,4,0,0,0,0,9,0,154034,0,3,0.0,0,-24606,1618,26224,53,True,0
0,0,0,0,0.0,483,100,0,0,0.0,0.0,2017-10-28T14:00:00Z,0,19,0,0,0,0,10,0,129947,3,2,0.0,0,-24582,1093,25675,52,False,0
0,0,0,0,0.0,483,110,0,0,0.0,0.0,2017-11-05T14:15:00Z,0,1,0,0,0,0,11,0,118345,1,3,0.0,0,-11969,691,12660,52,True,0
0,0,0,0,0.0,483,116,0,0,0.0,0.0,2017-11-18T15:00:00Z,0,9,0,0,0,0,12,0,112269,2,0,0.0,0,-6635,1916,8551,51,False,0
0,0,0,0,0.0,483,122,0,0,0.0,0.0,2017-11-26T16:00:00Z,0,8,0,0,0,0,13,0,107805,2,1,0.0,0,-4742,1265,6007,51,False,0
0,0,0,0,0.0,483,139,0,0,0.0,0.0,2017-11-29T20:00:00Z,0,14,0,0,0,0,14,0,104250,1,2,0.0,0,-3745,694,4439,51,True,0
0,0,9,0,7.3,483,147,1,0,1.6,4.2,2017-12-03T16:00:00Z,45,20,0,0,0,0,15,0,100999,1,2,4.0,1,-3463,592,4055,51,True,0
0,0,0,0,0.0,483,155,0,0,0.0,0.0,2017-12-10T16:30:00Z,0,12,0,0,0,0,16,0,99234,2,1,0.0,0,-2201,856,3057,50,False,0
0,1,34,1,8.2,483,165,0,0,4.0,20.6,2017-12-13T19:45:00Z,90,16,0,0,0,0,17,0,97871,4,0,11.0,7,-1592,743,2335,50,False,0
0,0,0,0,0.0,483,177,0,0,0.0,0.0,2017-12-16T17:30:00Z,0,17,0,0,0,0,18,0,98051,1,4,0.0,0,-146,1464,1610,50,True,0
0,0,17,0,1.2,483,186,0,1,5.3,35.2,2017-12-23T15:00:00Z,9,2,0,0,0,0,19,0,98208,0,4,17.0,7,-315,2844,3159,50,True,0
0,2,27,1,29.0,483,197,0,0,5.0,19.8,2017-12-27T19:45:00Z,90,13,0,0,0,0,20,0,103729,1,0,1.0,8,4894,6664,1770,50,False,0
0,0,26,1,3.8,483,203,0,0,3.0,26.4,2017-12-31T12:00:00Z,90,6,0,0,0,0,21,0,126872,0,0,0.0,6,22086,25454,3368,50,False,0
0,0,3,0,0.2,483,216,1,0,0.8,8.0,2018-01-02T20:00:00Z,23,18,0,0,0,0,22,0,149218,1,3,0.0,1,21745,28163,6418,50,True,0
0,0,10,0,2.1,483,225,3,0,1.8,15.4,2018-01-14T16:00:00Z,59,10,0,0,0,0,23,0,148089,3,4,0.0,0,-2887,13654,16541,50,False,0
0,0,0,0,0.0,483,236,0,0,0.0,0.0,2018-01-20T17:30:00Z,0,13,0,0,0,0,24,0,157870,1,3,0.0,0,8773,19415,10642,50,True,0
0,0,0,0,0.0,483,246,0,0,0.0,0.0,2018-01-31T20:00:00Z,0,19,0,0,0,0,25,0,144969,0,3,0.0,0,-13615,3306,16921,50,True,0
0,2,29,0,5.7,483,254,1,1,8.3,52.0,2018-02-03T12:30:00Z,90,4,0,0,0,0,26,0,133084,1,1,25.0,10,-12060,878,12938,50,False,0
0,0,6,0,1.2,483,264,0,0,0.8,7.2,2018-02-10T17:30:00Z,25,9,0,0,0,0,27,0,159523,1,5,0.0,1,24754,28720,3966,50,True,0
0,0,26,1,3.3,483,271,0,0,1.7,13.6,2018-03-01T19:45:00Z,90,1,0,0,0,0,28,0,152617,3,0,0.0,6,-8016,4032,12048,50,False,0
0,0,3,0,0.1,483,286,0,0,0.0,0.0,2018-03-04T16:00:00Z,3,5,0,0,0,0,29,0,169932,0,1,0.0,1,15979,19401,3422,50,True,0
0,0,0,0,0.0,483,298,0,0,0.0,0.0,2018-03-12T20:00:00Z,0,15,0,0,0,0,30,0,167926,2,0,0.0,0,594,8671,8077,50,False,0
0,0,3,0,0.0,483,315,0,0,0.1,1.2,2018-03-31T16:30:00Z,3,7,0,0,0,0,32,0,157042,3,1,0.0,1,-4444,1509,5953,50,False,0
0,0,3,0,2.6,483,327,3,0,1.6,6.8,2018-04-07T16:30:00Z,90,12,0,0,0,0,33,0,150649,3,2,7.0,0,-6485,571,7056,50,True,1
0,0,0,0,0.0,483,339,0,0,0.0,0.0,2018-04-14T18:45:00Z,0,17,0,0,0,0,34,0,144958,3,1,0.0,0,-5188,1059,6247,50,False,0
