kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2019-08-11T13:00:00Z,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0
2019-08-18T15:30:00Z,1,8,0.1,0.0,5.0,0.5,17,55,0,0,0,0,0,0
2019-08-24T14:00:00Z,2,8,12.4,8.0,4.2,2.5,63,55,0,0,0,0,1,0
2019-08-31T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0
2019-09-14T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2019-09-21T11:30:00Z,1,5,0.7,0.0,5.2,0.6,23,54,0,0,0,0,0,0
2019-09-29T15:30:00Z,6,15,8.4,20.0,4.6,3.3,78,53,0,1,0,0,0,0
2019-10-05T14:00:00Z,2,10,3.1,1.0,8.8,1.3,72,53,0,0,0,0,1,0
2019-10-19T14:00:00Z,1,3,0.3,0.0,1.6,0.2,17,53,0,0,0,0,0,0
2019-10-25T19:00:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2019-11-03T14:00:00Z,1,7,10.1,0.0,3.2,1.3,1,53,0,0,0,0,0,0
2019-11-09T17:30:00Z,1,4,5.2,18.0,3.8,2.7,16,53,0,0,0,0,0,0
2019-11-23T15:00:00Z,1,3,2.4,0.0,5.0,0.7,20,53,0,0,0,0,0,0
2019-12-01T16:30:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2019-12-04T19:30:00Z,1,1,1.8,36.0,1.2,3.9,45,53,0,0,0,0,0,0
2019-12-08T14:00:00Z,5,25,15.9,4.0,22.4,4.2,75,53,0,1,0,0,1,0
2019-12-14T15:00:00Z,1,14,27.9,0.0,13.2,4.1,45,53,0,0,0,0,1,0
2019-12-21T17:30:00Z,1,3,0.5,0.0,0.6,0.1,13,53,0,0,0,0,0,0
2019-12-26T20:00:00Z,2,4,4.9,5.0,0.0,0.9,71,53,0,0,0,0,2,0
2019-12-28T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2020-01-01T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2020-01-11T15:00:00Z,10,26,2.8,35.0,39.4,7.7,76,53,1,0,0,0,1,0
2020-01-19T14:00:00Z,5,25,15.1,19.0,33.0,6.7,73,53,0,1,0,0,1,0
2020-01-22T19:30:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2020-02-01T12:30:00Z,1,4,0.1,0.0,1.2,0.1,10,53,0,0,0,0,0,0
2020-02-14T20:00:00Z,1,3,0.4,18.0,0.4,1.9,15,53,0,0,0,0,0,0
2020-02-22T17:30:00Z,2,6,1.9,0.0,0.0,0.2,84,53,0,0,0,0,1,0
2020-02-28T20:00:00Z,1,6,5.4,11.0,10.6,2.7,72,53,0,0,1,0,1,0
2020-03-09T20:00:00Z,2,8,12.3,2.0,10.8,2.5,75,53,0,0,1,0,0,0
