gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,15,0.3,0.0,20.4,2.1,90,40,0,0,1,0,2,0,False,10
2,1,14,16.8,0.0,17.2,3.4,90,40,0,0,0,0,2,0,True,12
3,1,2,0.1,0.0,6.2,0.6,14,40,0,0,0,0,1,0,False,13
4,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,6
5,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,17
6,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,5
7,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,19
8,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,14
9,0,0,0.0,0.0,0.0,0.0,0,41,0,0,0,0,0,0,False,20
10,0,0,0.0,0.0,0.0,0.0,0,41,0,0,0,0,0,0,True,1
11,1,3,0.5,0.0,0.4,0.1,1,41,0,0,0,0,0,0,False,2
12,1,3,0.0,0.0,3.0,0.3,3,41,0,0,0,0,0,0,True,7
13,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,9
14,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,8
15,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,16
16,1,4,4.6,0.0,8.4,1.3,32,40,0,0,0,0,0,0,True,4
17,6,28,18.3,0.0,14.0,3.2,87,40,0,0,0,0,0,0,True,18
18,1,4,0.2,0.0,2.0,0.2,5,40,0,0,0,0,0,0,False,11
19,1,3,0.4,0.0,1.8,0.2,19,40,0,0,0,0,0,0,False,3
20,1,10,0.4,0.0,16.2,1.7,90,40,0,0,0,0,2,0,True,9
21,5,33,30.3,10.0,43.2,8.4,90,40,0,1,0,0,3,0,True,14
22,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,19
23,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,17
24,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,5
25,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,13
26,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,6
27,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,10
28,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,3
29,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,18
30,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,False,8
31,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,True,11
32,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,True,20
33,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,False,12
34,2,14,1.7,7.0,24.8,3.4,90,39,0,0,0,0,1,0,True,2
35,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,False,7
36,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0,0,0,0,True,16
37,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0,0,0,0,False,1
38,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0,0,0,0,False,4
