kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2018-05-13T14:00:00Z,1,3,0.0,0.0,0.0,0.0,1,45,0,0,0,0,0,0
2018-09-02T15:00:00Z,1,18,38.6,11.0,12.8,6.2,79,45,0,0,1,0,2,0
2018-09-16T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2018-09-22T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2018-09-30T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2018-10-06T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2018-10-20T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2018-10-28T13:30:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2018-11-03T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2018-11-10T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2018-11-26T20:30:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2018-12-01T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2018-12-05T19:45:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2018-12-08T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2018-12-15T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2018-12-22T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2018-12-26T15:00:00Z,1,3,0.2,9.0,0.0,0.8,27,44,0,0,0,0,2,0
2018-12-30T14:15:00Z,8,27,24.0,85.0,47.4,15.6,90,44,1,0,0,0,0,0
2019-01-02T19:45:00Z,5,23,15.6,7.0,29.8,5.2,62,44,0,1,0,0,1,0
2019-01-12T15:00:00Z,2,14,40.4,28.0,25.4,9.4,90,44,0,0,0,0,1,0
2019-01-19T15:00:00Z,3,3,36.0,12.0,9.2,5.7,90,44,0,0,0,0,0,0
2019-01-29T20:00:00Z,3,11,18.4,15.0,17.4,5.1,77,44,0,0,0,0,0,0
2019-02-02T15:00:00Z,2,20,44.5,8.0,21.2,7.4,80,44,0,0,0,0,1,0
2019-02-09T17:30:00Z,6,24,10.8,10.0,33.8,5.5,90,44,0,1,0,0,1,0
2019-02-23T12:30:00Z,5,15,35.0,21.0,24.8,8.1,79,44,0,1,0,0,1,0
2019-02-26T20:00:00Z,1,3,5.1,0.0,5.2,1.0,45,44,0,0,0,0,2,0
2019-03-02T15:00:00Z,2,9,13.0,1.0,5.4,1.9,71,44,0,0,0,0,2,0
2019-03-10T12:00:00Z,2,11,5.1,2.0,8.4,1.6,90,44,0,0,0,0,4,0
2019-03-16T15:00:00Z,8,26,3.7,23.0,32.6,5.9,90,44,1,0,0,0,2,0
2019-03-30T15:00:00Z,9,27,15.9,34.0,43.4,9.3,86,44,1,0,1,0,0,0
2019-04-06T14:00:00Z,2,11,24.4,8.0,12.6,4.5,90,44,0,0,0,0,1,0
