kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2016-08-28T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2016-09-10T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2016-09-17T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2016-09-25T15:00:00Z,1,3,0.7,0.0,1.8,0.3,9,50,0,0,0,0,1,0
2016-10-01T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2016-10-15T16:30:00Z,1,4,0.2,0.0,4.2,0.4,13,50,0,0,0,0,0,0
2016-10-22T14:00:00Z,2,11,15.3,41.0,7.6,6.4,90,50,0,0,1,0,0,0
2016-10-30T13:30:00Z,2,5,2.3,8.0,1.4,1.2,70,49,0,0,0,0,1,0
2016-11-05T15:00:00Z,0,-3,1.2,0.0,0.0,0.0,29,49,0,0,1,0,1,0
2016-11-19T17:30:00Z,1,3,11.6,0.0,5.4,1.7,30,49,0,0,0,0,2,0
2016-11-27T16:30:00Z,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0
2016-12-03T17:30:00Z,2,7,13.6,0.0,3.0,1.7,62,49,0,0,0,0,1,0
2016-12-11T16:30:00Z,1,4,0.6,0.0,1.4,0.2,13,49,0,0,0,0,0,0
2016-12-14T19:45:00Z,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0
2016-12-17T15:00:00Z,1,6,12.3,16.0,10.2,3.9,45,49,0,0,0,0,0,0
2016-12-26T15:00:00Z,1,5,2.8,19.0,5.4,2.7,16,49,0,0,0,0,1,0
2016-12-31T15:00:00Z,1,1,0.5,8.0,0.0,0.6,13,49,0,0,0,0,0,0
2017-01-02T17:15:00Z,1,3,0.3,0.0,2.0,0.2,9,49,0,0,0,0,0,0
2017-01-14T15:00:00Z,1,3,0.3,0.0,5.0,0.5,4,48,0,0,0,0,0,0
2017-01-21T15:00:00Z,1,0,0.8,2.0,0.0,0.1,37,48,0,0,0,0,0,0
2017-02-01T19:45:00Z,1,7,0.4,8.0,4.0,1.2,27,48,0,0,0,0,1,0
2017-02-04T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2017-02-11T15:00:00Z,1,3,0.0,0.0,0.2,0.0,4,48,0,0,0,0,1,0
2017-02-25T17:30:00Z,1,3,0.0,0.0,2.0,0.2,1,48,0,0,0,0,0,0
2017-03-06T20:00:00Z,1,2,0.7,0.0,3.2,0.4,14,48,0,0,0,0,0,0
