gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,11
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,13
3,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,6
4,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,12
5,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,19
6,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,18
7,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,15
7,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,4
8,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,17
9,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,True,7
10,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,False,9
11,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,True,1
12,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,False,15
13,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,True,11
14,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,6
15,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,18
16,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,2
17,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,12
18,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,19
19,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,10
20,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,16
21,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,13
22,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,20
23,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,8
24,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,14
25,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,7
26,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,3
27,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,15
28,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,1
29,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,9
30,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,3
31,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,2
32,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,18
33,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,19
34,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,12
35,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,11
36,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,6
37,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,17
38,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,20
39,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,14
40,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,4
41,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,16
42,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,10
43,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,8
44,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,13
