gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,9
2,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,11
3,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,7
4,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,12
5,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,20
6,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,2
7,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,17
8,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,14
9,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,10
10,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,16
11,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,4
12,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,3
13,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,12
14,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,9
15,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,19
16,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,6
17,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,5
18,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,13
19,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,10
20,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,16
21,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,2
22,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,17
23,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,14
24,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,15
25,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,8
26,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,18
27,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,7
28,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,20
29,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,11
30,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,3
31,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,4
31,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,13
32,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,5
33,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,10
34,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,17
35,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,18
36,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,2
37,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,12
38,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,3
39,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,15
40,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,7
41,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,20
42,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,9
43,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,16
44,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,14
45,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,4
46,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,19
47,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,11
48,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,8
49,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,3
50,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,6
51,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,12
52,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,7
53,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,15
54,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,6
55,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,5
56,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,13
57,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,8
58,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,19
58,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,9
59,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,11
60,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,7
61,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,12
62,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,20
63,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,2
64,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,17
65,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,14
66,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,10
67,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,16
68,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,4
69,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,3
70,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,12
71,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,9
72,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,19
73,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,6
74,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,5
75,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,13
76,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,10
77,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,16
78,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,2
79,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,17
80,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,14
81,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,15
82,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,8
83,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,18
84,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,7
85,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,20
86,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,11
87,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,3
88,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,4
88,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,13
89,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,5
90,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,10
91,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,17
92,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,18
93,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,2
94,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,12
95,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,3
96,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,15
97,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,7
98,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,20
99,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,9
100,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,16
101,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,14
102,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,4
103,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,19
104,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,11
105,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,8
106,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,3
107,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,6
108,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,12
109,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,7
110,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,15
111,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,6
112,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,5
113,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,13
114,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,8
115,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,19
