kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2016-08-13T14:00:00Z,2,15,21.3,0.0,16.6,3.8,90,45,0,0,0,0,1,0
2016-08-20T11:30:00Z,0,12,15.7,4.0,10.8,3.1,90,45,0,0,0,0,4,0
2016-08-27T14:00:00Z,1,5,2.8,0.0,13.8,1.7,90,45,0,0,1,0,1,0
2016-09-10T14:00:00Z,0,11,6.9,0.0,15.4,2.2,90,45,0,0,0,0,4,0
2016-09-18T13:15:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2016-09-24T14:00:00Z,2,14,5.4,2.0,16.8,2.4,90,44,0,0,0,0,1,0
2016-10-02T11:00:00Z,2,14,2.5,0.0,17.0,2.0,90,44,0,0,0,0,1,0
2016-10-15T14:00:00Z,8,30,17.4,2.0,30.0,4.9,90,44,0,0,0,0,0,0
2016-10-22T14:00:00Z,6,27,2.3,0.0,20.2,2.3,90,44,0,0,0,0,0,0
2016-10-31T20:00:00Z,1,5,0.6,1.0,3.6,0.5,90,44,0,0,1,0,1,0
2016-11-05T15:00:00Z,2,9,5.4,0.0,9.2,1.5,90,45,0,0,0,0,1,0
2016-11-19T15:00:00Z,2,24,13.0,4.0,24.0,4.1,90,45,0,0,0,0,1,0
2016-11-27T12:00:00Z,6,22,15.7,1.0,6.4,2.3,90,45,0,0,0,0,0,0
2016-12-03T15:00:00Z,6,27,4.3,0.0,12.4,1.7,90,45,0,0,0,0,0,0
2016-12-10T15:00:00Z,1,16,18.0,6.0,19.8,4.4,90,45,0,0,0,0,3,0
2016-12-14T20:00:00Z,6,22,0.8,4.0,18.0,2.3,90,45,0,0,0,0,0,0
2016-12-17T15:00:00Z,0,16,13.1,11.0,10.6,3.5,90,45,0,0,1,0,2,0
2016-12-27T17:15:00Z,3,26,25.2,20.0,35.8,8.1,90,45,0,1,0,0,4,0
2016-12-31T15:00:00Z,0,12,2.3,0.0,15.0,1.7,90,45,0,0,0,0,4,0
2017-01-03T20:00:00Z,7,33,18.8,0.0,24.8,4.4,90,45,0,0,0,0,0,0
2017-01-14T15:00:00Z,2,22,5.9,0.0,26.0,3.2,90,45,0,0,0,0,1,0
2017-01-21T15:00:00Z,4,17,1.5,2.0,15.4,1.9,90,45,0,1,1,0,1,0
2017-02-01T20:00:00Z,4,22,18.3,0.0,25.6,4.4,90,46,0,0,0,0,1,0
2017-02-04T15:00:00Z,2,18,31.8,12.0,22.6,6.6,90,46,0,0,0,0,1,0
2017-02-11T15:00:00Z,8,24,2.8,0.0,13.2,1.6,90,46,0,0,0,0,0,0
2017-02-26T13:30:00Z,0,19,14.7,0.0,20.0,3.5,90,46,0,0,0,0,4,0
2017-03-04T15:00:00Z,6,21,1.7,6.0,4.2,1.2,90,46,0,0,0,0,0,0
2017-03-08T20:00:00Z,8,33,15.9,0.0,20.4,3.6,90,46,0,0,0,0,0,0
2017-03-18T15:00:00Z,0,11,0.8,4.0,14.0,1.9,90,47,0,0,1,0,2,0
2017-04-01T14:00:00Z,1,13,19.3,33.0,27.2,8.0,90,47,0,0,0,0,2,0
2017-04-04T18:45:00Z,2,8,2.7,2.0,7.6,1.2,90,47,0,0,0,0,1,0
2017-04-08T14:00:00Z,1,10,3.5,2.0,15.2,2.1,90,47,0,0,0,0,2,0
2017-04-15T14:00:00Z,2,6,11.9,8.0,13.6,3.4,90,47,0,0,0,0,1,0
2017-04-22T14:00:00Z,1,13,7.9,0.0,11.6,2.0,90,47,0,0,0,0,2,0
2017-04-29T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2017-05-06T14:00:00Z,1,3,0.0,0.0,0.0,0.0,1,47,0,0,0,0,0,0
