kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2018-08-11T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2018-08-18T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2018-08-26T15:00:00Z,1,3,0.1,0.0,25.4,2.6,78,49,0,0,1,0,1,0
2018-09-01T16:30:00Z,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0
2018-09-15T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2018-09-22T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2018-09-29T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2018-10-06T16:30:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2018-10-20T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2018-10-27T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2018-11-03T15:00:00Z,0,7,0.6,4.0,10.0,1.5,45,47,0,0,1,0,0,0
2018-11-10T15:00:00Z,1,12,10.9,4.0,33.2,4.8,90,46,0,0,1,0,1,0
2018-11-26T20:30:00Z,2,20,14.3,2.0,25.0,4.1,90,46,0,0,0,0,1,0
2018-12-01T15:00:00Z,0,14,1.2,2.0,18.2,2.1,90,46,0,0,1,0,3,0
2018-12-05T19:45:00Z,1,16,0.1,21.0,56.6,7.8,90,46,0,0,1,0,1,0
2018-12-09T16:00:00Z,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0
2018-12-15T15:00:00Z,6,24,0.0,21.0,28.0,4.9,90,46,0,0,0,0,0,0
2018-12-22T15:00:00Z,6,24,1.8,4.0,17.6,2.3,90,46,0,0,0,0,0,0
2018-12-26T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0
2018-12-29T15:00:00Z,0,3,0.0,2.0,17.6,2.0,45,46,0,0,1,0,1,0
2019-01-02T20:00:00Z,1,12,30.3,2.0,15.6,4.8,80,46,0,0,0,0,2,0
2019-01-12T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0
2019-01-19T15:00:00Z,21,50,0.2,54.0,77.8,13.2,90,46,2,0,0,0,0,0
2019-01-29T20:00:00Z,1,3,0.2,0.0,23.0,2.3,90,46,0,0,1,0,1,0
2019-02-02T12:30:00Z,2,16,0.1,2.0,46.2,4.8,90,46,0,0,0,0,1,0
2019-02-11T20:00:00Z,4,15,10.8,1.0,33.2,4.5,90,46,0,1,1,0,1,0
2019-02-23T15:00:00Z,6,25,12.4,29.0,15.6,5.7,90,46,0,0,0,0,0,0
2019-02-26T20:00:00Z,15,38,14.2,8.0,56.0,7.8,90,47,1,0,0,0,0,0
2019-03-02T17:30:00Z,0,7,1.4,26.0,2.6,3.0,64,47,0,0,1,0,2,0
2019-03-09T15:00:00Z,0,11,13.9,3.0,12.2,2.9,90,48,0,0,1,0,2,0
2019-03-16T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2019-04-01T19:00:00Z,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0
2019-04-06T14:00:00Z,2,12,5.1,4.0,18.8,2.8,90,46,0,0,0,0,1,0
2019-04-12T19:00:00Z,5,23,16.7,0.0,30.8,4.8,90,46,0,0,1,0,0,0
2019-04-20T16:30:00Z,2,11,0.1,7.0,13.8,2.1,68,46,0,0,0,0,1,0
2019-04-27T16:30:00Z,2,13,13.6,6.0,28.6,4.8,90,46,0,0,0,0,1,0
2019-05-04T18:45:00Z,0,7,0.2,0.0,8.0,0.8,90,45,0,0,1,0,3,0
2019-05-12T14:00:00Z,15,37,0.4,18.0,55.6,7.4,90,45,1,0,0,0,0,0
2019-08-11T13:00:00Z,2,12,1.7,5.0,23.4,3.0,90,50,0,0,0,0,1,0
2019-08-17T14:00:00Z,1,18,0.6,17.0,25.4,4.3,90,50,0,0,0,0,3,0
2019-08-25T15:30:00Z,8,28,0.2,4.0,33.2,3.7,90,50,0,0,0,0,0,0
2019-08-31T14:00:00Z,8,16,1.5,23.0,42.8,6.7,84,50,1,0,0,0,1,0
2019-09-14T11:30:00Z,1,10,0.1,10.0,22.2,3.2,79,50,0,0,0,0,3,0
2019-09-21T16:30:00Z,6,20,0.9,5.0,20.6,2.7,90,50,0,0,0,0,0,0
2019-09-29T15:30:00Z,-1,8,0.3,2.0,20.6,2.3,90,50,0,0,1,0,5,0
2019-10-06T15:30:00Z,5,22,0.2,12.0,24.4,3.7,90,50,0,0,1,0,0,0
2019-10-19T14:00:00Z,2,10,4.4,0.0,23.8,2.8,90,50,0,0,0,0,1,0
2019-10-27T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-11-02T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-11-09T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-11-25T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-11-30T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-12-05T19:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-12-08T14:00:00Z,1,4,0.6,0.0,14.2,1.5,45,50,0,0,0,0,1,0
2019-12-14T15:00:00Z,2,15,0.9,0.0,14.6,1.6,90,50,0,0,0,0,1,0
2019-12-21T15:00:00Z,5,22,10.3,0.0,14.6,2.5,90,50,0,0,1,0,0,0
2019-12-26T17:30:00Z,-1,7,0.3,1.0,10.4,1.2,87,50,0,0,1,0,4,0
2019-12-28T15:00:00Z,7,25,20.8,42.0,60.4,12.3,90,50,1,0,0,0,2,0
2020-01-01T15:00:00Z,1,7,0.2,7.0,15.4,2.3,90,50,0,0,0,0,3,0
2020-01-11T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2020-01-18T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
