assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,66,9,0,0,0.0,0.0,2018-08-11T14:00:00Z,0,18,0,0,0,0,1,0,4566,0,2,0.0,0,0,0,0,50,False,0
0,0,0,0,0.0,66,11,0,0,0.0,0.0,2018-08-19T15:00:00Z,0,14,0,0,0,0,2,0,4015,2,3,0.0,0,-703,127,830,50,True,0
0,0,0,0,0.0,66,25,0,0,0.0,0.0,2018-08-25T16:30:00Z,0,12,0,0,0,0,3,0,3465,0,1,0.0,0,-599,135,734,50,False,0
0,0,0,0,0.0,66,31,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,9,0,0,0,0,4,0,3075,2,2,0.0,0,-455,68,523,50,True,0
0,0,0,0,0.0,66,47,0,0,0.0,0.0,2018-09-17T19:00:00Z,0,16,0,0,0,0,5,0,2852,2,2,0.0,0,-295,121,416,50,False,0
0,0,0,0,0.0,66,52,0,0,0.0,0.0,2018-09-22T16:30:00Z,0,17,0,0,0,0,6,0,2790,2,1,0.0,0,-129,113,242,50,True,0
0,0,0,0,0.0,66,67,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,13,0,0,0,0,7,0,2823,0,2,0.0,0,-19,154,173,50,False,0
0,0,0,0,0.0,66,71,0,0,0.0,0.0,2018-10-05T19:00:00Z,0,19,0,0,0,0,8,0,2864,0,1,0.0,0,-5,152,157,50,True,0
0,0,0,0,0.0,66,88,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,15,0,0,0,0,9,0,2815,1,0,0.0,0,-119,137,256,50,False,0
0,0,0,0,0.0,66,91,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,20,0,0,0,0,10,0,2872,0,1,0.0,0,-6,139,145,50,True,0
0,0,1,0,0.2,66,105,0,0,0.2,2.0,2018-11-03T15:00:00Z,13,8,0,0,0,0,11,0,2904,1,3,0.0,1,-50,132,182,50,False,0
0,0,1,0,0.3,66,112,1,0,0.3,2.6,2018-11-10T12:30:00Z,27,5,0,0,0,0,12,0,3009,1,2,0.0,1,27,187,160,50,False,0
0,0,3,0,0.3,66,122,0,0,0.1,0.4,2018-11-24T15:00:00Z,8,11,0,0,0,0,13,0,3189,1,1,0.0,1,95,272,177,50,True,0
0,1,28,0,2.0,66,135,1,1,9.7,32.0,2018-12-01T15:00:00Z,78,10,0,0,0,0,14,0,3415,2,1,63.0,7,162,319,157,50,False,0
0,1,23,0,0.1,66,142,1,1,6.2,37.0,2018-12-04T19:45:00Z,55,7,0,0,0,0,15,0,8119,1,3,25.0,6,4194,4852,658,50,True,0
0,0,2,0,0.8,66,153,1,0,0.0,0.0,2018-12-08T15:00:00Z,62,4,0,0,0,0,16,0,19787,0,1,0.0,2,10789,12099,1310,50,False,0
0,0,-2,0,0.5,66,161,0,0,0.0,0.0,2018-12-16T13:30:00Z,30,6,0,0,0,0,17,0,21850,2,1,0.0,0,2338,6016,3678,50,True,1
0,0,1,0,2.7,66,172,2,0,3.5,3.4,2018-12-22T15:00:00Z,79,2,0,0,0,0,18,0,19016,0,2,29.0,2,-2724,1326,4050,50,False,0
0,0,2,0,1.3,66,181,0,0,0.9,4.0,2018-12-26T17:15:00Z,11,1,0,0,0,0,19,0,19337,1,1,4.0,1,-112,3101,3213,50,True,0
0,0,-3,1,2.6,66,191,0,0,8.9,4.2,2018-12-29T15:00:00Z,73,8,0,0,0,0,20,0,19938,0,1,82.0,2,302,2839,2537,50,True,0
0,0,0,0,0.1,66,209,0,0,1.9,0.4,2019-01-02T19:45:00Z,8,19,0,0,0,0,21,0,20523,2,2,18.0,1,453,3868,3415,50,False,0
0,0,0,0,0.3,66,211,0,0,0.8,0.0,2019-01-12T15:00:00Z,24,12,0,0,0,0,22,0,18660,1,0,13.0,1,-2042,1630,3672,50,True,0
0,0,1,0,0.6,66,226,0,0,0.6,3.4,2019-01-19T15:00:00Z,30,14,0,0,0,0,23,0,17064,1,2,2.0,1,-1701,1313,3014,50,False,0
0,0,6,0,14.8,66,233,1,0,3.0,5.2,2019-01-29T19:45:00Z,13,9,0,0,0,0,24,0,16562,2,4,10.0,1,-680,1302,1982,50,False,0
0,0,-1,0,0.5,66,241,0,0,2.9,3.0,2019-02-02T15:00:00Z,18,18,0,0,0,0,25,0,15594,0,0,25.0,1,-951,645,1596,50,True,0
0,0,0,0,0.0,66,251,0,0,0.0,0.0,2019-02-09T17:30:00Z,0,4,0,0,0,0,26,0,14790,3,1,0.0,0,-946,754,1700,50,True,0
0,0,0,0,0.0,66,275,0,0,0.0,0.0,2019-02-26T19:45:00Z,0,11,0,0,0,0,28,0,11440,1,2,0.0,0,-895,52,947,50,False,0
0,0,24,0,0.3,66,282,0,1,8.5,35.0,2019-03-02T15:00:00Z,33,10,0,0,0,0,29,0,11425,0,1,50.0,4,-87,411,498,50,True,1
0,0,0,0,0.0,66,294,0,0,0.0,0.0,2019-03-09T12:30:00Z,0,7,0,0,0,0,30,0,12875,2,1,0.0,0,1307,1919,612,50,False,0
0,0,0,0,0.0,66,312,0,0,0.0,0.0,2019-03-30T15:00:00Z,0,16,0,0,0,0,32,0,11214,1,0,0.0,0,-621,308,929,50,True,0
0,0,1,0,2.1,66,265,3,0,0.6,0.0,2019-04-03T18:45:00Z,69,6,0,0,0,0,32,0,11214,0,3,4.0,2,-621,308,929,50,False,0
0,0,-2,0,16.6,66,331,2,0,2.4,3.4,2019-04-13T14:00:00Z,57,2,0,0,0,0,34,0,12061,5,0,4.0,0,702,1286,584,50,True,1
0,0,-7,0,0.8,66,302,0,0,2.3,0.0,2019-04-16T18:45:00Z,36,5,0,0,0,0,34,0,12061,2,0,24.0,1,702,1286,584,50,True,0
0,0,0,0,0.0,66,350,0,0,0.0,0.0,2019-04-20T14:00:00Z,0,20,0,0,0,0,35,0,11651,0,0,0.0,0,-435,438,873,50,False,0
0,0,-1,1,0.3,66,328,0,0,1.2,7.2,2019-04-23T18:45:00Z,63,17,0,0,0,0,35,0,11651,0,1,4.0,1,-435,438,873,50,False,1
0,0,-6,0,0.4,66,351,1,0,0.0,0.0,2019-04-27T16:30:00Z,45,15,0,0,0,0,36,0,11548,1,1,0.0,0,-143,325,468,50,True,1
0,0,1,0,1.0,66,361,0,0,0.8,3.0,2019-05-05T15:30:00Z,12,1,0,0,0,0,37,0,11246,1,1,4.0,1,-310,205,515,50,False,0
0,0,2,0,0.0,66,371,1,0,0.1,1.0,2019-05-12T14:00:00Z,22,13,0,0,0,0,38,0,11082,4,1,0.0,1,-175,275,450,50,True,0
0,1,27,0,0.5,46,7,0,1,5.9,41.0,2019-08-10T14:00:00Z,26,18,0,0,0,0,1,0,20055,3,0,17.0,6,0,0,0,50,False,0
0,0,3,0,10.5,46,13,0,0,1.7,4.0,2019-08-17T14:00:00Z,16,19,0,0,0,0,2,0,116668,1,1,2.0,1,61691,80258,18567,50,True,0
0,0,-10,0,0.3,46,23,2,0,0.0,0.0,2019-08-24T14:00:00Z,29,16,0,0,0,1,3,0,159900,2,0,2.0,-2,35619,74155,38536,50,True,0
0,0,0,0,0.0,46,37,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,11,0,0,0,0,4,0,90811,0,4,0.0,0,-64364,3851,68215,50,False,0
0,0,0,0,0.0,46,43,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,5,0,0,0,0,5,0,63598,1,1,0.0,0,-30067,489,30556,50,True,0
0,0,0,0,0.0,46,58,0,0,0.0,0.0,2019-09-21T16:30:00Z,0,13,0,0,0,0,6,0,51124,0,0,0.0,0,-13601,167,13768,49,False,0
0,0,0,0,0.0,46,63,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,6,0,0,0,0,7,0,42799,0,2,0.0,0,-8601,102,8703,49,False,0
0,0,0,0,0.0,46,72,0,0,0.0,0.0,2019-10-05T11:30:00Z,0,17,0,0,0,0,8,0,38752,0,3,0.0,0,-4243,55,4298,49,True,0
0,0,0,0,0.0,46,81,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,2,0,0,0,0,9,0,35748,1,2,0.0,0,-3132,50,3182,48,False,0
0,0,0,0,0.0,46,92,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,8,0,0,0,0,10,0,34566,2,3,0.0,0,-1326,46,1372,48,True,0
0,0,0,0,0.0,46,104,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,14,0,0,0,0,11,0,33006,0,2,0.0,0,-1562,55,1617,48,True,0
0,0,0,0,0.0,46,115,0,0,0.0,0.0,2019-11-10T14:00:00Z,0,12,0,0,0,0,12,0,31988,1,3,0.0,0,-1015,60,1075,48,False,0
0,0,0,0,0.0,46,124,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,9,0,0,0,0,13,0,30922,2,0,0.0,0,-1106,53,1159,48,True,0
0,0,0,0,0.0,46,134,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,10,0,0,0,0,14,0,30320,1,2,0.0,0,-649,21,670,48,False,0
0,0,0,0,0.0,46,141,0,0,0.0,0.0,2019-12-05T20:15:00Z,0,1,0,0,0,0,15,0,29911,2,1,0.0,0,-424,31,455,48,False,0
0,0,0,0,0.0,46,153,0,0,0.0,0.0,2019-12-08T16:30:00Z,0,20,0,0,0,0,16,0,29352,2,2,0.0,0,-565,9,574,48,True,0
0,0,0,0,0.0,46,164,0,0,0.0,0.0,2019-12-16T19:45:00Z,0,7,0,0,0,0,17,0,28728,1,1,0.0,0,-612,46,658,48,False,0
0,0,0,0,0.0,46,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,15,0,0,0,0,18,0,28208,1,0,0.0,0,-492,29,521,48,True,0
0,0,0,0,0.0,46,189,0,0,0.0,0.0,2019-12-26T12:30:00Z,0,17,0,0,0,0,19,0,28013,1,2,0.0,0,-280,6,286,48,False,0
0,0,0,0,0.0,46,192,0,0,0.0,0.0,2019-12-28T12:30:00Z,0,3,0,0,0,0,20,0,27793,0,2,0.0,0,-215,11,226,48,True,0
