gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,7
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,17
3,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,4
4,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,3
5,1,0,1.5,7.0,0.0,0.6,21,44,0,0,0,0,0,0,False,13
6,1,5,1.1,0.0,5.0,0.6,45,44,0,0,0,0,0,0,True,18
7,1,3,0.3,0.0,1.0,0.1,6,44,0,0,0,0,1,0,False,8
8,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,1
9,1,2,2.5,2.0,2.4,0.7,32,44,0,0,0,0,2,0,False,5
10,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,2
11,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,10
12,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,12
13,1,2,0.3,0.0,0.2,0.1,4,43,0,0,0,0,0,0,True,16
14,1,1,0.9,0.0,3.6,0.5,45,43,0,0,0,0,1,0,False,6
15,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,11
16,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,14
17,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,19
18,1,3,0.3,0.0,0.0,0.0,8,43,0,0,0,0,0,0,False,15
19,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,20
20,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,10
21,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,1
22,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,4
23,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,17
24,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,3
25,1,4,0.0,0.0,1.0,0.1,2,43,0,0,0,0,0,0,False,7
26,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,14
27,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,19
28,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,16
29,1,7,10.4,2.0,2.4,1.5,19,43,0,0,0,0,0,0,True,6
30,6,22,12.2,19.0,39.0,7.0,45,43,1,0,0,0,2,0,False,11
31,2,7,12.1,24.0,11.4,4.8,90,43,0,0,0,0,2,0,True,12
32,2,7,11.9,10.0,9.4,3.1,63,43,0,0,0,0,2,0,True,13
33,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,18
34,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,8
35,1,7,21.3,2.0,6.2,3.0,4,43,0,0,0,0,0,0,False,2
36,1,3,0.3,0.0,0.0,0.0,1,42,0,0,0,0,0,0,True,5
37,1,4,10.6,0.0,2.2,1.3,8,42,0,0,0,0,0,0,False,20
38,2,14,31.8,8.0,6.2,4.6,73,42,0,0,0,0,3,0,True,15
