kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2016-08-13T14:00:00Z,4,17,33.3,12.0,24.6,7.0,87,55,0,1,1,0,1,0
2016-08-21T12:30:00Z,1,5,3.3,7.0,6.6,1.7,58,55,0,0,0,0,0,0
2016-08-28T12:30:00Z,2,6,40.6,6.0,0.0,4.6,83,55,0,0,1,0,0,0
2016-09-10T14:00:00Z,0,2,14.0,23.0,3.6,4.1,34,55,0,0,1,0,0,0
2016-09-17T16:30:00Z,2,9,20.8,4.0,4.0,2.9,69,55,0,0,0,0,3,0
2016-09-24T14:00:00Z,1,3,0.8,26.0,4.4,3.1,58,55,0,0,0,0,2,0
2016-10-01T14:00:00Z,1,4,2.1,4.0,7.4,1.4,32,54,0,0,0,0,0,0
2016-10-16T12:30:00Z,1,7,23.3,12.0,9.0,4.4,90,54,0,0,1,0,1,0
2016-10-22T14:00:00Z,3,14,33.2,42.0,8.6,8.4,84,53,0,0,0,0,0,0
2016-10-29T14:00:00Z,10,34,12.9,33.0,41.8,8.8,62,53,1,0,1,0,0,0
2016-11-05T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2016-11-20T16:00:00Z,2,7,43.3,13.0,6.0,6.2,90,53,0,0,0,0,1,0
2016-11-26T15:00:00Z,5,19,33.8,14.0,24.4,7.2,87,53,0,1,0,0,1,0
2016-12-05T20:00:00Z,11,35,26.2,74.0,45.2,14.5,86,53,1,0,0,0,0,0
2016-12-11T14:15:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2016-12-14T19:45:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2016-12-17T15:00:00Z,6,20,29.7,1.0,22.4,5.3,61,53,0,1,0,0,0,0
2016-12-26T15:00:00Z,1,6,49.6,16.0,12.6,7.8,90,53,0,0,1,0,1,0
2016-12-31T15:00:00Z,1,3,0.3,2.0,0.0,0.2,28,53,0,0,0,0,2,0
2017-01-02T12:30:00Z,2,5,21.1,28.0,9.0,5.8,90,53,0,0,1,0,0,0
2017-01-14T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2017-01-21T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2017-01-31T19:45:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2017-02-04T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2017-02-11T15:00:00Z,0,5,14.8,2.0,9.2,2.6,24,52,0,0,1,0,0,0
2017-02-25T15:00:00Z,2,17,32.3,11.0,19.0,6.2,90,52,0,0,0,0,1,0
2017-03-04T15:00:00Z,1,0,0.5,3.0,0.0,0.0,45,52,0,0,0,0,2,0
2017-03-19T12:00:00Z,2,10,27.6,25.0,13.6,6.6,67,52,0,0,0,0,2,0
2017-04-02T12:30:00Z,1,12,14.2,2.0,8.4,2.5,38,52,0,0,0,0,0,0
2017-04-05T18:45:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2017-04-08T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2017-04-17T19:00:00Z,2,9,17.3,2.0,7.4,2.7,67,52,0,0,0,0,1,0
2017-04-22T14:00:00Z,-2,-5,14.9,2.0,0.0,1.6,19,52,0,0,0,1,4,0
2017-04-26T18:45:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2017-04-30T13:05:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2017-05-08T19:00:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2017-05-13T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2017-05-21T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
