assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
1,0,23,0,24.1,485,8,3,0,5.6,22.4,2016-08-14T15:00:00Z,87,1,0,0,0,0,1,0,140125,4,3,9.0,5,0,0,0,80,False,0
0,0,15,0,42.3,485,12,2,0,6.4,13.6,2016-08-20T14:00:00Z,90,3,0,0,0,0,2,0,139739,0,2,8.0,2,-8115,5348,13463,80,False,0
0,0,8,0,14.6,485,27,1,0,4.4,10.6,2016-08-27T11:30:00Z,90,17,0,0,0,0,3,0,121337,1,1,19.0,2,-21366,2707,24073,79,False,0
1,0,26,0,36.8,485,34,1,0,7.7,29.8,2016-09-10T16:30:00Z,75,8,0,0,0,0,4,0,103650,1,4,10.0,5,-19301,1214,20515,79,True,0
0,0,17,0,9.9,485,41,1,0,4.5,18.2,2016-09-16T19:00:00Z,89,4,0,0,0,0,5,0,94821,2,1,17.0,2,-9563,768,10331,78,False,0
0,0,10,0,12.8,485,53,1,0,7.2,15.8,2016-09-24T14:00:00Z,90,7,0,0,0,0,6,0,85023,1,5,43.0,2,-10508,1067,11575,78,True,0
0,0,14,0,37.4,485,67,1,0,5.7,9.4,2016-10-01T11:30:00Z,84,16,0,0,0,0,7,0,76447,2,1,10.0,2,-8961,290,9251,77,False,0
0,0,0,0,0.0,485,75,0,0,0.0,0.0,2016-10-17T19:00:00Z,0,11,0,0,0,0,8,0,65761,0,0,0.0,0,-11182,222,11404,76,True,0
0,0,6,0,10.6,485,87,1,0,1.4,0.4,2016-10-22T16:30:00Z,12,19,0,0,0,0,9,0,61313,1,2,3.0,1,-4529,134,4663,76,True,0
0,0,3,0,1.7,485,91,0,0,0.1,0.0,2016-10-29T16:30:00Z,15,5,0,0,0,0,10,0,59264,4,2,0.0,1,-2186,250,2436,76,False,0
