gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,-5,4.8,0.0,0.0,0.2,24,55,0,0,1,0,0,0,True,9
2,3,9,15.1,1.0,9.0,2.5,72,55,0,0,0,0,0,0,False,8
3,2,12,18.2,0.0,11.8,3.0,90,54,0,0,0,0,1,0,False,18
4,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,13
5,6,29,29.7,15.0,40.4,8.5,24,53,1,0,0,0,1,0,False,7
6,1,11,7.3,3.0,7.4,1.8,59,53,0,0,0,0,0,0,True,4
7,3,19,7.8,0.0,11.4,1.9,70,53,0,0,0,0,0,0,False,3
8,-1,6,16.8,8.0,4.8,3.0,69,53,0,0,0,1,2,0,True,16
9,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,12
10,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,15
11,3,22,16.3,5.0,16.2,3.8,90,52,0,0,0,0,1,0,True,17
12,0,0,2.3,0.0,2.6,0.5,11,52,0,0,1,0,0,0,False,11
13,3,28,13.3,7.0,22.0,4.2,90,52,0,0,0,0,1,0,True,2
14,2,11,3.7,8.0,7.8,2.0,90,52,0,0,0,0,1,0,False,20
15,2,15,29.3,9.0,14.8,5.3,90,52,0,0,0,0,1,0,True,14
16,2,18,5.1,0.0,12.4,1.8,90,52,0,0,0,0,2,0,False,6
17,2,11,12.8,0.0,4.4,1.7,90,52,0,0,0,0,2,0,False,10
18,3,13,31.0,3.0,13.2,4.7,90,52,0,0,0,0,0,0,True,19
19,3,19,19.5,34.0,21.0,7.5,90,52,0,0,0,0,0,0,True,5
20,5,24,35.8,0.0,26.8,6.3,90,52,0,1,0,0,3,0,False,2
21,3,15,7.1,15.0,19.4,4.2,90,52,0,0,0,0,0,0,False,16
22,-1,7,35.2,0.0,12.2,4.7,64,52,0,0,0,1,1,0,True,3
23,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,18
24,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,4
25,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,7
26,1,5,3.8,1.0,0.0,0.4,90,52,0,0,1,0,3,0,False,9
27,6,28,43.7,9.0,34.0,8.7,90,52,0,1,0,0,3,0,False,19
28,1,14,3.6,0.0,9.4,1.3,90,52,0,0,1,0,2,0,True,10
29,3,22,45.8,9.0,23.4,7.8,90,52,0,0,0,0,0,0,True,20
30,2,21,53.0,0.0,35.6,8.9,90,52,0,0,0,0,3,0,False,5
31,6,27,22.7,8.0,14.0,4.5,90,52,0,1,0,0,1,0,False,12
32,2,13,12.2,11.0,11.4,3.5,90,52,0,0,1,0,0,0,True,8
33,2,12,24.6,0.0,2.4,2.7,64,52,0,0,0,0,2,0,False,17
34,11,31,6.6,8.0,36.6,5.1,75,52,1,0,0,0,0,0,True,11
35,3,15,8.9,7.0,15.0,3.1,90,52,0,0,0,0,0,0,False,13
36,2,16,7.3,0.0,16.4,2.4,90,52,0,0,0,0,1,0,False,14
37,3,22,69.9,30.0,24.8,12.5,90,52,0,0,0,0,0,0,True,15
38,2,16,13.0,2.0,8.2,2.3,61,52,0,0,0,0,1,0,True,6
38,10,37,77.8,24.0,51.2,15.3,90,55,0,2,0,0,3,0,True,9
39,2,12,25.8,15.0,14.4,5.5,78,56,0,0,0,0,1,0,False,15
40,1,8,14.2,1.0,3.2,1.8,90,56,0,0,1,0,4,0,False,10
41,3,15,21.8,10.0,15.6,4.7,90,56,0,0,0,0,0,0,True,2
42,3,11,14.2,1.0,22.4,3.8,90,56,0,0,0,0,0,0,False,5
43,3,12,28.5,23.0,4.2,5.6,90,56,0,0,0,0,0,0,True,19
44,3,17,35.0,17.0,10.8,6.3,82,56,0,0,0,0,0,0,True,3
45,5,20,19.8,16.0,38.8,7.5,90,55,0,1,0,0,2,0,False,18
46,5,22,4.6,17.0,10.8,3.2,90,55,0,1,0,0,2,0,False,7
47,2,9,16.0,0.0,11.2,2.7,90,55,0,0,0,0,1,0,True,16
48,1,8,3.1,2.0,7.2,1.2,77,55,0,0,1,0,3,0,False,11
49,2,6,6.8,11.0,9.2,2.7,90,55,0,0,1,0,0,0,True,17
50,3,10,16.6,3.0,8.8,2.8,90,54,0,0,0,0,0,0,False,4
51,3,19,21.8,17.0,20.4,5.9,90,54,0,0,0,0,0,0,True,8
52,2,25,26.0,9.0,19.4,5.4,69,54,0,0,0,0,3,0,True,12
53,2,15,32.7,1.0,13.6,4.7,68,53,0,0,0,0,1,0,False,14
54,3,15,9.9,9.0,28.8,4.8,90,53,0,0,0,0,0,0,False,20
55,2,6,6.5,1.0,17.0,2.5,90,53,0,0,1,0,0,0,True,13
56,7,31,4.5,14.0,37.6,5.6,90,53,1,0,0,0,3,0,True,10
57,2,12,6.3,28.0,10.0,4.4,86,53,0,0,0,0,1,0,False,6
58,2,12,32.1,15.0,14.6,6.2,90,53,0,0,0,0,1,0,False,19
59,2,14,15.4,16.0,25.6,5.7,90,52,0,0,0,0,2,0,True,5
60,1,13,56.8,10.0,22.4,8.9,90,52,0,0,1,0,2,0,False,2
61,5,21,31.3,21.0,29.8,8.2,90,52,0,1,0,0,1,0,True,6
62,2,12,19.0,3.0,8.6,3.1,90,52,0,0,0,0,3,0,False,16
63,2,19,28.4,20.0,16.6,6.5,90,52,0,0,0,0,1,0,True,7
64,2,20,12.1,2.0,18.2,3.2,85,52,0,0,0,0,1,0,False,17
65,2,20,4.7,14.0,21.8,4.1,90,52,0,0,0,0,3,0,True,11
66,4,21,36.0,12.0,38.2,8.6,90,52,0,1,1,0,2,0,False,3
67,2,12,3.7,7.0,21.0,3.2,90,52,0,0,1,0,0,0,True,18
68,1,4,11.3,1.0,3.6,1.6,14,52,0,0,0,0,0,0,True,15
69,2,19,28.5,9.0,23.4,6.1,90,52,0,0,0,0,2,0,True,14
70,2,20,27.8,0.0,20.4,4.8,90,52,0,0,0,0,2,0,False,13
71,5,22,53.4,20.0,44.8,11.8,90,51,0,1,1,0,1,0,True,20
72,4,19,28.6,0.0,35.8,6.4,90,51,0,1,1,0,2,0,False,12
73,3,14,9.3,0.0,17.0,2.6,90,51,0,0,0,0,0,0,True,4
74,1,9,24.2,8.0,18.4,5.1,90,51,0,0,1,0,3,0,False,9
75,3,12,8.3,1.0,18.6,2.8,90,51,0,0,0,0,0,0,False,8
75,1,10,1.3,0.0,8.8,1.0,69,55,0,0,1,0,2,0,True,13
76,0,4,11.5,0.0,3.4,1.5,45,55,0,0,1,0,2,0,False,6
77,2,11,18.9,7.0,17.6,4.4,90,54,0,0,0,0,1,0,True,19
78,4,21,47.3,9.0,32.6,8.9,90,54,0,1,1,0,2,0,False,5
79,9,33,15.7,7.0,50.6,7.3,90,53,1,0,0,0,1,0,False,15
80,3,12,8.8,1.0,12.2,2.2,90,53,0,0,0,0,0,0,True,8
81,3,13,30.5,7.0,25.0,6.3,90,53,0,0,0,0,0,0,True,18
82,2,16,10.3,0.0,27.2,3.8,90,53,0,0,0,0,1,0,False,9
83,1,7,27.1,9.0,17.4,5.4,90,53,0,0,1,0,1,0,True,11
84,7,21,6.7,8.0,37.4,5.2,90,53,1,0,0,0,2,0,False,7
85,2,16,22.7,17.0,29.2,6.9,90,53,0,0,0,0,1,0,True,12
86,2,8,7.3,14.0,7.2,2.9,90,53,0,0,0,0,1,0,True,20
87,2,14,16.2,0.0,25.2,4.1,90,53,0,0,0,0,1,0,False,2
88,4,22,51.3,0.0,23.6,7.5,90,53,0,1,1,0,2,0,True,17
89,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,False,14
90,2,19,28.6,17.0,25.4,7.1,90,53,0,0,1,0,0,0,True,10
91,2,12,12.2,8.0,16.8,3.7,90,53,0,0,0,0,3,0,False,16
92,2,13,2.3,7.0,13.2,2.3,90,53,0,0,0,0,1,0,True,4
93,2,18,33.5,0.0,18.8,5.2,90,53,0,0,0,0,1,0,False,3
94,1,10,16.0,0.0,15.4,3.1,90,53,0,0,1,0,5,0,False,12
95,10,37,50.0,53.0,61.8,16.5,90,53,1,0,0,0,1,0,True,9
96,1,9,11.4,0.0,4.8,1.6,58,53,0,0,0,0,1,0,False,19
97,3,18,26.6,0.0,20.2,4.7,90,53,0,0,0,0,0,0,True,6
98,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,5
99,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,False,13
100,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,False,10
101,3,16,32.5,1.0,13.6,4.7,90,52,0,0,0,0,0,0,True,16
102,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,2
103,1,6,11.8,0.0,5.4,1.7,90,52,0,0,1,0,1,0,False,17
104,11,32,33.5,8.0,42.0,8.4,90,52,1,0,0,0,0,0,True,14
105,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,15
106,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,8
107,3,16,31.3,16.0,25.4,7.3,90,52,0,0,0,0,0,0,False,18
108,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,7
109,4,19,49.1,8.0,31.6,8.9,90,52,0,1,1,0,3,0,False,20
110,2,7,9.0,0.0,11.2,2.0,90,52,0,0,0,0,3,0,False,11
111,1,12,50.6,18.0,11.6,8.0,76,52,0,0,1,0,1,0,True,3
112,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,4
112,2,11,24.2,5.0,15.8,4.5,90,55,0,0,1,0,0,0,False,13
113,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0,True,5
114,2,17,2.2,0.0,28.8,3.1,90,54,0,0,0,0,3,0,False,10
115,1,2,37.1,9.0,10.6,5.7,90,54,0,0,1,0,2,0,True,17
116,2,20,2.0,3.0,22.4,2.7,90,53,0,0,0,0,2,0,False,18
117,1,7,16.5,4.0,7.2,2.8,71,53,0,0,1,0,2,0,True,2
118,1,8,2.7,4.0,5.2,1.2,90,53,0,0,1,0,1,0,False,12
119,3,11,2.3,4.0,15.6,2.2,90,53,0,0,0,0,0,0,True,3
120,2,9,4.0,13.0,13.6,3.1,68,53,0,0,0,0,1,0,False,15
121,5,17,13.1,4.0,22.0,3.9,60,53,0,1,0,0,2,0,True,7
122,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,20
123,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,9
124,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,16
125,2,16,4.3,0.0,19.0,2.3,90,52,0,0,0,0,2,0,False,14
126,2,17,22.8,0.0,21.0,4.4,90,52,0,0,0,0,2,0,True,4
127,2,11,9.2,8.0,6.4,2.4,85,52,0,0,0,0,1,0,False,19
128,0,0,0.0,0.0,0.0,0.0,0,51,0,0,0,0,0,0,True,11
129,3,14,4.3,0.0,9.6,1.4,90,51,0,0,0,0,0,0,False,8
130,2,15,41.3,4.0,25.8,7.1,90,51,0,0,0,0,1,0,False,3
131,0,0,0.0,0.0,0.0,0.0,0,51,0,0,0,0,0,0,True,6
132,3,15,7.3,0.0,14.2,2.2,90,51,0,0,0,0,0,0,True,12
133,2,12,1.8,18.0,1.8,2.2,90,51,0,0,0,0,1,0,False,7
134,1,12,7.5,2.0,20.0,3.0,90,51,0,0,1,0,1,0,True,15
135,2,20,1.0,0.0,23.8,2.5,90,51,0,0,0,0,2,0,False,6
136,2,16,13.3,0.0,13.8,2.7,90,51,0,0,1,0,0,0,False,5
137,2,12,9.2,0.0,17.6,2.7,90,51,0,0,1,0,0,0,True,13
138,2,14,7.2,6.0,8.4,2.2,90,51,0,0,0,0,2,0,True,8
139,3,14,7.3,1.0,16.0,2.4,90,51,0,0,0,0,0,0,True,19
139,0,-5,4.8,0.0,0.0,0.2,24,55,0,0,1,0,0,0,True,9
140,3,9,15.1,1.0,9.0,2.5,72,55,0,0,0,0,0,0,False,8
141,2,12,18.2,0.0,11.8,3.0,90,54,0,0,0,0,1,0,False,18
142,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,13
143,6,29,29.7,15.0,40.4,8.5,24,53,1,0,0,0,1,0,False,7
144,1,11,7.3,3.0,7.4,1.8,59,53,0,0,0,0,0,0,True,4
145,3,19,7.8,0.0,11.4,1.9,70,53,0,0,0,0,0,0,False,3
146,-1,6,16.8,8.0,4.8,3.0,69,53,0,0,0,1,2,0,True,16
147,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,12
148,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,15
149,3,22,16.3,5.0,16.2,3.8,90,52,0,0,0,0,1,0,True,17
150,0,0,2.3,0.0,2.6,0.5,11,52,0,0,1,0,0,0,False,11
151,3,28,13.3,7.0,22.0,4.2,90,52,0,0,0,0,1,0,True,2
152,2,11,3.7,8.0,7.8,2.0,90,52,0,0,0,0,1,0,False,20
153,2,15,29.3,9.0,14.8,5.3,90,52,0,0,0,0,1,0,True,14
154,2,18,5.1,0.0,12.4,1.8,90,52,0,0,0,0,2,0,False,6
155,2,11,12.8,0.0,4.4,1.7,90,52,0,0,0,0,2,0,False,10
156,3,13,31.0,3.0,13.2,4.7,90,52,0,0,0,0,0,0,True,19
157,3,19,19.5,34.0,21.0,7.5,90,52,0,0,0,0,0,0,True,5
158,5,24,35.8,0.0,26.8,6.3,90,52,0,1,0,0,3,0,False,2
159,3,15,7.1,15.0,19.4,4.2,90,52,0,0,0,0,0,0,False,16
160,-1,7,35.2,0.0,12.2,4.7,64,52,0,0,0,1,1,0,True,3
161,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,18
162,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,4
163,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,7
164,1,5,3.8,1.0,0.0,0.4,90,52,0,0,1,0,3,0,False,9
165,6,28,43.7,9.0,34.0,8.7,90,52,0,1,0,0,3,0,False,19
166,1,14,3.6,0.0,9.4,1.3,90,52,0,0,1,0,2,0,True,10
