kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2016-08-13T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2016-08-21T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2016-08-28T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2016-09-10T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2016-09-17T16:30:00Z,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0
2016-09-24T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0
2016-10-01T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0
2016-10-16T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0
2016-10-22T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0
2016-10-29T14:00:00Z,1,3,13.9,8.0,5.4,2.7,28,48,0,0,0,0,0,0
2016-11-05T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2016-11-20T16:00:00Z,1,3,0.3,0.0,0.0,0.0,2,48,0,0,0,0,0,0
2016-11-26T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2016-12-05T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2016-12-11T14:15:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2016-12-14T19:45:00Z,1,8,1.1,0.0,5.0,0.6,35,48,0,0,0,0,2,0
2016-12-17T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2016-12-26T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2016-12-31T15:00:00Z,8,23,1.5,20.0,28.8,5.0,77,47,1,0,0,0,0,0
2017-01-02T12:30:00Z,1,3,0.5,0.0,0.2,0.1,2,47,0,0,0,0,0,0
2017-01-14T15:00:00Z,3,11,7.7,4.0,3.2,1.5,90,47,0,0,0,0,0,0
2017-01-21T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2017-01-31T19:45:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2017-02-04T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0
2017-02-11T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2017-02-25T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2017-03-04T15:00:00Z,2,13,49.2,29.0,15.0,9.3,74,44,0,0,0,0,2,0
2017-03-19T12:00:00Z,2,10,15.3,1.0,5.8,2.2,66,44,0,0,0,0,2,0
2017-04-02T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2017-04-05T18:45:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2017-04-08T14:00:00Z,4,27,38.2,1.0,21.0,6.0,90,44,0,0,0,0,0,0
2017-04-17T19:00:00Z,1,2,1.0,10.0,0.0,1.0,90,44,0,0,1,0,2,0
2017-04-22T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2017-04-26T18:45:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2017-04-30T13:05:00Z,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0
2017-05-08T19:00:00Z,1,10,6.3,7.0,5.6,1.9,35,43,0,0,0,0,1,0
2017-05-13T14:00:00Z,1,2,2.8,0.0,0.4,0.3,31,43,0,0,0,0,0,0
2017-05-21T14:00:00Z,2,10,2.1,8.0,3.0,1.3,90,43,0,0,0,0,3,0
