kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2016-08-13T14:00:00Z,2,24,1.9,10.0,17.2,2.9,90,50,0,0,0,0,1,0
2016-08-20T14:00:00Z,2,24,14.1,2.0,18.2,3.4,90,50,0,0,0,0,1,0
2016-08-27T14:00:00Z,3,17,23.7,0.0,18.6,4.2,90,50,0,0,0,0,0,0
2016-09-12T19:00:00Z,5,27,41.8,7.0,36.2,8.5,90,50,0,1,1,0,0,0
2016-09-17T16:30:00Z,3,34,18.4,2.0,26.6,4.7,90,50,0,0,0,0,1,0
2016-09-24T14:00:00Z,1,16,13.8,0.0,10.2,2.4,80,50,0,0,1,0,1,0
2016-09-30T19:00:00Z,1,9,18.1,20.0,6.6,4.5,90,50,0,0,1,0,1,0
2016-10-15T14:00:00Z,2,12,1.9,0.0,17.0,1.9,90,50,0,0,0,0,1,0
2016-10-22T14:00:00Z,1,11,10.3,23.0,10.4,4.4,82,50,0,0,1,0,1,0
2016-10-30T13:30:00Z,2,12,16.3,18.0,14.2,4.9,90,50,0,0,1,0,0,0
2016-11-05T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2016-11-19T15:00:00Z,5,28,4.4,0.0,27.0,3.1,90,50,0,0,0,0,1,0
2016-11-27T16:30:00Z,2,11,14.8,5.0,12.4,3.2,90,50,0,0,0,0,1,0
2016-12-04T16:00:00Z,8,26,13.1,15.0,18.4,4.7,90,50,0,1,0,0,1,0
2016-12-10T12:30:00Z,2,11,2.2,0.0,8.4,1.1,63,50,0,0,0,0,3,0
2016-12-13T19:45:00Z,2,21,14.0,0.0,19.2,3.3,90,50,0,0,0,0,1,0
2016-12-19T20:00:00Z,1,13,1.3,0.0,14.6,1.6,90,50,0,0,1,0,1,0
2016-12-26T15:00:00Z,3,10,17.2,4.0,17.4,3.9,90,50,0,0,0,0,0,0
2016-12-30T20:00:00Z,2,16,8.4,2.0,14.4,2.5,90,50,0,0,0,0,2,0
2017-01-02T15:00:00Z,3,10,9.5,0.0,18.8,2.8,90,50,0,0,0,0,0,0
2017-01-15T13:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2017-01-21T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2017-02-01T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2017-02-04T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2017-02-11T15:00:00Z,3,19,6.3,0.0,12.2,1.9,61,50,0,0,0,0,0,0
2017-02-25T15:00:00Z,10,43,6.4,56.0,63.8,12.6,90,50,1,0,0,0,0,0
2017-03-05T13:30:00Z,1,8,11.2,2.0,4.8,1.8,80,50,0,0,1,0,2,0
2017-03-11T15:00:00Z,1,2,1.8,1.0,3.8,0.7,20,50,0,0,0,0,0,0
2017-03-18T15:00:00Z,3,17,9.8,4.0,18.0,3.2,90,50,0,0,0,0,0,0
2017-04-01T11:30:00Z,2,25,14.3,0.0,12.8,2.7,90,50,0,0,0,0,3,0
2017-04-04T19:00:00Z,1,13,2.3,0.0,8.4,1.1,90,50,0,0,1,0,1,0
