kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2018-08-11T14:00:00Z,1,3,23.2,0.0,4.4,2.8,16,45,0,0,0,0,0,0
2018-08-19T12:30:00Z,1,1,0.0,0.0,0.0,0.0,1,45,0,0,0,0,0,0
2018-08-26T12:30:00Z,1,3,0.0,7.0,3.0,1.0,1,45,0,0,0,0,0,0
2018-09-02T15:00:00Z,0,-4,2.3,4.0,0.0,0.6,20,45,0,0,1,0,0,0
2018-09-15T16:30:00Z,1,3,0.3,2.0,1.0,0.3,2,45,0,0,0,0,0,0
2018-09-22T11:30:00Z,1,1,1.3,33.0,1.0,3.5,10,45,0,0,0,0,0,0
2018-09-29T14:00:00Z,1,-5,1.3,22.0,0.0,2.3,18,45,0,0,0,0,2,0
2018-10-06T14:00:00Z,1,4,0.9,0.0,4.2,0.5,35,45,0,0,0,0,0,0
2018-10-20T14:00:00Z,2,6,17.4,4.0,2.4,2.4,74,45,0,0,0,0,0,0
2018-10-27T14:00:00Z,6,32,38.3,47.0,42.4,12.8,82,45,1,0,0,0,0,0
2018-11-03T15:00:00Z,2,13,33.7,51.0,13.2,9.8,84,46,0,0,0,0,1,0
2018-11-10T15:00:00Z,2,9,25.6,20.0,10.6,5.6,90,46,0,0,0,0,1,0
2018-11-24T15:00:00Z,1,3,10.9,4.0,0.2,1.5,33,46,0,0,0,0,3,0
2018-12-01T15:00:00Z,1,-5,17.1,16.0,1.8,3.5,90,46,0,0,1,0,2,0
2018-12-04T20:00:00Z,2,9,14.7,18.0,9.6,4.2,74,46,0,0,0,0,2,0
2018-12-10T20:00:00Z,2,5,10.7,12.0,5.4,2.8,73,46,0,0,0,0,1,0
2018-12-15T15:00:00Z,1,3,12.2,4.0,2.6,1.9,13,46,0,0,0,0,2,0
2018-12-22T15:00:00Z,1,3,0.8,0.0,2.0,0.3,4,46,0,0,0,0,0,0
2018-12-26T19:30:00Z,1,2,0.3,10.0,0.0,0.8,8,46,0,0,0,0,0,0
2018-12-29T15:00:00Z,2,4,13.8,48.0,8.8,7.1,90,46,0,0,0,0,1,0
2019-01-02T19:45:00Z,1,3,1.3,0.0,0.0,0.1,1,46,0,0,0,0,0,0
2019-01-12T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0
2019-01-19T15:00:00Z,1,2,10.7,0.0,1.2,1.2,34,46,0,0,0,0,0,0
2019-01-30T20:00:00Z,0,-4,10.3,4.0,0.2,1.5,29,46,0,0,1,0,2,0
2019-02-02T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0
2019-02-09T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0
2019-02-22T19:45:00Z,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0
2019-02-27T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0
2019-03-03T12:00:00Z,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0
2019-03-09T17:30:00Z,2,7,1.3,0.0,5.8,0.7,65,46,0,0,0,0,3,0
2019-03-30T15:00:00Z,4,15,10.3,2.0,16.0,2.8,9,46,0,1,0,0,0,0
2019-04-02T18:45:00Z,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0
2019-04-15T19:00:00Z,1,7,11.9,8.0,3.8,2.4,31,46,0,0,0,0,0,0
2019-04-20T14:00:00Z,1,3,0.8,0.0,0.4,0.1,18,45,0,0,0,0,1,0
2019-04-23T18:45:00Z,1,2,1.8,18.0,2.2,2.2,13,45,0,0,0,0,0,0
2019-04-27T14:00:00Z,0,-3,0.6,0.0,0.0,0.0,8,45,0,0,1,0,0,0
2019-05-05T13:00:00Z,1,3,0.7,60.0,6.4,6.7,7,45,0,0,0,0,0,0
2019-05-12T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0
2019-08-10T14:00:00Z,1,1,0.0,0.0,0.0,0.0,15,50,0,0,0,0,1,0
2019-08-17T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-08-24T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-08-31T14:00:00Z,1,4,12.3,17.0,5.2,3.5,19,49,0,0,0,0,0,0
2019-09-15T15:30:00Z,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0
2019-09-21T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0
2019-09-28T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0
2019-10-05T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2019-10-19T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2019-10-26T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2019-11-02T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2019-11-08T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2019-11-23T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2019-11-30T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2019-12-04T19:30:00Z,1,3,1.0,0.0,0.0,0.1,13,48,0,0,0,0,1,0
2019-12-07T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2019-12-14T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2019-12-22T14:00:00Z,1,3,0.0,0.0,1.0,0.1,3,48,0,0,0,0,0,0
2019-12-26T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2019-12-28T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2020-01-01T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2020-01-12T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2020-01-18T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2020-01-21T19:30:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2020-02-01T15:00:00Z,0,-3,0.3,0.0,0.0,0.0,15,48,0,0,1,0,1,0
2020-02-08T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0
2020-02-23T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2020-02-29T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
2020-03-07T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0
