assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,409,5,0,0,0.0,0.0,2018-08-12T12:30:00Z,0,12,0,0,0,0,1,0,46623,0,4,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,409,20,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,2,0,0,0,0,2,0,43284,2,1,0.0,0,-5382,526,5908,45,True,0
0,0,-1,0,0.2,409,21,3,0,0.8,6.2,2018-08-25T14:00:00Z,90,1,1,0,0,0,3,0,35248,1,3,2.0,-2,-8383,243,8626,44,False,1
0,0,19,0,0.4,409,40,1,0,2.3,21.0,2018-09-01T14:00:00Z,90,20,0,0,0,0,4,0,33025,1,0,2.0,2,-3001,835,3836,44,True,0
0,0,12,0,0.2,409,43,1,0,4.4,26.8,2018-09-16T15:00:00Z,90,8,0,0,0,0,5,0,30498,3,1,17.0,2,-2774,276,3050,44,False,0
0,0,24,1,0.1,409,60,0,0,2.5,24.6,2018-09-23T12:30:00Z,90,6,0,0,0,0,6,0,29416,0,0,0.0,6,-1273,452,1725,43,True,0
0,0,12,0,10.3,409,69,1,0,3.9,27.0,2018-09-29T11:30:00Z,90,14,0,0,0,0,7,0,31129,1,3,2.0,2,1208,2245,1037,43,True,0
0,0,13,0,0.6,409,71,1,0,1.3,12.8,2018-10-05T19:00:00Z,90,3,0,0,0,0,8,0,33543,0,1,0.0,2,1991,2872,881,43,False,0
0,0,26,0,10.5,409,89,1,0,5.0,33.8,2018-10-20T14:00:00Z,90,17,0,0,0,0,9,0,33796,1,0,6.0,2,87,1778,1691,43,True,0
0,0,11,0,0.1,409,95,1,0,1.6,15.4,2018-10-27T16:30:00Z,90,11,0,0,0,0,10,0,34474,1,1,0.0,2,549,1635,1086,43,False,0
0,0,20,0,0.0,409,109,2,0,3.5,34.6,2018-11-03T15:00:00Z,90,4,0,0,0,0,11,0,36761,2,4,0.0,1,1987,2998,1011,43,True,0
0,0,11,0,0.2,409,115,1,0,4.7,13.2,2018-11-10T15:00:00Z,90,10,0,0,0,0,12,0,37270,1,1,34.0,2,398,1460,1062,43,False,0
0,0,11,0,0.3,409,129,4,0,1.1,10.2,2018-11-24T15:00:00Z,90,13,0,0,0,0,13,0,36646,4,0,0.0,0,-614,1055,1669,43,True,0
0,0,27,1,0.3,409,139,0,0,2.9,24.4,2018-12-01T15:00:00Z,90,15,0,0,0,0,14,0,36637,3,0,4.0,6,-111,664,775,43,False,0
0,0,15,0,11.0,409,147,1,0,4.3,12.0,2018-12-04T19:45:00Z,90,5,0,0,0,0,15,0,42983,1,3,20.0,2,5718,6414,696,43,True,0
0,0,12,0,0.2,409,160,2,0,1.9,19.2,2018-12-08T15:00:00Z,90,7,0,0,0,0,16,0,48529,2,3,0.0,0,5020,6156,1136,43,True,1
0,1,28,1,0.1,409,163,0,0,1.6,15.8,2018-12-15T17:30:00Z,90,9,0,0,0,0,17,0,48171,2,0,0.0,7,171,2205,2034,43,False,0
0,0,9,0,0.3,409,179,2,0,1.6,15.4,2018-12-22T15:00:00Z,90,18,0,0,0,0,18,0,55888,2,0,0.0,0,7020,8138,1118,43,True,1
0,0,19,0,0.7,409,188,1,0,2.6,21.0,2018-12-27T19:45:00Z,90,16,0,0,0,0,19,0,55481,2,1,4.0,2,-250,2344,2594,43,False,0
0,0,11,0,0.3,409,192,2,0,1.3,12.4,2018-12-30T14:15:00Z,90,4,0,0,0,0,20,0,56600,0,2,0.0,1,539,3051,2512,43,False,0
0,0,18,0,10.9,409,209,2,0,3.4,22.6,2019-01-02T19:45:00Z,90,3,0,0,0,0,21,0,56671,2,2,0.0,1,6,3435,3429,43,True,0
0,1,26,1,0.3,409,220,0,0,1.2,11.2,2019-01-12T12:30:00Z,90,1,0,0,0,0,22,0,51123,0,1,0.0,7,-5455,1374,6829,43,True,0
0,0,17,0,0.6,409,222,2,0,1.9,18.6,2019-01-19T15:00:00Z,90,2,0,0,0,0,23,0,51812,0,2,0.0,1,203,4204,4001,43,False,0
0,0,18,0,0.7,409,236,3,0,2.8,27.0,2019-01-29T19:45:00Z,90,20,0,0,0,0,24,0,50762,0,3,0.0,1,-1136,1228,2364,43,False,0
0,0,8,0,0.0,409,250,1,0,1.7,13.0,2019-02-04T20:00:00Z,90,12,0,0,0,0,25,0,49036,1,1,4.0,2,-1360,739,2099,43,True,0
0,0,10,0,0.3,409,252,1,0,2.3,23.0,2019-02-09T15:00:00Z,90,7,0,0,0,0,26,0,50105,1,1,0.0,2,380,1876,1496,43,False,0
0,0,26,0,0.2,409,270,1,1,8.5,42.2,2019-02-22T19:45:00Z,90,9,0,0,0,0,27,0,58432,1,3,43.0,8,5751,7150,1399,43,True,0
0,0,10,0,0.0,409,278,1,0,1.6,16.2,2019-02-27T20:00:00Z,90,13,0,0,0,0,28,0,66704,0,1,0.0,2,10282,12156,1874,43,False,0
0,0,23,1,0.7,409,289,0,0,3.1,30.6,2019-03-02T17:30:00Z,90,15,0,0,0,0,29,0,81188,0,2,0.0,5,14228,15788,1560,43,True,1
0,0,18,0,0.4,409,292,2,0,2.7,26.4,2019-03-09T15:00:00Z,90,5,0,0,0,0,30,0,101801,0,2,0.0,1,20118,22237,2119,43,False,0
0,0,19,0,1.1,409,309,3,0,2.8,26.8,2019-03-16T15:00:00Z,90,10,0,0,0,0,31,0,189401,3,4,0.0,1,25265,28261,2996,44,True,0
0,0,15,0,0.7,409,320,2,0,2.7,26.6,2019-03-30T17:30:00Z,90,8,0,0,0,0,32,0,99176,2,0,0.0,1,-15388,1508,16896,44,True,0
0,0,0,0,0.0,409,322,0,0,0.0,0.0,2019-04-08T19:00:00Z,0,6,0,0,0,0,33,0,103847,0,2,0.0,0,-6660,459,7119,43,False,0
0,0,0,0,0.0,409,337,0,0,0.0,0.0,2019-04-13T16:30:00Z,0,14,0,0,0,0,34,0,87334,1,2,0.0,0,-17630,471,18101,43,False,0
0,0,0,0,0.0,409,349,0,0,0.0,0.0,2019-04-20T14:00:00Z,0,11,0,0,0,0,35,0,77911,2,2,0.0,0,-8788,1230,10018,42,True,0
0,3,32,1,0.3,409,359,0,0,4.6,39.0,2019-04-27T11:30:00Z,90,17,0,0,0,0,36,0,75009,1,0,7.0,9,-3802,648,4450,42,False,0
0,1,28,1,0.1,409,369,0,0,2.9,28.6,2019-05-04T14:00:00Z,90,16,0,0,0,0,37,0,83363,0,3,0.0,7,7578,8866,1288,42,True,0
0,0,14,0,0.2,409,380,1,0,5.3,35.4,2019-05-12T14:00:00Z,90,18,0,0,0,0,38,0,91506,4,1,17.0,2,7311,9726,2415,42,False,0
0,0,3,0,0.3,381,8,5,0,1.2,5.0,2019-08-10T11:30:00Z,90,11,0,0,0,0,1,0,231395,5,0,7.0,0,0,0,0,45,True,0
0,0,14,0,11.2,381,13,1,0,3.6,20.8,2019-08-17T14:00:00Z,90,4,0,0,0,0,2,0,227989,1,1,4.0,2,-13527,5493,19020,45,False,0
0,0,12,0,0.2,381,29,1,0,2.1,21.0,2019-08-24T14:00:00Z,90,18,0,0,0,0,3,0,214512,3,1,0.0,2,-16300,6184,22484,45,False,0
0,2,27,1,1.1,381,40,0,0,4.7,10.8,2019-08-31T14:00:00Z,90,14,0,0,0,0,4,0,206335,0,2,35.0,8,-10713,7048,17761,45,True,0
0,0,20,1,0.4,381,41,0,0,1.6,13.2,2019-09-16T19:00:00Z,90,2,0,0,0,0,5,0,222761,0,0,2.0,6,10183,23017,12834,45,False,0
0,0,25,1,0.7,381,60,0,0,1.2,11.6,2019-09-22T13:00:00Z,90,12,0,0,0,0,6,0,240260,0,2,0.0,6,14305,24448,10143,45,True,0
0,0,9,0,0.3,381,62,2,0,2.1,18.4,2019-09-28T14:00:00Z,90,3,0,0,0,0,7,0,356767,2,2,2.0,0,104500,119543,15043,45,False,1
0,0,11,0,1.9,381,80,2,0,4.9,14.0,2019-10-05T16:30:00Z,90,7,0,0,0,0,8,0,362404,2,1,33.0,1,7590,24619,17029,45,True,0
0,0,14,0,0.0,381,85,2,0,2.0,20.4,2019-10-19T11:30:00Z,90,8,0,0,0,0,9,0,349705,0,2,0.0,0,-12009,6720,18729,45,False,1
0,0,10,0,0.6,381,100,1,0,1.8,13.0,2019-10-26T14:00:00Z,90,15,0,0,0,0,10,0,340443,1,1,4.0,1,-10503,5123,15626,45,True,1
0,0,10,0,1.9,381,110,3,0,1.8,11.8,2019-11-02T15:00:00Z,90,13,0,0,0,0,11,0,327066,3,2,4.0,0,-13894,5591,19485,45,True,1
0,0,18,0,0.1,381,111,3,0,2.1,21.2,2019-11-09T15:00:00Z,90,5,0,0,0,0,12,0,291928,0,3,0.0,1,-33838,818,34656,45,False,0
0,0,-1,0,0.1,381,130,3,0,0.1,1.0,2019-11-23T12:30:00Z,63,17,0,0,0,0,13,0,260748,3,2,0.0,0,-32258,996,33254,45,True,1
0,0,0,0,0.0,381,132,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,6,0,0,0,0,14,0,216413,1,0,0.0,0,-44196,60,44256,45,False,0
0,0,0,0,0.0,381,146,0,0,0.0,0.0,2019-12-04T19:30:00Z,0,20,0,0,0,0,15,0,210780,0,2,0.0,0,-7678,318,7996,45,False,0
0,0,0,0,0.0,381,160,0,0,0.0,0.0,2019-12-09T20:00:00Z,0,1,0,0,0,0,16,0,199845,3,1,0.0,0,-11098,304,11402,45,True,0
0,0,4,0,0.0,381,169,0,0,0.4,4.0,2019-12-14T17:30:00Z,2,16,0,0,0,0,17,0,189696,1,0,0.0,1,-10259,584,10843,45,False,0
0,0,0,0,0.0,381,184,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,7,0,0,0,0,19,0,174641,1,2,0.0,0,-4794,579,5373,45,False,0
0,0,10,0,0.2,381,200,2,0,2.6,26.2,2019-12-28T17:30:00Z,90,9,0,0,0,0,20,0,169471,2,1,0.0,0,-5292,314,5606,44,True,1
0,0,0,0,0.0,381,210,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,3,0,0,0,0,21,0,164127,0,4,0.0,0,-5670,1526,7196,44,True,0
0,0,0,0,0.0,381,218,0,0,0.0,0.0,2020-01-10T20:00:00Z,0,15,0,0,0,0,22,0,158424,0,1,0.0,0,-5870,1041,6911,44,False,0
