gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,10,34,39.2,46.0,51.6,13.7,70,60,1,0,0,0,0,0,True,1
2,2,6,1.4,14.0,4.0,1.9,61,60,0,0,0,0,1,0,False,19
3,2,2,12.1,25.0,5.6,4.3,74,60,0,0,0,0,2,0,True,12
4,2,5,4.5,0.0,2.4,0.7,61,60,0,0,0,0,1,0,False,13
5,2,6,1.7,0.0,3.4,0.5,60,60,0,0,0,0,2,0,True,5
6,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,14
7,4,8,11.3,2.0,15.0,2.8,45,58,0,1,0,0,3,0,False,11
8,2,9,28.2,29.0,10.4,6.8,79,58,0,0,0,0,2,0,True,2
9,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,False,18
10,0,0,0.0,0.0,0.0,0.0,0,57,0,0,0,0,0,0,True,9
11,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0,False,3
12,1,2,15.8,12.0,0.6,2.8,16,56,0,0,0,0,1,0,False,6
13,1,5,0.0,7.0,5.0,1.2,16,55,0,0,0,0,2,0,True,10
14,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0,True,16
15,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0,False,17
16,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0,False,4
17,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0,True,20
18,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0,True,19
19,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0,False,8
20,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,5
21,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,13
22,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,12
23,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,8
24,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,18
25,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,2
26,1,5,11.6,31.0,4.6,4.7,28,54,0,0,0,0,0,0,True,3
27,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,9
28,1,3,1.3,3.0,0.8,0.5,26,54,0,0,0,0,0,0,False,14
29,2,3,0.3,2.0,1.0,0.3,62,54,0,0,0,0,2,0,True,11
30,1,5,0.3,0.0,6.0,0.6,11,54,0,0,0,0,1,0,True,7
31,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,1
32,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,17
33,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,20
34,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,4
35,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,10
36,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,6
37,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,16
