assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,-2,0,0.8,526,20,0,0,0.9,0.0,2016-08-21T15:00:00Z,28,2,0,0,0,0,2,0,647,0,1,12.0,1,330,419,89,70,True,0
0,0,3,0,0.6,526,29,1,0,0.1,0.2,2016-08-28T15:00:00Z,13,10,0,0,0,0,3,0,1313,1,3,0.0,1,288,613,325,70,False,0
0,0,1,0,0.5,526,38,0,0,0.9,2.0,2016-09-10T14:00:00Z,22,18,0,0,0,0,4,0,1743,4,2,6.0,1,91,591,500,70,True,0
0,0,2,0,2.0,526,46,1,0,4.7,1.4,2016-09-17T14:00:00Z,45,19,0,0,0,0,5,0,1596,2,4,44.0,1,-295,101,396,70,False,0
0,0,0,0,0.0,526,59,0,0,0.0,0.0,2016-09-25T15:00:00Z,0,13,0,0,0,0,6,0,1556,3,0,0.0,0,-125,136,261,69,True,0
0,0,0,0,0.0,526,70,0,0,0.0,0.0,2016-10-01T14:00:00Z,0,12,0,0,0,0,7,0,1509,1,1,0.0,0,-102,102,204,69,True,0
0,0,2,0,11.1,526,74,0,0,1.1,0.2,2016-10-15T16:30:00Z,5,5,0,0,0,0,8,0,1533,1,0,0.0,1,-94,60,154,68,False,0
0,0,2,0,3.7,526,90,0,0,0.7,0.0,2016-10-22T14:00:00Z,22,15,0,0,0,0,9,0,1591,0,1,4.0,1,-2,87,89,68,True,0
0,0,0,0,0.0,526,92,0,0,0.0,0.0,2016-10-30T13:30:00Z,0,6,0,0,0,0,10,0,1591,0,2,0.0,0,-44,44,88,68,False,0
0,0,0,0,0.0,526,110,0,0,0.0,0.0,2016-11-05T15:00:00Z,0,14,0,0,0,0,11,0,1576,1,1,0.0,0,-56,62,118,68,True,0
0,0,0,0,0.0,526,118,0,0,0.0,0.0,2016-11-19T17:30:00Z,0,17,0,0,0,0,12,0,1588,2,3,0.0,0,-57,45,102,67,False,0
0,0,0,0,0.0,526,127,0,0,0.0,0.0,2016-11-27T16:30:00Z,0,11,0,0,0,0,13,0,1581,1,1,0.0,0,-35,17,52,67,False,0
0,0,0,0,0.0,526,140,0,0,0.0,0.0,2016-12-03T17:30:00Z,0,1,0,0,0,0,14,0,1589,5,1,0.0,0,-26,19,45,67,True,0
0,0,0,0,0.0,526,146,0,0,0.0,0.0,2016-12-11T16:30:00Z,0,9,0,0,0,0,15,0,1598,2,2,0.0,0,-11,39,50,67,False,0
0,0,0,0,0.0,526,154,0,0,0.0,0.0,2016-12-14T19:45:00Z,0,3,0,0,0,0,16,0,1620,0,1,0.0,0,-1,48,49,67,True,0
0,0,0,0,0.0,526,170,0,0,0.0,0.0,2016-12-17T15:00:00Z,0,7,0,0,0,0,17,0,1646,0,1,0.0,0,2,53,51,67,True,0
0,0,0,0,0.0,526,179,0,0,0.0,0.0,2016-12-26T15:00:00Z,0,16,0,0,0,0,18,0,1676,4,1,0.0,0,-30,44,74,67,False,0
0,0,0,0,0.0,526,185,0,0,0.0,0.0,2016-12-31T15:00:00Z,0,8,0,0,0,0,19,0,1665,0,1,0.0,0,-33,27,60,67,False,0
0,0,0,0,0.0,526,200,0,0,0.0,0.0,2017-01-02T17:15:00Z,0,11,0,0,0,0,20,0,1662,2,0,0.0,0,-13,24,37,67,True,0
0,0,0,0,0.0,526,210,0,0,0.0,0.0,2017-01-14T15:00:00Z,0,5,0,0,0,0,21,0,1766,0,3,0.0,0,-15,34,49,66,True,0
0,0,19,0,13.8,526,217,0,1,6.7,32.4,2017-01-21T15:00:00Z,24,12,0,0,0,0,22,0,1792,3,1,21.0,5,-2,45,47,66,False,0
0,0,0,0,0.0,526,227,0,0,0.0,0.0,2017-02-01T19:45:00Z,0,10,0,0,0,0,23,0,1884,4,0,0.0,0,43,95,52,66,True,0
0,0,2,0,1.6,526,237,0,0,0.2,0.2,2017-02-04T15:00:00Z,1,13,0,0,0,0,24,0,1892,3,1,0.0,1,-9,33,42,66,False,0
0,0,1,0,1.8,526,250,1,0,3.1,0.4,2017-02-11T15:00:00Z,45,19,0,0,0,0,25,0,1926,2,2,29.0,1,-9,54,63,66,True,0
0,0,0,0,0.0,526,259,0,0,0.0,0.0,2017-02-25T17:30:00Z,0,18,0,0,0,0,26,0,2094,1,1,0.0,0,79,139,60,66,False,0
0,0,0,0,0.0,526,270,0,0,0.0,0.0,2017-03-06T20:00:00Z,0,4,0,0,0,0,27,0,2076,2,1,0.0,0,-53,36,89,66,True,0
0,0,0,0,0.0,526,272,0,0,0.0,0.0,2017-03-11T15:00:00Z,0,2,0,0,0,0,28,0,2207,2,3,0.0,0,106,185,79,66,False,0
0,0,0,0,0.0,526,290,0,0,0.0,0.0,2017-03-18T15:00:00Z,0,8,0,0,0,0,29,0,2135,3,2,0.0,0,-88,31,119,66,True,0
0,0,2,0,0.0,526,294,0,0,0.0,0.0,2017-04-01T14:00:00Z,1,7,0,0,0,0,30,0,2149,1,2,0.0,1,-25,37,62,66,False,0
0,0,0,0,0.0,526,301,0,0,0.0,0.0,2017-04-05T18:45:00Z,0,1,0,0,0,0,31,0,2149,0,3,0.0,0,-10,25,35,66,False,0
0,0,5,0,20.7,526,320,0,0,7.4,7.2,2017-04-08T14:00:00Z,51,16,0,0,0,0,32,0,2178,0,1,46.0,1,8,45,37,66,True,0
0,0,3,0,0.0,526,327,0,0,0.0,0.0,2017-04-15T14:00:00Z,1,15,0,0,0,0,33,0,2200,2,2,0.0,1,-7,48,55,66,False,0
