gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,1,3,0.4,0.0,0.0,0.0,10,55,0,0,0,0,0,0,False,3
2,1,2,0.0,0.0,0.0,0.0,2,55,0,0,0,0,0,0,True,18
3,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,False,10
4,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,False,16
5,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,4
6,1,-1,0.0,0.0,0.0,0.0,10,51,0,0,0,0,0,0,True,14
7,0,0,0.0,0.0,0.0,0.0,0,51,0,0,0,0,0,0,False,5
8,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,15
9,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,1
10,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,True,11
11,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,False,9
12,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,True,12
13,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,True,7
13,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,12
14,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,2
15,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,1
16,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,20
17,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,8
18,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,6
19,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,14
20,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,3
21,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,17
22,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,11
23,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,4
24,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,10
25,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,13
26,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,15
27,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,5
28,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,7
29,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,9
30,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,18
31,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,16
32,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,4
33,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,3
34,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,1
35,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,2
36,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,20
37,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,12
38,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,7
39,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,9
40,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,13
41,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,15
42,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,5
43,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,10
44,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,8
45,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,6
46,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,14
47,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,11
48,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,17
49,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,16
50,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,18
