gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,12
2,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,13
3,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,6
4,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,17
5,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,5
6,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,19
7,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,14
8,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,20
9,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,1
10,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,2
11,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,7
12,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,9
13,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,8
14,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,16
15,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,4
16,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,18
17,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,11
18,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,3
19,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,9
20,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,14
21,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,19
22,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,17
23,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,5
24,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,13
25,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,6
26,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,10
27,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,3
28,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,18
29,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,8
30,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,11
31,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,20
32,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,12
33,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,2
34,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,7
35,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,16
36,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,1
37,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,4
