kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2019-08-09T19:00:00Z,1,3,0.3,2.0,0.0,0.2,7,55,0,0,0,0,0,0
2019-08-17T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0
2019-08-24T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2019-08-31T14:00:00Z,1,-2,2.1,7.0,0.2,0.9,13,54,0,0,0,0,0,0
2019-09-14T16:30:00Z,1,3,0.3,0.0,0.0,0.0,7,54,0,0,0,0,1,0
2019-09-21T14:00:00Z,1,2,3.1,2.0,0.0,0.5,15,54,0,0,0,0,0,0
2019-09-28T14:00:00Z,1,-1,0.1,10.0,0.0,0.9,24,54,0,0,0,0,1,0
2019-10-05T14:00:00Z,5,25,0.3,19.0,33.0,5.2,6,54,1,0,0,0,0,0
2019-10-19T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2019-10-27T16:30:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2019-11-02T15:00:00Z,1,2,0.0,2.0,0.0,0.2,15,54,0,0,0,0,1,0
2019-11-08T20:00:00Z,1,3,1.5,0.0,0.2,0.2,28,54,0,0,0,0,0,0
2019-11-23T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2019-12-01T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2019-12-04T19:30:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2019-12-08T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2019-12-14T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2019-12-21T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2019-12-26T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2019-12-28T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2020-01-01T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2020-01-11T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2020-01-18T15:00:00Z,1,2,0.3,0.0,0.2,0.1,5,53,0,0,0,0,0,0
2020-01-22T19:30:00Z,1,5,0.1,0.0,2.0,0.2,4,53,0,0,0,0,0,0
2020-02-01T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2020-02-15T17:30:00Z,1,2,0.3,2.0,0.2,0.3,6,53,0,0,0,0,0,0
2020-02-23T14:00:00Z,1,4,11.3,0.0,3.2,1.5,31,53,0,0,0,0,0,0
2020-02-28T20:00:00Z,1,1,0.3,52.0,5.0,5.7,9,53,0,0,0,0,0,0
2020-03-07T15:00:00Z,1,-2,4.3,79.0,1.4,8.5,45,53,0,0,0,0,0,0
