assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,627,264,0,0,0.0,0.0,2018-02-10T17:30:00Z,0,9,0,0,0,0,27,0,0,1,5,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,627,271,0,0,0.0,0.0,2018-03-01T19:45:00Z,0,1,0,0,0,0,28,0,2722,3,0,0.0,0,1895,2968,1073,45,False,0
0,0,0,0,0.0,627,286,0,0,0.0,0.0,2018-03-04T16:00:00Z,0,5,0,0,0,0,29,0,3454,0,1,0.0,0,434,981,547,45,True,0
0,0,0,0,0.0,627,298,0,0,0.0,0.0,2018-03-12T20:00:00Z,0,15,0,0,0,0,30,0,3866,2,0,0.0,0,350,886,536,45,False,0
0,0,0,0,0.0,627,315,0,0,0.0,0.0,2018-03-31T16:30:00Z,0,7,0,0,0,0,32,0,4976,3,1,0.0,0,494,1080,586,45,False,0
0,0,0,0,0.0,627,327,0,0,0.0,0.0,2018-04-07T16:30:00Z,0,12,0,0,0,0,33,0,5761,3,2,0.0,0,578,1177,599,45,True,0
0,0,0,0,0.0,627,339,0,0,0.0,0.0,2018-04-14T18:45:00Z,0,17,0,0,0,0,34,0,7020,3,1,0.0,0,519,1160,641,45,False,0
0,0,0,0,0.0,627,347,0,0,0.0,0.0,2018-04-22T15:30:00Z,0,16,0,0,0,0,35,0,5899,0,5,0.0,0,-469,326,795,45,True,0
0,0,2,0,1.3,627,360,0,0,0.1,0.0,2018-04-29T13:15:00Z,10,20,0,0,0,0,36,0,5939,4,1,0.0,1,-76,304,380,45,False,0
0,0,0,0,0.0,627,367,0,0,0.0,0.0,2018-05-06T12:30:00Z,0,8,0,0,0,0,37,0,6549,0,0,0.0,0,462,944,482,45,True,0
0,0,2,0,1.8,627,306,0,0,0.2,0.0,2018-05-09T19:00:00Z,4,3,0,0,0,0,37,0,6549,1,3,0.0,1,462,944,482,45,True,0
0,0,0,0,0.0,627,377,0,0,0.0,0.0,2018-05-13T14:00:00Z,0,14,0,0,0,0,38,0,7553,1,0,0.0,0,830,1372,542,45,False,0
