gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,3,15,0.0,0.0,21.8,2.2,90,50,0,0,0,0,1,3,True,17
2,2,12,0.0,0.0,24.0,2.4,90,50,0,0,1,0,1,3,False,19
3,6,24,0.0,0.0,10.6,1.1,90,50,0,0,0,0,0,1,True,14
4,6,24,0.0,0.0,15.8,1.6,90,50,0,0,0,0,0,2,False,15
5,-1,-2,0.0,0.0,0.0,0.0,90,50,0,0,1,0,1,0,True,12
6,2,8,0.0,0.0,2.4,0.2,90,50,0,0,0,0,1,0,False,2
7,2,11,0.0,0.0,9.4,0.9,90,50,0,0,0,0,1,1,True,5
8,17,53,0.0,0.0,90.8,9.1,90,50,0,0,0,0,1,7,False,10
9,1,9,0.0,0.0,4.0,0.4,90,51,0,0,0,0,2,1,False,3
10,0,0,0.0,0.0,0.0,0.0,0,51,0,0,0,0,0,0,True,20
11,1,15,0.0,0.0,30.2,3.0,90,51,0,0,0,0,5,4,False,4
12,2,12,0.0,0.0,13.4,1.3,90,51,0,0,0,0,1,2,True,16
13,4,18,0.0,0.0,38.6,3.9,90,51,0,0,0,0,1,6,False,13
14,2,8,0.0,0.0,2.6,0.3,90,51,0,0,0,0,1,1,True,11
15,2,16,0.0,0.0,24.8,2.5,90,51,0,0,0,0,3,3,False,18
16,2,10,0.0,0.0,5.0,0.5,90,50,0,0,0,0,1,0,True,1
17,6,22,0.0,0.0,8.0,0.8,63,50,0,0,0,0,0,1,True,9
18,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,False,8
19,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,False,7
20,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,13
21,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,10
22,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,5
23,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,14
24,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,2
25,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,12
26,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,15
27,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,17
28,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,19
