assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,168,4,0,0,0.0,0.0,2017-08-12T14:00:00Z,0,6,0,0,0,0,1,0,9463,3,0,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,168,18,0,0,0.0,0.0,2017-08-20T12:30:00Z,0,13,0,0,0,0,2,0,8843,0,1,0.0,0,-1004,332,1336,40,True,0
0,0,0,0,0.0,168,24,0,0,0.0,0.0,2017-08-26T14:00:00Z,0,14,0,0,0,0,3,0,8253,0,0,0.0,0,-713,422,1135,40,True,0
0,0,0,0,0.0,168,40,0,0,0.0,0.0,2017-09-11T19:00:00Z,0,20,0,0,0,0,4,0,7697,0,2,0.0,0,-636,276,912,40,False,0
0,0,0,0,0.0,168,43,0,0,0.0,0.0,2017-09-16T14:00:00Z,0,9,0,0,0,0,5,0,7350,1,1,0.0,0,-387,193,580,40,True,0
0,0,0,0,0.0,168,51,0,0,0.0,0.0,2017-09-23T14:00:00Z,0,4,0,0,0,0,6,0,7538,0,0,0.0,0,44,625,581,40,False,0
0,0,0,0,0.0,168,63,0,0,0.0,0.0,2017-09-30T11:30:00Z,0,17,0,0,0,0,7,0,8445,4,0,0.0,0,636,1217,581,40,True,0
0,0,0,0,0.0,168,78,0,0,0.0,0.0,2017-10-14T14:00:00Z,0,16,0,0,0,0,8,0,9197,0,2,0.0,0,504,1086,582,40,False,0
0,0,0,0,0.0,168,83,0,0,0.0,0.0,2017-10-21T14:00:00Z,0,12,0,0,0,0,9,0,9567,1,2,0.0,0,255,651,396,40,True,0
0,0,0,0,0.0,168,97,0,0,0.0,0.0,2017-10-28T14:00:00Z,0,10,0,0,0,0,10,0,10091,0,3,0.0,0,333,872,539,40,False,0
0,0,7,0,0.0,168,103,0,0,1.0,10.4,2017-11-04T15:00:00Z,29,19,0,0,0,0,11,0,10290,0,1,0.0,1,93,527,434,40,True,0
0,0,15,0,1.0,168,112,2,0,1.2,9.2,2017-11-18T15:00:00Z,60,2,0,0,0,0,12,0,13907,0,4,2.0,1,3151,4131,980,40,False,0
0,0,0,0,0.0,168,122,0,0,0.0,0.0,2017-11-26T16:00:00Z,0,11,0,0,0,0,13,0,16616,2,1,0.0,0,2337,3490,1153,40,True,0
0,0,13,0,0.7,168,135,5,0,2.5,24.4,2017-11-29T19:45:00Z,90,1,0,0,0,0,14,0,17866,0,5,0.0,0,1041,1977,936,40,False,0
0,0,0,0,0.0,168,145,0,0,0.0,0.0,2017-12-02T15:00:00Z,0,7,0,0,0,0,15,0,19712,0,2,0.0,0,1576,2605,1029,40,False,0
0,0,0,0,0.0,168,153,0,0,0.0,0.0,2017-12-09T15:00:00Z,0,3,0,0,0,0,16,0,19661,0,2,0.0,0,-276,1367,1643,40,True,0
0,0,0,0,0.0,168,163,0,0,0.0,0.0,2017-12-12T20:00:00Z,0,5,0,0,0,0,17,0,19521,3,1,0.0,0,-242,554,796,40,True,0
0,0,0,0,0.0,168,179,0,0,0.0,0.0,2017-12-16T15:00:00Z,0,18,0,0,0,0,18,0,19319,4,1,0.0,0,-309,529,838,40,False,0
0,0,0,0,0.0,168,187,0,0,0.0,0.0,2017-12-23T15:00:00Z,0,14,0,0,0,0,19,0,19154,1,1,0.0,0,-308,799,1107,40,False,0
0,0,0,0,0.0,168,194,0,0,0.0,0.0,2017-12-26T15:00:00Z,0,15,0,0,0,0,20,0,18999,1,1,0.0,0,-228,454,682,40,True,0
0,0,0,0,0.0,168,204,0,0,0.0,0.0,2017-12-30T15:00:00Z,0,4,0,0,0,0,21,0,18528,0,0,0.0,0,-546,460,1006,40,True,0
0,0,0,0,0.0,168,215,0,0,0.0,0.0,2018-01-01T15:00:00Z,0,9,0,0,0,0,22,0,18171,0,3,0.0,0,-386,510,896,40,False,0
0,0,0,0,0.0,168,224,0,0,0.0,0.0,2018-01-13T15:00:00Z,0,20,0,0,0,0,23,0,17051,4,1,0.0,0,-1232,617,1849,40,True,0
0,0,0,0,0.0,168,238,0,0,0.0,0.0,2018-01-20T15:00:00Z,0,15,0,0,0,0,24,0,15931,0,2,0.0,0,-1127,94,1221,40,False,0
0,0,0,0,0.0,168,241,0,0,0.0,0.0,2018-01-30T20:00:00Z,0,10,0,0,0,0,25,0,15312,3,0,0.0,0,-642,82,724,40,True,0
0,0,0,0,0.0,168,258,0,0,0.0,0.0,2018-02-03T15:00:00Z,0,12,0,0,0,0,26,0,14897,0,2,0.0,0,-426,125,551,40,False,0
0,0,0,0,0.0,168,263,0,0,0.0,0.0,2018-02-11T12:00:00Z,0,2,0,0,0,0,27,0,14267,1,4,0.0,0,-644,82,726,40,True,0
0,0,0,0,0.0,168,280,0,0,0.0,0.0,2018-02-24T15:00:00Z,0,19,0,0,0,0,28,0,13688,2,1,0.0,0,-585,25,610,40,False,0
0,0,0,0,0.0,168,289,0,0,0.0,0.0,2018-03-03T15:00:00Z,0,17,0,0,0,0,29,0,13454,0,2,0.0,0,-236,10,246,40,False,0
0,0,0,0,0.0,168,295,0,0,0.0,0.0,2018-03-10T15:00:00Z,0,16,0,0,0,0,30,0,11591,0,0,0.0,0,-234,12,246,40,True,0
0,0,0,0,0.0,168,303,0,0,0.0,0.0,2018-03-17T15:00:00Z,0,6,0,0,0,0,31,0,11187,2,0,0.0,0,-233,5,238,40,True,0
0,0,0,0,0.0,168,317,0,0,0.0,0.0,2018-03-31T14:00:00Z,0,13,0,0,0,0,32,0,11120,0,1,0.0,0,-240,8,248,40,False,0
0,0,0,0,0.0,168,323,0,0,0.0,0.0,2018-04-07T14:00:00Z,0,3,0,0,0,0,33,0,10996,1,1,0.0,0,-128,9,137,40,False,0
0,0,0,0,0.0,168,333,0,0,0.0,0.0,2018-04-14T14:00:00Z,0,18,0,0,0,0,34,0,10856,0,1,0.0,0,-129,6,135,40,True,0
0,0,0,0,0.0,168,353,0,0,0.0,0.0,2018-04-28T14:00:00Z,0,7,0,0,0,0,36,0,10670,2,0,0.0,0,-90,6,96,40,True,0
0,0,0,0,0.0,168,367,0,0,0.0,0.0,2018-05-06T12:30:00Z,0,11,0,0,0,0,37,0,10540,0,0,0.0,0,-119,7,126,40,False,0
0,0,0,0,0.0,168,344,0,0,0.0,0.0,2018-05-09T18:45:00Z,0,5,0,0,0,0,37,0,10540,1,1,0.0,0,-119,7,126,40,False,0
0,0,0,0,0.0,168,373,0,0,0.0,0.0,2018-05-13T14:00:00Z,0,1,0,0,0,0,38,0,10406,1,0,0.0,0,-138,8,146,40,True,0
