assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,660,301,0,0,0.0,0.0,2017-04-05T18:45:00Z,0,20,0,0,0,0,31,0,0,0,3,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,660,312,0,0,0.0,0.0,2017-04-10T19:00:00Z,0,5,0,0,0,0,32,0,53,0,3,0.0,0,39,44,5,40,False,0
0,0,0,0,0.0,660,324,0,0,0.0,0.0,2017-04-17T19:00:00Z,0,12,0,0,0,0,33,0,105,2,1,0.0,0,17,38,21,40,False,0
0,0,0,0,0.0,660,271,0,0,0.0,0.0,2017-04-26T18:45:00Z,0,8,0,0,0,0,34,0,161,0,1,0.0,0,30,38,8,40,True,0
0,0,0,0,0.0,660,348,0,0,0.0,0.0,2017-04-30T15:30:00Z,0,17,0,0,0,0,35,0,194,0,2,0.0,0,8,19,11,40,False,0
0,0,0,0,0.0,660,351,0,0,0.0,0.0,2017-05-07T15:00:00Z,0,11,0,0,0,0,36,0,219,0,2,0.0,0,14,31,17,40,True,0
0,0,0,0,0.0,660,257,0,0,0.0,0.0,2017-05-10T18:45:00Z,0,13,0,0,0,0,36,0,219,2,0,0.0,0,14,31,17,40,False,0
0,0,0,0,0.0,660,366,0,0,0.0,0.0,2017-05-13T16:30:00Z,0,14,0,0,0,0,37,0,246,4,1,0.0,0,25,43,18,40,False,0
0,0,0,0,0.0,660,331,0,0,0.0,0.0,2017-05-16T18:45:00Z,0,15,0,0,0,0,37,0,246,0,2,0.0,0,25,43,18,40,True,0
0,0,0,0,0.0,660,371,0,0,0.0,0.0,2017-05-21T14:00:00Z,0,6,0,0,0,0,38,0,316,1,3,0.0,0,56,76,20,40,True,0
0,0,0,0,0.0,559,82,0,0,0.0,0.0,2017-10-22T12:30:00Z,0,7,0,0,0,0,9,0,0,5,2,0.0,0,0,0,0,50,False,0
0,0,0,0,0.0,559,91,0,0,0.0,0.0,2017-10-28T14:00:00Z,0,16,0,0,0,0,10,0,46,1,2,0.0,0,19,37,18,50,True,0
0,0,0,0,0.0,559,110,0,0,0.0,0.0,2017-11-05T14:15:00Z,0,11,0,0,0,0,11,0,101,1,3,0.0,0,14,30,16,50,False,0
0,0,0,0,0.0,559,111,0,0,0.0,0.0,2017-11-18T12:30:00Z,0,17,0,0,0,0,12,0,179,0,2,0.0,0,12,31,19,50,True,0
0,0,0,0,0.0,559,130,0,0,0.0,0.0,2017-11-26T14:00:00Z,0,4,0,0,0,0,13,0,190,1,0,0.0,0,-4,22,26,50,False,0
0,0,0,0,0.0,559,135,0,0,0.0,0.0,2017-11-29T19:45:00Z,0,8,0,0,0,0,14,0,204,0,5,0.0,0,-9,17,26,50,True,0
0,0,0,0,0.0,559,141,0,0,0.0,0.0,2017-12-02T17:30:00Z,0,12,0,0,0,0,15,0,224,3,1,0.0,0,0,20,20,50,True,0
0,0,0,0,0.0,559,160,0,0,0.0,0.0,2017-12-10T12:00:00Z,0,14,0,0,0,0,16,0,248,1,1,0.0,0,-6,18,24,50,False,0
0,0,0,0,0.0,559,170,0,0,0.0,0.0,2017-12-13T20:00:00Z,0,20,0,0,0,0,17,0,264,0,0,0.0,0,1,16,15,50,False,0
0,0,0,0,0.0,559,171,0,0,0.0,0.0,2017-12-16T15:00:00Z,0,13,0,0,0,0,18,0,275,0,1,0.0,0,-4,10,14,50,True,0
0,0,0,0,0.0,559,181,0,0,0.0,0.0,2017-12-22T19:45:00Z,0,10,0,0,0,0,19,0,297,3,3,0.0,0,-2,25,27,50,True,0
0,0,0,0,0.0,559,193,0,0,0.0,0.0,2017-12-28T20:00:00Z,0,6,0,0,0,0,20,0,307,3,2,0.0,0,-7,9,16,50,False,0
0,0,0,0,0.0,559,210,0,0,0.0,0.0,2017-12-31T16:30:00Z,0,19,0,0,0,0,21,0,333,1,1,0.0,0,-1,29,30,50,False,0
0,0,0,0,0.0,559,211,0,0,0.0,0.0,2018-01-03T19:45:00Z,0,5,0,0,0,0,22,0,343,2,2,0.0,0,6,22,16,50,True,0
0,0,0,0,0.0,559,221,0,0,0.0,0.0,2018-01-14T13:30:00Z,0,2,0,0,0,0,23,0,367,1,2,0.0,0,-4,33,37,50,False,0
0,0,0,0,0.0,559,231,0,0,0.0,0.0,2018-01-20T15:00:00Z,0,6,0,0,0,0,24,0,372,1,4,0.0,0,-13,22,35,50,True,0
0,0,0,0,0.0,559,242,0,0,0.0,0.0,2018-01-30T19:45:00Z,0,16,0,0,0,0,25,0,406,1,3,0.0,0,5,23,18,50,False,0
0,0,0,0,0.0,559,251,0,0,0.0,0.0,2018-02-03T17:30:00Z,0,7,0,0,0,0,26,0,413,1,5,0.0,0,0,14,14,50,True,0
0,0,0,0,0.0,559,269,0,0,0.0,0.0,2018-02-10T12:30:00Z,0,17,0,0,0,0,27,0,436,0,1,0.0,0,1,23,22,50,False,0
0,0,0,0,0.0,559,271,0,0,0.0,0.0,2018-03-01T19:45:00Z,0,11,0,0,0,0,28,0,449,3,0,0.0,0,-15,15,30,50,True,0
0,0,0,0,0.0,559,281,0,0,0.0,0.0,2018-03-04T13:30:00Z,0,3,0,0,0,0,29,0,460,1,2,0.0,0,-2,10,12,50,False,0
0,0,0,0,0.0,559,291,0,0,0.0,0.0,2018-03-11T13:30:00Z,0,18,0,0,0,0,30,0,471,0,3,0.0,0,-4,6,10,50,True,0
0,0,0,0,0.0,559,311,0,0,0.0,0.0,2018-04-01T12:30:00Z,0,15,0,0,0,0,32,0,505,0,3,0.0,0,-8,10,18,50,True,0
0,0,0,0,0.0,559,321,0,0,0.0,0.0,2018-04-08T13:15:00Z,0,14,0,0,0,0,33,0,531,2,3,0.0,0,10,21,11,50,True,0
0,0,0,0,0.0,559,336,0,0,0.0,0.0,2018-04-15T12:30:00Z,0,13,0,0,0,0,34,0,532,1,2,0.0,0,-8,13,21,50,False,0
0,0,0,0,0.0,559,341,0,0,0.0,0.0,2018-04-22T12:30:00Z,0,20,0,0,0,0,35,0,559,1,4,0.0,0,13,27,14,50,True,0
0,0,0,0,0.0,559,355,0,0,0.0,0.0,2018-04-29T15:30:00Z,0,12,0,0,0,0,36,0,569,1,2,0.0,0,2,15,13,50,False,0
0,0,0,0,0.0,559,361,0,0,0.0,0.0,2018-05-06T15:30:00Z,0,4,0,0,0,0,37,0,577,0,5,0.0,0,1,11,10,50,True,0
0,0,0,0,0.0,559,304,0,0,0.0,0.0,2018-05-09T18:45:00Z,0,9,0,0,0,0,37,0,577,1,3,0.0,0,1,11,10,50,False,0
0,0,0,0,0.0,559,373,0,0,0.0,0.0,2018-05-13T14:00:00Z,0,8,0,0,0,0,38,0,594,1,0,0.0,0,9,21,12,50,False,0
