gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,6
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,17
3,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,5
4,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,19
5,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,14
6,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,20
7,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,1
8,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,2
9,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,7
10,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,9
11,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,8
12,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,16
13,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,4
14,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,18
15,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,11
16,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,3
17,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,9
18,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,14
19,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,19
20,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,17
21,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,5
22,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,13
23,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,6
24,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,10
25,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,3
26,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,18
27,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,8
28,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,11
29,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,20
30,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,12
31,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,2
32,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,7
33,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,16
34,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,1
35,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,4
