assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
1,1,26,0,2.8,234,7,2,1,8.2,24.6,2017-08-12T11:30:00Z,85,18,0,0,0,0,1,0,874608,3,3,55.0,11,0,0,0,90,False,0
0,0,0,0,12.3,234,14,0,0,5.1,10.4,2017-08-19T14:00:00Z,29,6,0,0,0,0,2,0,1293309,0,1,28.0,1,175914,193660,17746,91,True,0
1,0,39,1,25.3,234,28,0,1,19.9,70.4,2017-08-27T15:00:00Z,90,1,0,0,0,0,3,0,1158692,0,4,103.0,11,-184736,27792,212528,90,True,0
0,0,4,0,13.8,234,35,1,0,4.7,7.8,2017-09-09T11:30:00Z,45,11,0,0,0,0,4,0,1422941,0,5,25.0,1,177596,238283,60687,91,False,0
0,3,27,0,35.8,234,44,1,1,17.4,51.2,2017-09-16T14:00:00Z,90,4,0,0,0,0,5,0,1571656,1,1,87.0,10,122769,224328,101559,91,True,0
0,0,20,0,15.9,234,53,2,1,13.0,35.4,2017-09-23T16:30:00Z,90,9,0,0,0,0,6,0,1749987,3,2,79.0,7,137514,193538,56024,92,False,0
0,0,10,0,25.8,234,70,1,0,4.1,5.2,2017-10-01T15:30:00Z,83,13,0,0,0,0,7,0,1825218,1,1,10.0,2,47197,110496,63299,92,False,0
0,0,4,1,29.0,234,75,0,0,6.8,10.4,2017-10-14T11:30:00Z,77,12,0,0,0,0,8,0,1716950,0,0,29.0,3,-125132,51519,176651,92,True,0
0,0,21,0,24.2,234,89,4,1,13.5,46.2,2017-10-22T15:00:00Z,90,17,0,0,0,0,9,0,1656590,1,4,65.0,7,-68975,35518,104493,92,False,0
1,0,5,1,16.9,234,97,0,0,10.2,27.8,2017-10-28T14:00:00Z,80,8,0,1,0,0,10,0,1884658,0,3,57.0,4,210999,246328,35329,92,True,0
0,3,48,0,37.6,234,109,1,2,17.3,76.6,2017-11-04T17:30:00Z,90,20,0,0,0,0,11,0,1978650,4,1,59.0,15,79912,118529,38617,93,False,0
0,3,40,1,27.3,234,117,0,2,16.2,68.2,2017-11-18T15:00:00Z,79,14,0,0,0,0,12,0,2285001,0,3,66.0,16,280935,291072,10137,95,True,0
0,0,23,0,26.7,234,123,1,1,15.6,41.2,2017-11-25T17:30:00Z,90,5,0,0,0,0,13,0,2417627,1,1,88.0,7,116541,153845,37304,96,True,0
0,2,40,0,14.8,234,140,0,2,11.7,68.4,2017-11-29T20:00:00Z,23,15,0,0,0,0,14,0,2624122,3,0,34.0,13,192297,200439,8142,97,False,0
1,0,14,0,29.3,234,143,1,0,9.2,21.6,2017-12-02T15:00:00Z,79,3,0,0,0,0,15,0,2884620,5,1,41.0,5,242721,246441,3720,98,False,0
0,3,37,1,80.5,234,154,0,1,22.2,51.2,2017-12-10T14:15:00Z,66,7,0,0,0,0,16,0,3006525,1,1,90.0,11,97190,116983,19793,99,True,0
0,0,5,1,20.3,234,166,0,0,5.1,5.0,2017-12-13T20:00:00Z,90,19,0,0,0,0,17,0,3106340,0,0,26.0,3,85126,92562,7436,99,True,0
0,0,26,1,23.2,234,172,0,1,11.9,39.6,2017-12-17T16:30:00Z,70,2,0,0,0,0,18,0,3166441,4,0,56.0,8,44682,57301,12619,100,False,0
1,0,28,0,17.0,234,181,3,1,11.7,43.4,2017-12-22T19:45:00Z,90,1,0,0,0,0,19,0,3223204,3,3,57.0,10,31575,60719,29144,100,False,0
2,0,27,1,37.8,234,195,0,0,14.7,43.4,2017-12-26T17:30:00Z,68,16,0,0,0,0,20,0,3292586,0,5,66.0,9,51229,56341,5112,101,True,0
0,2,27,0,4.7,234,205,1,2,15.0,61.4,2017-12-30T15:00:00Z,82,9,0,0,0,0,21,0,3355073,1,2,84.0,14,43112,56738,13626,101,True,0
0,0,0,0,0.0,234,213,0,0,0.0,0.0,2018-01-01T15:00:00Z,0,4,0,0,0,0,22,0,2870412,2,1,0.0,0,-489201,34945,524146,101,False,0
1,1,40,0,27.5,234,225,2,1,16.5,59.6,2018-01-14T16:00:00Z,87,11,0,0,0,0,23,0,2874585,3,4,78.0,11,-11983,167775,179758,101,True,0
0,0,9,0,46.8,234,239,1,0,9.4,7.2,2018-01-22T20:00:00Z,90,16,0,0,0,0,24,0,3102706,0,1,40.0,2,212126,233122,20996,102,False,0
0,0,26,1,7.7,234,241,0,1,8.0,35.2,2018-01-30T20:00:00Z,82,8,0,0,0,0,25,0,3187877,3,0,37.0,8,67253,92418,25165,103,False,0
0,3,42,0,18.2,234,257,2,2,16.6,71.8,2018-02-04T16:30:00Z,90,17,0,0,0,0,26,0,3211480,2,2,76.0,15,16283,39808,23525,103,True,0
1,2,36,1,38.1,234,266,0,1,12.4,53.0,2018-02-11T16:30:00Z,88,14,0,0,0,0,27,0,3331540,2,0,33.0,13,103170,110299,7129,104,False,0
1,0,30,0,31.8,234,277,1,1,16.4,56.4,2018-02-24T15:00:00Z,86,20,0,0,0,0,28,0,3455913,1,4,76.0,10,101066,104591,3525,105,True,0
0,0,26,1,37.0,234,285,0,1,16.3,39.4,2018-03-03T17:30:00Z,90,13,0,0,0,0,29,0,3512691,0,2,87.0,8,46136,47972,1836,105,True,0
0,0,4,0,16.8,234,296,2,0,3.1,6.6,2018-03-10T12:30:00Z,90,12,0,0,0,0,30,0,3542316,1,2,8.0,2,464,24200,23736,106,False,0
1,3,93,1,38.1,234,305,0,4,30.4,163.6,2018-03-17T17:30:00Z,90,18,0,0,0,0,31,0,3662419,0,5,102.0,29,62759,65753,2994,106,True,0
0,0,26,0,48.3,234,314,1,1,15.1,51.4,2018-03-31T11:30:00Z,90,6,0,0,0,0,32,0,3680559,2,1,51.0,7,52011,55891,3880,107,False,0
0,0,0,0,0.0,234,325,0,0,0.0,0.0,2018-04-07T11:30:00Z,0,7,0,0,0,0,33,0,3382574,0,0,0.0,0,-291456,11093,302549,106,False,0
0,0,25,1,30.2,234,334,0,1,15.3,42.6,2018-04-14T16:30:00Z,90,2,0,0,0,0,34,0,3320084,0,3,80.0,8,-37510,74887,112397,105,True,0
0,0,21,0,10.1,234,350,1,1,10.0,35.4,2018-04-21T11:30:00Z,83,19,0,0,0,0,35,0,3558646,2,2,54.0,7,152519,158466,5947,106,False,0
0,0,-2,1,18.5,234,354,0,0,10.6,0.0,2018-04-28T11:30:00Z,90,15,0,0,0,0,36,0,3531038,0,0,91.0,3,8726,46626,37900,106,True,0
0,0,2,0,13.8,234,364,1,0,2.6,1.0,2018-05-06T15:30:00Z,90,5,0,0,0,0,37,0,3161808,0,1,11.0,1,-349365,7621,356986,105,False,1
1,0,32,1,38.6,234,374,0,1,18.2,63.6,2018-05-13T14:00:00Z,83,3,0,0,0,0,38,0,3354920,0,4,80.0,11,160600,175619,15019,106,True,0
0,0,20,1,29.0,253,5,0,1,16.9,47.6,2018-08-12T12:30:00Z,86,19,0,0,0,0,1,0,2478960,0,4,92.0,8,0,0,0,130,True,0
2,0,22,1,41.5,253,15,0,0,15.3,30.6,2018-08-20T19:00:00Z,90,7,0,0,0,0,2,0,2799491,2,0,81.0,9,38860,69743,30883,130,False,0
0,0,28,1,72.0,253,25,0,1,20.3,49.0,2018-08-25T16:30:00Z,90,3,0,0,0,0,3,0,2892383,0,1,82.0,8,5370,80831,75461,130,True,0
0,0,7,0,12.5,253,37,1,0,4.1,5.0,2018-09-01T11:30:00Z,70,11,0,0,0,0,4,0,2995784,2,1,23.0,2,32547,79082,46535,130,False,0
0,0,7,0,31.8,253,48,1,0,12.2,16.0,2018-09-15T11:30:00Z,90,17,0,0,0,0,5,0,2754458,2,1,74.0,2,-261759,35679,297438,130,False,0
0,0,18,1,2.9,253,58,0,1,9.7,34.0,2018-09-22T14:00:00Z,90,16,0,0,0,0,6,0,2419608,0,3,60.0,8,-352832,21189,374021,130,True,0
0,0,8,0,25.7,253,64,1,0,7.5,9.4,2018-09-29T16:30:00Z,65,6,0,0,0,0,7,0,2330574,1,1,40.0,2,-106042,22128,128170,129,False,0
0,0,1,1,1.9,253,76,0,0,3.3,0.0,2018-10-07T15:30:00Z,90,13,0,0,0,0,8,0,1992452,0,0,31.0,3,-338250,7940,346190,129,True,0
0,0,26,1,12.5,253,86,0,1,13.2,43.0,2018-10-20T16:30:00Z,90,10,0,0,0,0,9,0,1681931,1,0,76.0,8,-321994,34581,356575,128,False,0
