kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2019-08-10T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0
2019-08-17T14:00:00Z,0,0,0.5,0.0,1.4,0.2,13,55,0,0,1,0,0,0
2019-08-24T14:00:00Z,5,24,1.3,31.0,41.2,7.4,37,54,1,0,1,0,0,0
2019-08-31T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2019-09-14T14:00:00Z,11,41,11.3,32.0,49.4,9.3,73,54,1,0,0,0,0,0
2019-09-20T19:00:00Z,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0
2019-09-28T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2019-10-06T13:00:00Z,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0
2019-10-19T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2019-10-25T19:00:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2019-11-02T15:00:00Z,1,5,0.3,2.0,2.6,0.5,6,52,0,0,0,0,1,0
2019-11-09T15:00:00Z,2,1,0.6,3.0,3.0,0.7,90,52,0,0,0,0,2,0
2019-11-23T15:00:00Z,1,-1,0.9,28.0,5.0,3.4,14,52,0,0,0,0,1,0
2019-11-30T17:30:00Z,5,24,12.8,8.0,29.8,5.1,90,52,0,1,0,0,1,0
2019-12-04T19:30:00Z,1,-1,2.0,5.0,3.0,1.0,71,52,0,0,1,0,1,0
2019-12-08T14:00:00Z,2,12,12.8,17.0,3.2,3.3,72,52,0,0,0,0,1,0
2019-12-14T17:30:00Z,2,11,25.8,5.0,11.6,4.2,90,52,0,0,0,0,1,0
2019-12-21T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2019-12-26T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2019-12-28T15:00:00Z,1,6,15.1,25.0,11.6,5.2,27,52,0,0,0,0,0,0
2020-01-01T15:00:00Z,0,-3,0.7,12.0,6.2,1.9,57,52,0,0,1,0,0,0
2020-01-11T15:00:00Z,1,0,0.3,0.0,0.0,0.0,12,52,0,0,0,0,0,0
2020-01-18T15:00:00Z,1,6,0.8,17.0,6.6,2.4,19,52,0,0,0,0,1,0
2020-01-21T19:30:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2020-02-01T15:00:00Z,2,4,4.5,27.0,6.4,3.8,81,52,0,0,0,0,3,0
2020-02-15T12:30:00Z,1,6,14.3,6.0,9.2,3.0,51,52,0,0,0,0,1,0
2020-02-22T15:00:00Z,6,23,49.4,30.0,34.2,11.4,90,52,0,1,0,0,0,0
2020-02-29T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0
2020-03-07T15:00:00Z,-2,-7,0.0,4.0,0.0,0.1,27,52,0,0,0,1,1,0
