gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,10
2,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,12
3,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,15
4,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,7
5,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,1
6,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,20
7,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,3
8,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,7
9,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,11
10,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,14
11,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,5
12,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,8
13,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,18
14,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,9
15,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,2
16,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,4
17,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,16
18,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,12
19,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,10
20,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,13
21,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,17
22,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,6
