assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,360,1,0,0,0.0,0.0,2016-08-13T14:00:00Z,0,3,0,0,0,0,1,0,43169,1,0,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,360,15,0,0,0.0,0.0,2016-08-20T14:00:00Z,0,7,0,0,0,0,2,0,33508,2,0,0.0,0,-9955,119,10074,45,True,0
0,0,0,0,0.0,360,25,0,0,0.0,0.0,2016-08-27T14:00:00Z,0,8,0,0,0,0,3,0,25079,1,2,0.0,0,-8606,304,8910,44,False,0
0,0,1,0,1.2,360,39,1,0,0.4,2.4,2016-09-11T15:00:00Z,40,4,0,0,0,0,4,0,19755,2,2,0.0,1,-5454,460,5914,44,True,0
0,0,0,0,0.0,360,48,0,0,0.0,0.0,2016-09-18T13:15:00Z,0,13,0,0,0,0,5,0,18765,0,1,0.0,0,-1158,391,1549,44,False,0
0,0,0,0,0.0,360,58,0,0,0.0,0.0,2016-09-24T14:00:00Z,0,10,0,0,0,0,6,0,16501,3,1,0.0,0,-2418,278,2696,44,True,0
0,0,0,0,0.0,360,67,0,0,0.0,0.0,2016-10-01T11:30:00Z,0,9,0,0,0,0,7,0,15030,2,1,0.0,0,-1561,153,1714,44,True,0
0,0,10,0,1.7,360,71,3,0,0.5,3.4,2016-10-15T14:00:00Z,90,1,0,0,0,0,8,0,14028,2,3,0.0,0,-1156,229,1385,43,False,1
0,0,0,0,0.0,360,89,0,0,0.0,0.0,2016-10-22T14:00:00Z,0,18,0,0,0,0,9,0,13784,0,0,0.0,0,-356,591,947,43,True,0
0,0,17,0,9.4,360,96,3,0,3.0,19.4,2016-10-31T20:00:00Z,90,14,0,0,0,0,10,0,12893,1,3,1.0,1,-951,119,1070,43,False,0
