gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,5
2,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,15
3,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,6
4,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,14
5,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,17
6,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,11
7,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,1
8,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,9
9,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,3
10,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,7
11,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,16
12,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,8
13,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,11
14,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,5
15,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,12
16,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,10
17,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,13
18,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,19
19,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,18
20,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,4
21,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,2
22,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,8
23,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,7
24,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,1
25,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,16
26,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,15
27,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,6
28,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,14
29,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,17
30,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,9
31,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,3
