kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2019-08-11T15:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-08-18T15:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-08-24T11:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-08-31T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-09-14T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-09-22T15:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-09-28T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-10-06T13:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-10-19T14:00:00Z,1,3,0.0,0.0,0.0,0.0,1,50,0,0,0,0,0,0
2019-10-26T16:30:00Z,0,7,1.3,8.0,15.2,2.5,27,50,0,0,0,0,2,0
2019-11-02T17:30:00Z,1,3,0.0,0.0,0.0,0.0,1,50,0,0,0,0,0,0
2019-11-09T12:30:00Z,6,23,3.5,0.0,9.6,1.3,90,50,0,0,0,0,0,0
2019-11-23T17:30:00Z,1,6,4.6,0.0,6.2,1.1,31,50,0,0,0,0,0,0
2019-11-30T15:00:00Z,2,22,10.8,3.0,16.8,3.1,90,50,0,0,0,0,1,0
2019-12-04T19:30:00Z,6,26,32.8,4.0,33.4,7.0,90,50,0,1,0,0,1,0
2019-12-07T12:30:00Z,1,19,21.2,4.0,9.6,3.5,81,50,0,0,0,0,2,0
2019-12-14T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-12-22T16:30:00Z,1,3,1.7,18.0,0.4,2.0,10,50,0,0,0,0,0,0
2019-12-26T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2019-12-29T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2020-01-01T12:30:00Z,1,21,16.2,18.0,23.2,5.7,90,50,0,0,1,0,1,0
2020-01-11T15:00:00Z,11,35,46.9,28.0,36.0,11.1,90,50,0,1,0,0,0,0
2020-01-18T17:30:00Z,8,32,36.1,0.0,24.4,6.1,74,50,0,0,0,0,0,0
2020-01-21T20:15:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2020-02-01T12:30:00Z,1,16,1.5,2.0,15.8,1.9,90,50,0,0,0,0,2,0
2020-02-17T20:00:00Z,1,8,16.7,23.0,4.2,4.4,90,50,0,0,0,0,2,0
2020-02-22T12:30:00Z,2,11,27.9,9.0,13.8,5.1,90,50,0,0,0,0,1,0
2020-02-29T15:00:00Z,1,19,59.3,8.0,23.0,9.0,90,50,0,0,0,0,2,0
2020-03-08T14:00:00Z,1,3,0.3,0.0,10.4,1.1,30,50,0,0,0,0,0,0
