kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2018-08-11T16:30:00Z,12,44,27.8,16.0,60.6,10.4,90,50,1,1,0,0,2,0
2018-08-18T14:00:00Z,2,11,4.2,8.0,12.2,2.4,90,51,0,0,0,0,2,0
2018-08-25T11:30:00Z,2,9,11.0,11.0,28.8,5.1,90,51,0,0,0,0,1,0
2018-09-01T14:00:00Z,3,11,2.8,9.0,9.4,2.1,90,52,0,0,0,0,0,0
2018-09-16T12:30:00Z,2,5,61.0,17.0,16.4,9.4,90,52,0,0,1,0,0,0
2018-09-22T14:00:00Z,1,13,24.1,7.0,20.2,5.1,90,52,0,0,1,0,1,0
2018-09-29T14:00:00Z,3,18,29.9,9.0,25.0,6.4,90,52,0,0,0,0,0,0
2018-10-06T14:00:00Z,3,13,11.7,1.0,15.2,2.8,90,52,0,0,0,0,0,0
2018-10-20T14:00:00Z,1,6,7.7,2.0,12.8,2.3,90,51,0,0,1,0,2,0
2018-10-27T14:00:00Z,2,14,10.0,40.0,21.6,7.2,90,51,0,0,0,0,1,0
2018-11-03T19:45:00Z,7,25,2.9,35.0,42.2,8.0,90,50,1,0,0,0,3,0
2018-11-11T16:30:00Z,2,14,3.7,9.0,8.0,2.1,90,50,0,0,0,0,1,0
2018-11-25T16:00:00Z,1,10,11.7,9.0,14.8,3.6,90,50,0,0,1,0,2,0
2018-11-30T20:00:00Z,1,3,1.2,18.0,6.8,2.6,90,50,0,0,1,0,2,0
2018-12-05T19:45:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2018-12-09T16:00:00Z,3,20,12.9,15.0,25.2,5.3,90,50,0,0,0,0,1,0
2018-12-15T15:00:00Z,3,11,0.9,8.0,19.0,2.8,90,50,0,0,0,0,0,0
2018-12-21T20:00:00Z,2,10,5.1,9.0,18.0,3.2,90,50,0,0,0,0,2,0
2018-12-26T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0
2018-12-29T15:00:00Z,2,13,15.8,1.0,12.0,2.9,90,49,0,0,0,0,1,0
2019-01-02T19:45:00Z,1,5,0.8,7.0,11.2,1.9,17,49,0,0,0,0,2,0
2019-01-14T20:00:00Z,2,9,0.5,8.0,14.6,2.3,90,49,0,0,0,0,3,0
2019-01-19T12:30:00Z,6,29,27.3,16.0,35.6,7.9,90,49,0,1,0,0,3,0
2019-01-29T19:45:00Z,2,10,5.1,32.0,18.8,5.6,90,49,0,0,1,0,0,0
2019-02-02T15:00:00Z,6,20,0.3,17.0,33.0,5.0,48,49,1,0,0,0,1,0
2019-02-11T20:00:00Z,2,15,22.0,1.0,15.6,3.9,90,49,0,0,0,0,1,0
2019-02-23T15:00:00Z,1,8,11.2,9.0,10.4,3.1,90,49,0,0,1,0,1,0
2019-02-26T19:45:00Z,2,11,2.1,9.0,15.2,2.6,90,49,0,0,0,0,1,0
2019-03-02T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0
2019-03-10T14:05:00Z,2,15,0.8,0.0,30.8,3.2,90,49,0,0,0,0,1,0
2019-03-30T15:00:00Z,1,2,1.4,1.0,4.4,0.7,90,49,0,0,1,0,2,0
2019-04-02T18:45:00Z,2,15,11.1,8.0,16.6,3.6,83,49,0,0,0,0,1,0
2019-04-13T14:00:00Z,2,5,3.3,25.0,1.6,3.0,68,49,0,0,0,0,2,0
2019-04-20T14:00:00Z,3,18,7.5,15.0,19.2,4.2,90,49,0,0,0,0,0,0
2019-04-24T18:45:00Z,9,28,10.6,15.0,45.2,7.1,90,49,1,0,0,0,1,0
2019-04-27T14:00:00Z,6,24,15.0,7.0,35.2,5.7,90,49,0,1,0,0,1,0
2019-05-04T14:00:00Z,3,10,1.5,8.0,7.4,1.7,90,49,0,0,0,0,0,0
2019-05-12T14:00:00Z,2,9,1.0,0.0,15.2,1.6,90,49,0,0,0,0,2,0
2019-08-11T13:00:00Z,2,10,10.8,0.0,14.0,2.5,80,55,0,0,1,0,0,0
2019-08-19T19:00:00Z,7,22,1.4,7.0,43.2,5.2,90,55,1,0,1,0,1,0
2019-08-25T15:30:00Z,2,11,26.3,32.0,12.4,7.1,90,55,0,0,0,0,1,0
2019-09-01T13:00:00Z,2,12,5.5,8.0,14.2,2.8,83,55,0,0,0,0,3,0
2019-09-14T14:00:00Z,2,12,2.3,9.0,11.4,2.3,90,55,0,0,0,0,5,0
2019-09-22T13:00:00Z,1,3,0.9,1.0,0.0,0.2,33,55,0,0,0,0,0,0
2019-09-28T14:00:00Z,1,3,0.4,0.0,1.4,0.2,3,55,0,0,0,0,0,0
2019-10-06T13:00:00Z,2,6,0.7,0.0,13.4,1.4,90,54,0,0,1,0,0,0
2019-10-19T14:00:00Z,1,4,0.7,0.0,0.8,0.2,45,54,0,0,0,0,0,0
2019-10-27T14:00:00Z,1,12,5.0,3.0,12.0,2.0,90,54,0,0,1,0,1,0
2019-11-02T15:00:00Z,2,10,13.1,17.0,6.4,3.7,90,53,0,0,0,0,1,0
2019-11-10T14:00:00Z,11,33,32.5,15.0,54.6,10.2,85,53,1,0,0,0,0,0
2019-11-23T15:00:00Z,2,13,12.5,19.0,8.6,4.0,90,53,0,0,0,0,1,0
2019-12-01T14:00:00Z,2,13,6.8,16.0,11.4,3.4,90,53,0,0,0,0,1,0
2019-12-04T19:30:00Z,3,13,3.5,0.0,6.0,1.0,90,53,0,0,0,0,0,0
2019-12-08T16:30:00Z,2,12,26.7,1.0,11.4,3.9,90,53,0,0,0,0,2,0
2019-12-15T14:00:00Z,2,12,25.6,16.0,14.2,5.6,90,53,0,0,0,0,2,0
2019-12-21T15:00:00Z,2,15,14.7,1.0,10.2,2.6,90,53,0,0,0,0,1,0
2019-12-27T19:45:00Z,5,27,46.3,15.0,39.0,10.0,90,53,0,1,0,0,2,0
2019-12-29T16:30:00Z,1,8,0.8,8.0,7.0,1.6,57,53,0,0,0,0,1,0
2020-01-01T15:00:00Z,1,9,3.1,17.0,5.6,2.6,36,53,0,0,0,0,0,0
2020-01-11T15:00:00Z,2,9,3.8,3.0,5.6,1.2,90,53,0,0,0,0,1,0
2020-01-18T15:00:00Z,1,11,0.6,0.0,6.8,0.7,90,52,0,0,1,0,2,0
2020-01-23T20:00:00Z,2,20,16.7,0.0,19.4,3.6,90,52,0,0,0,0,2,0
2020-02-01T17:30:00Z,2,16,5.3,1.0,18.8,2.5,90,52,0,0,1,0,0,0
2020-02-14T20:00:00Z,2,11,6.0,8.0,10.6,2.5,80,52,0,0,1,0,0,0
2020-02-23T14:00:00Z,3,18,0.8,22.0,22.8,4.6,90,52,0,0,0,0,0,0
2020-03-01T14:00:00Z,2,12,21.8,0.0,9.4,3.1,90,52,0,0,0,0,2,0
2020-03-07T15:00:00Z,3,15,12.8,10.0,6.8,3.0,63,52,0,0,0,0,0,0
