gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,11
2,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,1
3,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,9
4,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,6
5,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,10
6,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,5
7,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,3
8,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,18
9,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,4
10,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,13
11,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,19
12,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,16
13,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,14
14,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,1
15,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,11
16,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,16
17,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,15
18,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,8
19,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,13
20,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,4
21,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,18
21,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,11
22,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,1
23,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,9
24,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,6
25,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,10
26,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,5
27,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,3
28,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,18
29,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,4
30,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,13
31,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,19
32,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,16
33,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,14
34,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,1
35,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,11
36,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,16
37,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,15
38,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,8
39,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,13
40,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,4
41,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,18
