assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,463,3,0,0,0.0,0.0,2017-08-12T14:00:00Z,0,4,0,0,0,0,1,0,23262,3,2,0.0,0,0,0,0,50,True,0
0,0,2,0,2.0,463,19,1,0,1.1,5.0,2017-08-20T15:00:00Z,90,17,0,0,0,0,2,0,21784,2,1,4.0,2,-3861,1170,5031,50,False,0
0,0,6,0,0.7,463,22,0,0,1.6,6.8,2017-08-27T12:30:00Z,15,7,0,0,0,0,3,0,30150,0,2,8.0,1,5360,8713,3353,50,True,0
0,0,23,0,16.7,463,34,1,0,4.2,23.6,2017-09-09T14:00:00Z,90,9,0,0,0,0,4,0,30266,2,1,2.0,2,-1752,3512,5264,50,False,0
0,0,7,0,13.0,463,49,0,0,2.8,7.2,2017-09-17T12:30:00Z,45,1,0,0,0,0,5,0,34659,0,0,8.0,1,2885,6467,3582,50,True,0
1,0,31,1,12.3,463,56,0,0,5.3,40.6,2017-09-23T14:00:00Z,90,15,0,0,0,0,6,0,37549,4,0,0.0,6,1349,6327,4978,50,False,0
0,0,6,0,2.5,463,62,1,0,1.8,13.8,2017-09-30T16:30:00Z,72,11,0,0,0,0,7,0,54303,1,0,2.0,2,14177,19984,5807,50,True,0
0,3,33,0,14.9,463,73,2,1,10.0,58.2,2017-10-14T14:00:00Z,90,6,0,0,0,0,8,0,90050,1,2,27.0,9,32257,40319,8062,50,False,1
1,0,28,0,14.3,463,81,2,0,6.1,34.6,2017-10-21T11:30:00Z,90,18,0,0,0,0,9,0,128414,2,4,12.0,5,34890,53660,18770,51,True,0
0,0,11,1,7.1,463,92,0,0,3.8,12.4,2017-10-28T16:30:00Z,90,2,0,0,0,0,10,0,195243,1,0,18.0,3,60763,76059,15296,51,False,0
0,0,2,1,18.3,463,101,0,0,5.6,7.2,2017-11-05T16:30:00Z,90,12,0,0,0,0,11,0,200971,0,1,30.0,2,2598,21045,18447,51,True,1
0,0,14,1,5.4,463,120,0,0,3.9,9.4,2017-11-18T15:00:00Z,90,19,0,0,0,0,12,0,215466,4,0,24.0,3,10934,28293,17359,51,False,0
0,0,13,0,4.3,463,123,1,0,3.0,7.6,2017-11-25T17:30:00Z,76,10,0,0,0,0,13,0,201901,1,1,18.0,2,-14436,7231,21667,51,False,0
