gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,5
2,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,13
3,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,6
4,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,17
5,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,2
6,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,8
7,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,14
8,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,12
9,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,9
10,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,10
11,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,1
12,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,20
13,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,7
14,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,15
15,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,17
16,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,3
17,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,6
18,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,8
19,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,2
20,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,3
21,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,19
22,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,18
23,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,15
24,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,7
25,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,20
25,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,5
26,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,13
27,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,6
28,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,17
29,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,2
30,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,8
31,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,14
32,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,12
33,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,9
34,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,10
35,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,1
36,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,20
37,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,7
38,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,15
39,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,17
40,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,3
41,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,6
42,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,8
43,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,2
44,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,3
45,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,19
46,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,18
47,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,15
48,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,True,7
49,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0,0,0,0,False,20
