gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,9
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,12
3,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,18
4,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,16
5,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,10
6,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,15
7,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,2
8,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,20
9,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,8
10,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,1
11,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,6
12,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,17
13,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,False,14
14,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,True,4
15,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,False,3
16,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,False,19
17,5,22,0.0,0.0,17.4,1.7,90,42,0,0,1,0,0,2,True,11
18,1,13,0.0,0.0,15.8,1.6,90,42,0,0,1,0,2,3,False,13
19,9,28,0.0,0.0,26.6,2.7,90,42,0,0,0,0,0,4,True,5
20,3,17,0.0,0.0,18.4,1.8,90,42,0,0,0,0,1,3,True,6
21,6,22,0.0,0.0,5.6,0.6,90,42,0,0,0,0,0,1,False,20
22,1,4,0.0,0.0,0.0,0.0,44,42,0,0,0,0,0,0,True,18
23,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,False,12
24,3,14,0.0,0.0,16.0,1.6,90,42,0,0,0,0,1,3,False,16
25,6,21,0.0,0.0,1.4,0.1,90,42,0,0,0,0,0,0,True,9
26,3,11,0.0,0.0,17.2,1.7,90,42,0,0,0,0,1,3,True,19
27,3,17,0.0,0.0,26.6,2.7,90,42,0,0,0,0,1,4,False,11
28,1,9,0.0,0.0,4.6,0.5,90,42,0,0,0,0,3,1,True,14
29,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,0,False,4
