gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,60,0,0,0,0,0,0,True,15
2,0,0,0.0,0.0,0.0,0.0,0,60,0,0,0,0,0,0,False,14
3,0,0,0.0,0.0,0.0,0.0,0,60,0,0,0,0,0,0,True,20
4,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,11
5,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,2
6,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,16
7,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,17
8,1,3,0.3,2.0,0.2,0.3,1,59,0,0,0,0,0,0,True,6
9,1,5,1.0,4.0,10.2,1.5,77,59,0,0,1,0,1,0,True,13
10,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,19
11,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,12
12,1,5,0.0,0.0,6.0,0.6,36,59,0,0,0,0,0,0,False,5
13,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,3
14,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,4
15,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,8
16,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,18
17,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,1
18,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,7
19,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,9
20,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,3
21,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,6
22,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,17
23,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,20
24,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,16
25,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,2
26,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,15
27,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,14
28,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,9
29,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,1
30,0,12,10.7,10.0,16.6,3.7,90,59,0,0,1,0,2,0,False,4
31,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,7
32,14,40,0.5,39.0,49.0,8.9,90,59,1,0,0,0,0,0,False,13
33,9,32,1.5,0.0,16.6,1.8,90,59,0,0,0,0,0,0,True,11
34,0,15,11.0,7.0,26.8,4.5,90,59,0,0,1,0,2,0,False,12
35,11,31,0.8,29.0,42.4,7.2,90,59,1,0,1,0,0,0,True,5
36,1,13,0.1,10.0,14.8,2.5,90,60,0,0,1,0,1,0,True,8
37,6,25,2.5,3.0,13.2,1.9,76,60,0,0,0,0,0,0,True,19
38,13,46,4.5,19.0,53.2,7.7,90,60,1,0,0,0,0,0,False,18
38,6,25,3.7,0.0,23.4,2.7,90,60,0,0,0,0,0,0,False,3
39,1,6,3.3,4.0,6.2,1.4,90,60,0,0,1,0,1,0,True,7
40,1,14,1.8,34.0,31.2,6.7,90,60,0,0,1,0,1,0,False,2
41,0,0,0.0,0.0,0.0,0.0,0,60,0,0,0,0,0,0,True,10
42,0,0,0.0,0.0,0.0,0.0,0,60,0,0,0,0,0,0,False,18
43,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,6
44,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,5
45,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,15
46,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,4
47,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,False,19
48,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,True,1
49,5,26,10.9,2.0,21.0,3.4,90,58,0,0,1,0,0,0,False,9
50,2,22,3.5,22.0,19.8,4.5,79,58,0,0,0,0,1,0,False,8
51,1,11,2.2,0.0,18.8,2.1,90,58,0,0,1,0,1,0,True,14
52,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,True,20
53,1,12,10.4,0.0,11.8,2.2,45,58,0,0,0,0,0,0,False,12
54,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,False,16
55,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,True,17
56,6,29,2.9,0.0,27.2,3.0,90,58,0,0,0,0,0,0,True,2
57,1,3,0.6,0.0,0.6,0.1,10,58,0,0,0,0,0,0,False,13
58,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,False,6
59,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,True,18
60,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,False,10
61,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,True,13
62,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,True,19
63,2,10,0.7,24.0,26.6,5.1,90,58,0,0,0,0,1,0,False,4
64,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,True,9
65,6,30,0.3,0.0,26.0,2.6,90,58,0,0,0,0,0,0,False,1
66,0,0,0.0,0.0,0.0,0.0,0,58,0,0,0,0,0,0,True,5
67,6,27,1.3,2.0,24.6,2.8,90,58,0,0,0,0,0,0,False,15
68,2,15,1.0,0.0,19.6,2.1,90,58,0,0,0,0,1,0,False,7
69,6,25,1.4,21.0,47.0,6.9,90,58,1,0,1,0,3,0,True,12
70,6,32,13.1,0.0,50.4,6.4,90,58,0,1,1,0,1,0,False,17
71,6,24,3.6,7.0,25.4,3.6,90,58,0,0,0,0,0,0,True,16
72,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,20
73,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,8
74,2,15,15.8,0.0,20.0,3.6,90,59,0,0,0,0,1,0,True,3
75,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,False,14
75,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0,False,1
76,2,18,9.5,2.0,34.0,4.6,90,55,0,0,0,0,1,0,True,10
77,1,10,1.0,4.0,18.2,2.3,90,55,0,0,1,0,1,0,False,20
78,1,3,0.0,0.0,0.0,0.0,1,54,0,0,0,0,0,0,True,15
79,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0,0,0,0,True,9
80,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,False,5
81,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,3
82,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,False,12
83,5,26,11.4,2.0,16.2,3.0,90,52,0,0,1,0,0,0,True,4
84,1,3,0.0,0.0,2.0,0.2,1,52,0,0,0,0,0,0,False,17
85,1,4,0.1,0.0,9.6,1.0,22,52,0,0,0,0,0,0,True,16
86,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,14
87,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,19
88,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,2
89,8,34,1.8,4.0,29.0,3.5,82,52,0,0,0,0,0,0,False,18
90,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,6
91,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,8
92,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,7
93,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,11
94,1,14,2.3,18.0,22.8,4.3,90,52,0,0,1,0,1,0,False,16
95,1,16,0.5,0.0,16.8,1.7,87,52,0,0,1,0,1,0,True,12
96,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,20
97,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,10
98,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,15
99,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,1
100,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,False,8
101,0,0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,0,True,6
102,6,26,1.6,0.0,14.2,1.6,90,52,0,0,0,0,0,0,True,19
103,1,7,1.5,4.0,3.6,0.9,42,52,0,0,0,0,0,0,False,2
