assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,18,0,0.8,628,204,3,0,1.6,14.4,2017-01-14T17:30:00Z,90,4,0,0,0,0,21,0,471,3,0,1.0,2,448,499,51,50,True,0
0,0,13,0,12.0,628,218,3,0,4.4,19.2,2017-01-22T12:00:00Z,90,13,0,0,0,0,22,0,641,0,3,13.0,2,130,215,85,50,False,0
0,0,14,0,1.2,628,223,1,0,2.8,22.8,2017-01-31T19:45:00Z,90,3,0,0,0,0,23,0,681,0,1,4.0,2,9,130,121,50,False,0
0,0,14,0,1.2,628,235,3,0,3.1,14.4,2017-02-05T16:00:00Z,90,11,0,0,0,0,24,0,652,3,0,15.0,2,-42,48,90,50,True,0
0,0,9,0,13.4,628,249,2,0,4.2,3.6,2017-02-12T16:00:00Z,90,16,0,0,0,0,25,0,1075,0,2,25.0,2,368,466,98,49,False,0
0,0,22,0,1.3,628,255,1,0,7.0,29.6,2017-02-27T20:00:00Z,90,9,0,0,0,0,26,0,1130,1,3,39.0,2,-10,134,144,49,True,0
1,0,22,0,2.2,628,261,1,0,5.8,14.2,2017-03-04T15:00:00Z,90,7,0,0,0,0,27,0,1493,1,3,42.0,5,329,420,91,49,True,0
1,0,21,0,22.9,628,290,2,0,6.4,28.4,2017-03-18T15:00:00Z,90,20,0,0,0,0,29,0,2021,3,2,13.0,5,272,382,110,49,False,0
0,2,33,1,2.0,628,295,0,1,6.3,47.2,2017-04-01T14:00:00Z,90,14,0,0,0,0,30,0,4255,0,2,14.0,10,2122,2305,183,49,True,0
0,0,16,1,2.7,628,304,0,0,2.4,13.4,2017-04-04T18:45:00Z,81,15,0,0,0,0,31,0,34629,0,2,8.0,3,30053,30487,434,49,True,0
0,0,0,0,0.0,628,313,0,0,0.0,0.0,2017-04-09T15:00:00Z,0,6,0,0,0,0,32,0,40282,2,4,0.0,0,5440,8188,2748,49,False,0
0,0,12,0,1.8,628,321,2,0,1.1,9.0,2017-04-15T14:00:00Z,90,5,0,0,0,0,33,0,32817,2,2,0.0,2,-7592,1594,9186,49,False,0
0,0,18,0,12.9,628,271,1,0,5.0,16.0,2017-04-26T18:45:00Z,90,1,0,0,0,0,34,0,27589,0,1,21.0,2,-5340,1169,6509,47,False,0
0,0,17,1,2.2,628,350,0,0,5.1,31.0,2017-04-29T14:00:00Z,90,19,0,0,0,0,35,0,25435,1,0,18.0,3,-2213,851,3064,47,False,0
0,0,30,1,2.1,628,356,0,1,5.9,33.8,2017-05-06T14:00:00Z,90,18,0,0,0,0,36,0,24798,0,3,23.0,8,-678,1930,2608,46,True,0
0,0,2,0,1.4,628,364,2,0,2.6,6.0,2017-05-13T11:30:00Z,90,10,0,0,0,0,37,0,32792,1,2,19.0,2,7902,9129,1227,46,False,0
1,0,18,0,1.4,628,336,6,0,1.6,4.4,2017-05-18T18:45:00Z,90,17,0,0,0,0,37,0,32792,6,1,10.0,5,7902,9129,1227,46,True,0
0,0,9,0,12.3,628,375,1,0,11.1,6.2,2017-05-21T14:00:00Z,90,2,0,0,0,0,38,0,33253,1,1,92.0,2,381,2408,2027,46,True,0
0,0,10,0,1.0,206,1,4,0,2.1,19.8,2017-08-11T18:45:00Z,90,1,0,0,0,0,1,0,18763,3,4,0.0,2,0,0,0,50,False,0
0,0,10,1,5.0,206,13,0,0,1.6,9.0,2017-08-19T14:00:00Z,90,3,0,0,0,0,2,0,23837,0,2,2.0,3,198,2331,2133,50,True,0
0,0,10,0,1.8,206,25,2,0,2.1,18.6,2017-08-26T16:30:00Z,90,12,0,0,0,0,3,0,23966,0,2,1.0,2,-1374,1756,3130,50,False,0
0,0,7,0,1.8,206,34,2,0,1.6,14.6,2017-09-09T14:00:00Z,90,5,0,0,0,0,4,0,23199,2,1,0.0,1,-1903,1242,3145,50,True,1
0,0,11,0,11.9,206,43,1,0,4.1,25.4,2017-09-16T14:00:00Z,90,8,0,0,0,0,5,0,23019,1,1,4.0,2,-785,1414,2199,50,False,0
0,0,12,0,1.7,206,53,3,0,3.8,16.6,2017-09-23T16:30:00Z,90,10,0,0,0,0,6,0,22031,3,2,20.0,1,-1514,1088,2602,50,True,1
0,0,13,1,3.7,206,61,0,0,2.4,12.6,2017-09-30T14:00:00Z,90,2,0,0,0,0,7,0,21809,0,0,8.0,3,-699,1553,2252,50,False,0
