kickoff_time,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves
2018-08-11T11:30:00Z,1,5,0.3,37.0,3.0,4.0,9,60,0,0,0,0,0,0
2018-08-18T11:30:00Z,1,1,0.0,2.0,0.0,0.1,25,60,0,0,0,0,0,0
2018-08-26T15:00:00Z,1,4,11.0,0.0,2.4,1.3,11,59,0,0,0,0,1,0
2018-09-01T16:30:00Z,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0
2018-09-15T14:00:00Z,1,3,0.2,0.0,0.2,0.0,11,58,0,0,0,0,0,0
2018-09-22T14:00:00Z,1,-2,0.0,0.0,0.0,0.0,9,58,0,0,0,0,0,0
2018-09-29T14:00:00Z,1,3,4.5,4.0,2.2,1.1,21,57,0,0,0,0,1,0
2018-10-06T16:30:00Z,6,25,11.8,54.0,41.8,10.8,77,57,1,0,0,0,2,0
2018-10-20T14:00:00Z,2,0,12.9,6.0,2.2,2.1,73,57,0,0,0,0,1,0
2018-10-27T14:00:00Z,2,0,1.8,10.0,0.0,1.0,79,57,0,0,0,0,0,0
2018-11-03T15:00:00Z,1,1,1.7,2.0,0.0,0.2,45,57,0,0,0,0,0,0
2018-11-10T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,57,0,0,0,0,0,0
2018-11-26T20:30:00Z,0,0,0.0,0.0,0.0,0.0,0,57,0,0,0,0,0,0
2018-12-01T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,57,0,0,0,0,0,0
2018-12-05T19:45:00Z,0,0,0.0,0.0,0.0,0.0,0,57,0,0,0,0,0,0
2018-12-09T16:00:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2018-12-15T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2018-12-22T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2018-12-26T15:00:00Z,2,10,0.5,17.0,11.2,2.9,90,56,0,0,0,0,4,0
2018-12-29T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2019-01-02T20:00:00Z,1,6,10.5,2.0,4.0,1.7,9,56,0,0,0,0,0,0
2019-01-12T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2019-01-19T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2019-01-29T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2019-02-02T12:30:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2019-02-11T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2019-02-23T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2019-02-26T20:00:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2019-03-02T17:30:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2019-03-09T15:00:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2019-03-16T15:00:00Z,1,2,0.3,2.0,0.0,0.2,8,56,0,0,0,0,0,0
2019-04-01T19:00:00Z,1,2,0.6,0.0,0.6,0.1,13,56,0,0,0,0,1,0
2019-04-06T14:00:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2019-04-12T19:00:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2019-04-20T16:30:00Z,0,0,0.0,0.0,0.0,0.0,0,56,0,0,0,0,0,0
2019-04-27T16:30:00Z,0,0,10.0,2.0,0.0,1.2,9,56,0,0,1,0,0,0
2019-05-04T18:45:00Z,1,2,0.1,2.0,0.2,0.2,1,56,0,0,0,0,0,0
2019-05-12T14:00:00Z,1,3,0.6,0.0,4.0,0.5,24,56,0,0,0,0,0,0
2019-08-11T13:00:00Z,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,0
2019-08-17T14:00:00Z,1,2,1.5,2.0,0.0,0.3,23,55,0,0,0,0,1,0
