gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,9,35,30.6,16.0,41.4,8.8,90,115,1,0,0,0,1,0,False,2
2,13,52,22.9,46.0,69.2,13.8,90,115,2,0,0,0,0,0,True,13
3,2,4,23.7,97.0,0.0,11.7,90,117,0,0,0,0,0,0,False,7
4,5,12,3.8,113.0,28.6,14.5,90,118,1,0,1,0,2,0,True,10
5,5,8,18.6,60.0,0.8,7.9,90,119,0,1,0,0,3,0,False,18
6,2,5,38.2,44.0,8.6,9.1,90,117,0,0,0,0,1,0,True,8
7,1,4,21.3,135.0,20.2,17.7,90,115,0,0,1,0,1,0,True,14
8,1,-9,17.9,17.0,0.0,3.2,90,114,0,0,1,0,0,0,False,9
9,2,8,23.1,56.0,7.6,8.7,90,113,0,0,0,0,4,0,False,4
10,2,-2,64.7,199.0,15.8,28.0,90,113,0,0,0,0,0,0,True,3
11,12,58,28.7,36.0,69.8,13.5,90,111,2,0,1,0,1,0,False,16
12,0,0,0.0,0.0,0.0,0.0,0,111,0,0,0,0,0,0,True,1
13,9,29,50.6,73.0,36.0,16.0,90,111,1,0,0,0,1,0,True,20
14,7,25,10.4,37.0,33.8,8.1,90,111,1,0,0,0,1,0,False,6
15,2,2,16.4,41.0,8.4,6.6,90,112,0,0,0,0,0,0,True,17
16,11,39,27.2,50.0,36.2,11.3,90,112,1,1,0,0,1,0,False,5
17,12,52,32.8,38.0,69.0,14.0,90,112,2,0,1,0,0,0,False,19
18,15,55,69.8,65.0,87.8,22.3,90,115,1,2,0,0,1,0,True,15
19,5,10,26.8,74.0,25.8,12.7,90,116,0,1,0,0,1,0,True,12
20,8,29,21.3,52.0,38.6,11.2,90,116,1,0,0,0,0,0,False,20
21,7,24,2.9,53.0,34.0,9.0,90,116,1,0,0,0,1,0,True,9
22,2,2,33.3,34.0,3.4,7.1,90,117,0,0,0,0,1,0,False,14
23,2,4,18.3,66.0,4.2,8.9,90,117,0,0,0,0,0,0,True,7
24,6,38,42.6,25.0,48.4,11.6,90,117,1,0,0,0,0,0,False,8
25,5,13,69.2,60.0,29.6,15.9,90,116,0,1,0,0,0,0,True,18
26,-1,-19,14.7,100.0,0.2,11.5,90,115,0,0,1,0,1,0,True,2
27,0,0,0.0,0.0,0.0,0.0,0,114,0,0,0,0,0,0,False,12
28,0,0,0.0,0.0,0.0,0.0,0,114,0,0,0,0,0,0,True,19
29,7,23,7.2,65.0,34.8,10.7,90,114,1,0,0,0,1,0,True,6
30,12,42,36.3,40.0,55.6,13.2,90,114,1,1,0,0,0,0,False,15
31,0,-3,1.7,2.0,0.0,0.3,8,114,0,0,1,0,0,0,True,4
32,0,0,0.0,0.0,0.0,0.0,0,114,0,0,0,0,0,0,False,3
33,0,0,0.0,0.0,0.0,0.0,0,114,0,0,0,0,0,0,False,10
34,0,0,0.0,0.0,0.0,0.0,0,114,0,0,0,0,0,0,True,16
35,0,0,0.0,0.0,0.0,0.0,0,114,0,0,0,0,0,0,False,1
36,0,0,0.0,0.0,0.0,0.0,0,114,0,0,0,0,0,0,False,17
37,0,0,0.0,0.0,0.0,0.0,0,114,0,0,0,0,0,0,False,13
38,0,0,0.0,0.0,0.0,0.0,0,114,0,0,0,0,0,0,True,5
38,0,0,0.0,0.0,0.0,0.0,0,100,0,0,0,0,0,0,True,9
39,0,0,0.0,0.0,0.0,0.0,0,100,0,0,0,0,0,0,False,15
40,0,0,0.0,0.0,0.0,0.0,0,100,0,0,0,0,0,0,True,7
41,0,0,0.0,0.0,0.0,0.0,0,100,0,0,0,0,0,0,False,14
42,0,0,0.0,0.0,0.0,0.0,0,100,0,0,0,0,0,0,True,6
43,0,0,0.0,0.0,0.0,0.0,0,100,0,0,0,0,0,0,False,10
44,0,0,0.0,0.0,0.0,0.0,0,100,0,0,0,0,0,0,False,8
45,0,0,0.0,0.0,0.0,0.0,0,100,0,0,0,0,0,0,True,17
46,0,0,0.0,0.0,0.0,0.0,0,100,0,0,0,0,0,0,False,5
47,1,3,2.4,19.0,4.6,2.6,13,100,0,0,0,0,0,0,True,13
48,1,2,16.3,21.0,0.6,3.8,28,100,0,0,0,0,0,0,True,3
49,1,3,1.0,0.0,3.4,0.4,2,100,0,0,0,0,0,0,False,18
50,0,0,0.0,0.0,0.0,0.0,0,99,0,0,0,0,0,0,False,1
51,1,1,0.3,0.0,0.0,0.0,14,98,0,0,0,0,0,0,True,11
52,0,0,0.0,0.0,0.0,0.0,0,98,0,0,0,0,0,0,True,2
53,0,0,0.0,0.0,0.0,0.0,0,98,0,0,0,0,0,0,False,19
54,0,0,0.0,0.0,0.0,0.0,0,97,0,0,0,0,0,0,False,9
55,1,9,23.5,28.0,6.2,5.8,45,97,0,0,0,0,2,0,True,4
56,0,0,0.0,0.0,0.0,0.0,0,96,0,0,0,0,0,0,True,14
57,0,0,0.0,0.0,0.0,0.0,0,96,0,0,0,0,0,0,False,7
